symbol,side,entry_time,exit_time,entry,exit,bars_held,gross_pct,net_pct,reason
ADANIENT,SHORT,2018-03-26 14:15:00,2018-03-27 09:15:00,163.95,167.23,2,-0.019607843137254832,-0.021107843137254834,SL
ADANIENT,SHORT,2018-04-26 14:15:00,2018-04-27 09:15:00,141.1,143.92,2,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2018-04-27 09:15:00,2018-04-27 13:15:00,146.35,143.3,4,0.021303941672820903,0.0198039416728209,MID
ADANIENT,SHORT,2018-06-07 11:15:00,2018-06-07 13:15:00,123.95,126.43,2,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,LONG,2018-08-07 10:15:00,2018-08-07 13:15:00,188.2,192.58,3,0.023270126882956488,0.021770126882956486,MID
ADANIENT,SHORT,2019-02-22 14:15:00,2019-02-22 15:15:00,129.4,124.22,1,0.04166666666666674,0.04016666666666674,TP
ADANIENT,LONG,2019-11-13 09:15:00,2019-11-13 13:15:00,198.3,199.61,4,0.006595194085267542,0.005095194085267542,MID
ADANIENT,LONG,2020-02-18 10:15:00,2020-02-18 14:15:00,245.8,248.84,4,0.012375436376007132,0.010875436376007132,MID
ADANIENT,LONG,2020-02-24 15:15:00,2020-02-25 09:15:00,244.95,248.79,1,0.015688748826285348,0.014188748826285348,MID
ADANIENT,SHORT,2020-03-26 11:15:00,2020-03-26 12:15:00,145.0,147.9,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2020-04-13 15:15:00,2020-04-15 11:15:00,149.0,146.52,3,0.016925630177905715,0.015425630177905715,MID
ADANIENT,LONG,2020-09-21 13:15:00,2020-09-21 14:15:00,277.6,272.05,1,-0.02000000000000013,-0.02150000000000013,SL
ADANIENT,LONG,2021-02-19 13:15:00,2021-02-19 14:15:00,748.35,778.28,1,0.040000000000000036,0.038500000000000034,TP
ADANIENT,LONG,2021-04-12 11:15:00,2021-04-12 12:15:00,1088.2,1066.44,1,-0.02000000000000013,-0.02150000000000013,SL
ADANIENT,LONG,2021-04-30 14:15:00,2021-05-03 09:15:00,1155.7,1132.59,2,-0.020000000000000018,-0.02150000000000002,SL
ADANIENT,LONG,2021-05-14 09:15:00,2021-05-17 09:15:00,1233.0,1282.32,7,0.040000000000000036,0.038500000000000034,TP
ADANIENT,LONG,2021-08-10 13:15:00,2021-08-11 09:15:00,1432.2,1444.17,3,0.008359347601630374,0.006859347601630374,MID
ADANIENT,SHORT,2021-11-02 10:15:00,2021-11-02 12:15:00,1487.55,1467.76,2,0.013484483158427096,0.011984483158427097,MID
ADANIENT,LONG,2021-12-06 13:15:00,2021-12-07 09:15:00,1665.0,1668.94,3,0.002365454743059603,0.0008654547430596029,MID
ADANIENT,LONG,2022-01-18 14:15:00,2022-01-19 12:15:00,1837.85,1843.23,5,0.0029249166240590263,0.0014249166240590263,MID
ADANIENT,LONG,2022-01-24 09:15:00,2022-01-24 11:15:00,1778.0,1742.44,2,-0.020000000000000018,-0.02150000000000002,SL
ADANIENT,LONG,2022-01-24 11:15:00,2022-01-24 13:15:00,1741.95,1707.11,2,-0.020000000000000018,-0.02150000000000002,SL
ADANIENT,LONG,2022-03-15 13:15:00,2022-03-16 09:15:00,1697.0,1718.54,3,0.012694653464646155,0.011194653464646155,MID
ADANIENT,LONG,2022-04-19 15:15:00,2022-04-20 09:15:00,2145.0,2194.64,1,0.023141975779472412,0.02164197577947241,MID
ADANIENT,SHORT,2022-05-20 09:15:00,2022-05-23 09:15:00,2193.0,2236.86,7,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2022-05-30 09:15:00,2022-05-31 09:15:00,2165.8,2209.12,7,-0.019607843137255054,-0.021107843137255056,SL
ADANIENT,SHORT,2022-10-20 15:15:00,2022-10-21 10:15:00,3365.0,3341.26,2,0.0071039608198077975,0.005603960819807798,MID
ADANIENT,SHORT,2022-11-01 09:15:00,2022-11-01 12:15:00,3405.75,3473.86,3,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,LONG,2022-11-16 13:15:00,2022-11-18 09:15:00,3935.75,3997.11,3,0.015590990971671381,0.014090990971671382,MID
ADANIENT,LONG,2022-12-05 09:15:00,2022-12-05 13:15:00,3824.35,3871.95,4,0.01244637794907466,0.010946377949074661,MID
ADANIENT,LONG,2022-12-21 12:15:00,2022-12-21 13:15:00,4037.6,3956.85,1,-0.020000000000000018,-0.02150000000000002,SL
ADANIENT,SHORT,2023-01-13 13:15:00,2023-01-16 09:15:00,3732.0,3686.57,3,0.012322173518028334,0.010822173518028335,MID
ADANIENT,SHORT,2023-02-08 14:15:00,2023-02-08 15:15:00,2163.5,2206.77,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2023-02-08 15:15:00,2023-02-09 09:15:00,2215.05,2126.45,1,0.04166666666666652,0.04016666666666652,TP
ADANIENT,SHORT,2023-03-01 09:15:00,2023-03-01 10:15:00,1500.2,1530.2,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2023-03-01 10:15:00,2023-03-01 12:15:00,1558.55,1496.21,2,0.04166666666666674,0.04016666666666674,TP
ADANIENT,SHORT,2023-03-03 09:15:00,2023-03-03 11:15:00,1773.85,1809.33,2,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2023-03-03 11:15:00,2023-03-03 14:15:00,1836.25,1872.98,3,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,LONG,2023-05-03 13:15:00,2023-05-04 09:15:00,1815.35,1863.74,3,0.02665518539553502,0.025155185395535018,MID
ADANIENT,LONG,2023-05-15 09:15:00,2023-05-15 12:15:00,1895.7,1920.88,3,0.013281653175299946,0.011781653175299946,MID
ADANIENT,LONG,2023-06-19 13:15:00,2023-06-20 09:15:00,2396.75,2427.46,3,0.012813595349860929,0.01131359534986093,MID
ADANIENT,SHORT,2023-06-28 10:15:00,2023-06-28 14:15:00,2403.05,2376.14,4,0.01132462501448872,0.009824625014488721,MID
ADANIENT,LONG,2023-08-23 14:15:00,2023-08-24 09:15:00,2532.6,2591.83,2,0.023388183036181065,0.021888183036181064,MID
ADANIENT,SHORT,2023-10-04 10:15:00,2023-10-05 09:15:00,2473.85,2457.03,6,0.006846323158871126,0.005346323158871126,MID
ADANIENT,LONG,2023-12-20 13:15:00,2023-12-20 15:15:00,2828.15,2771.59,2,-0.020000000000000018,-0.02150000000000002,SL
ADANIENT,LONG,2023-12-20 15:15:00,2023-12-21 13:15:00,2773.05,2799.83,5,0.009658485154561136,0.008158485154561137,MID
ADANIENT,SHORT,2024-05-14 10:15:00,2024-05-14 11:15:00,2953.85,3012.93,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2024-05-14 11:15:00,2024-05-15 09:15:00,3018.35,3078.72,5,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,LONG,2024-06-04 10:15:00,2024-06-04 11:15:00,3115.05,3052.75,1,-0.020000000000000018,-0.02150000000000002,SL
ADANIENT,SHORT,2024-07-26 12:15:00,2024-07-29 12:15:00,3090.15,3088.17,7,0.0006413900790729343,-0.0008586099209270657,MID
ADANIENT,SHORT,2024-10-29 14:15:00,2024-10-30 09:15:00,2861.8,2919.04,2,-0.019607843137254832,-0.021107843137254834,SL
ADANIENT,SHORT,2024-10-30 09:15:00,2024-10-30 14:15:00,2934.0,2992.68,5,-0.019607843137254832,-0.021107843137254834,SL
ADANIENT,SHORT,2024-11-06 09:15:00,2024-11-06 12:15:00,2976.0,3035.52,3,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2024-11-27 12:15:00,2024-11-27 13:15:00,2365.55,2412.86,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2024-11-28 09:15:00,2024-11-28 13:15:00,2500.05,2445.17,4,0.022446023970290385,0.020946023970290384,MID
ADANIENT,SHORT,2024-12-12 10:15:00,2024-12-12 12:15:00,2512.0,2490.72,2,0.008542522394282992,0.007042522394282992,MID
ADANIENT,LONG,2025-01-06 10:15:00,2025-01-07 09:15:00,2490.95,2494.81,6,0.0015511373415799667,5.113734157996671e-05,MID
ADANIENT,SHORT,2025-01-14 10:15:00,2025-01-15 13:15:00,2414.85,2384.34,10,0.01279762336391621,0.011297623363916211,MID
ADANIENT,SHORT,2025-02-05 09:15:00,2025-02-06 09:15:00,2330.85,2316.67,7,0.006119023183395855,0.004619023183395856,MID
ADANIENT,SHORT,2025-02-11 09:15:00,2025-02-11 12:15:00,2378.1,2335.8,3,0.01810810818374664,0.01660810818374664,MID
ADANIENT,SHORT,2025-03-05 09:15:00,2025-03-05 10:15:00,2189.85,2233.65,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIENT,SHORT,2025-03-05 10:15:00,2025-03-05 14:15:00,2227.1,2218.53,4,0.0038609710293164845,0.0023609710293164845,MID
ADANIENT,LONG,2025-04-04 09:15:00,2025-04-07 09:15:00,2345.4,2298.49,7,-0.019999999999999907,-0.021499999999999908,SL
ADANIENT,LONG,2025-04-25 10:15:00,2025-04-25 13:15:00,2344.2,2372.0,3,0.011860574021421044,0.010360574021421045,MID
ADANIENT,SHORT,2025-08-11 11:15:00,2025-08-12 09:15:00,2280.9,2269.38,5,0.0050746403234840365,0.0035746403234840365,MID
ADANIENT,SHORT,2025-08-18 09:15:00,2025-08-18 14:15:00,2347.7,2336.0,5,0.00500822911459764,0.00350822911459764,MID
ADANIENT,SHORT,2025-09-08 09:15:00,2025-09-08 13:15:00,2323.4,2314.41,4,0.003882256185428812,0.0023822561854288118,MID
ADANIENT,LONG,2025-09-25 14:15:00,2025-09-26 09:15:00,2572.8,2597.65,2,0.009657723600174917,0.008157723600174917,MID
ADANIENT,LONG,2025-10-14 11:15:00,2025-10-14 12:15:00,2489.3,2505.03,1,0.006318120031362895,0.004818120031362895,MID
ADANIPORTS,SHORT,2018-02-14 10:15:00,2018-02-14 15:15:00,411.8,411.37,5,0.001047200088887923,-0.0004527999111120771,MID
ADANIPORTS,SHORT,2018-02-26 09:15:00,2018-02-26 14:15:00,416.0,413.61,5,0.0057881634307199725,0.004288163430719973,MID
ADANIPORTS,SHORT,2018-05-31 14:15:00,2018-06-01 09:15:00,394.35,384.53,2,0.025533268106251672,0.02403326810625167,MID
ADANIPORTS,SHORT,2018-06-07 10:15:00,2018-06-07 12:15:00,383.55,379.97,2,0.00941942836190246,0.00791942836190246,MID
ADANIPORTS,SHORT,2018-06-21 09:15:00,2018-06-21 13:15:00,372.6,369.87,4,0.007391003674065866,0.005891003674065866,MID
ADANIPORTS,LONG,2018-08-07 09:15:00,2018-08-07 12:15:00,378.4,370.83,3,-0.019999999999999907,-0.021499999999999908,SL
ADANIPORTS,SHORT,2018-10-16 14:15:00,2018-10-17 09:15:00,334.0,330.04,2,0.012008042382814166,0.010508042382814166,MID
ADANIPORTS,SHORT,2018-10-29 11:15:00,2018-10-29 13:15:00,318.2,324.56,2,-0.019607843137255054,-0.021107843137255056,SL
ADANIPORTS,SHORT,2018-10-29 13:15:00,2018-10-30 09:15:00,325.45,331.96,3,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2019-02-13 09:15:00,2019-02-13 10:15:00,338.65,345.42,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2019-02-13 10:15:00,2019-02-13 14:15:00,346.0,341.17,4,0.014166260438317924,0.012666260438317924,MID
ADANIPORTS,LONG,2019-06-19 13:15:00,2019-06-20 09:15:00,406.95,398.81,3,-0.020000000000000018,-0.02150000000000002,SL
ADANIPORTS,LONG,2019-10-23 09:15:00,2019-10-24 12:15:00,399.2,399.23,10,8.194560379171101e-05,-0.001418054396208289,MID
ADANIPORTS,SHORT,2019-11-20 09:15:00,2019-11-20 13:15:00,370.8,370.04,4,0.0020440813599755803,0.0005440813599755802,MID
ADANIPORTS,SHORT,2019-12-09 10:15:00,2019-12-09 14:15:00,375.9,372.83,4,0.00824104655638469,0.006741046556384691,MID
ADANIPORTS,SHORT,2020-02-11 09:15:00,2020-02-11 14:15:00,374.75,374.14,5,0.0016320460770757883,0.00013204607707578827,MID
ADANIPORTS,SHORT,2020-04-15 09:15:00,2020-04-15 13:15:00,274.4,271.13,4,0.012071218451762844,0.010571218451762844,MID
ADANIPORTS,LONG,2020-05-04 09:15:00,2020-05-05 09:15:00,264.3,267.54,7,0.012246768278080022,0.010746768278080023,MID
ADANIPORTS,LONG,2020-05-18 09:15:00,2020-05-19 09:15:00,296.75,298.11,7,0.00456889647803993,0.00306889647803993,MID
ADANIPORTS,LONG,2020-05-22 09:15:00,2020-05-22 14:15:00,307.7,310.87,5,0.010316009761182743,0.008816009761182743,MID
ADANIPORTS,LONG,2020-06-12 09:15:00,2020-06-12 10:15:00,328.8,336.48,1,0.0233475438366475,0.0218475438366475,MID
ADANIPORTS,LONG,2020-07-07 10:15:00,2020-07-08 09:15:00,348.85,341.87,6,-0.02000000000000013,-0.02150000000000013,SL
ADANIPORTS,SHORT,2020-09-28 09:15:00,2020-09-29 09:15:00,337.4,344.15,7,-0.019607843137254832,-0.021107843137254834,SL
ADANIPORTS,LONG,2020-10-27 09:15:00,2020-10-27 12:15:00,353.1,359.18,3,0.01720689556374011,0.01570689556374011,MID
ADANIPORTS,LONG,2021-02-19 13:15:00,2021-02-19 15:15:00,636.2,657.05,2,0.032768655640616595,0.031268655640616594,MID
ADANIPORTS,LONG,2021-03-15 09:15:00,2021-03-15 13:15:00,710.45,715.85,4,0.007607142123698951,0.0061071421236989516,MID
ADANIPORTS,LONG,2021-03-17 14:15:00,2021-03-18 09:15:00,687.5,697.18,2,0.014083253747882551,0.012583253747882552,MID
ADANIPORTS,LONG,2021-04-12 09:15:00,2021-04-12 10:15:00,783.9,768.22,1,-0.020000000000000018,-0.02150000000000002,SL
ADANIPORTS,LONG,2021-04-12 10:15:00,2021-04-12 11:15:00,770.6,755.19,1,-0.020000000000000018,-0.02150000000000002,SL
ADANIPORTS,LONG,2021-04-12 11:15:00,2021-04-13 09:15:00,745.4,730.49,5,-0.020000000000000018,-0.02150000000000002,SL
ADANIPORTS,LONG,2021-06-09 12:15:00,2021-06-10 09:15:00,839.5,857.23,4,0.021119703729510997,0.019619703729510996,MID
ADANIPORTS,SHORT,2021-06-21 11:15:00,2021-06-21 12:15:00,728.0,742.56,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2021-06-21 12:15:00,2021-06-22 09:15:00,739.6,754.39,4,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2021-07-22 14:15:00,2021-07-23 09:15:00,691.7,682.55,2,0.013399336338855594,0.011899336338855595,MID
ADANIPORTS,SHORT,2021-12-02 12:15:00,2021-12-03 09:15:00,728.6,743.17,4,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,LONG,2022-01-18 14:15:00,2022-01-19 09:15:00,761.15,745.93,2,-0.019999999999999907,-0.021499999999999908,SL
ADANIPORTS,SHORT,2022-01-28 09:15:00,2022-01-28 13:15:00,728.9,719.84,4,0.012581773923935113,0.011081773923935114,MID
ADANIPORTS,SHORT,2022-03-09 09:15:00,2022-03-10 09:15:00,706.95,721.09,7,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,LONG,2022-04-07 13:15:00,2022-04-08 09:15:00,822.6,829.35,3,0.008199944149315685,0.006699944149315686,MID
ADANIPORTS,LONG,2022-04-18 09:15:00,2022-04-18 11:15:00,825.6,833.65,2,0.009752194324919028,0.008252194324919028,MID
ADANIPORTS,LONG,2022-04-19 15:15:00,2022-04-20 09:15:00,811.0,828.56,1,0.021646549206087107,0.020146549206087105,MID
ADANIPORTS,SHORT,2022-05-17 14:15:00,2022-05-18 09:15:00,744.25,759.14,2,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2022-05-18 09:15:00,2022-05-18 12:15:00,755.6,755.04,3,0.0007388326021631197,-0.0007611673978368803,MID
ADANIPORTS,SHORT,2022-05-20 09:15:00,2022-05-23 09:15:00,762.0,777.24,7,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2022-05-30 09:15:00,2022-05-30 14:15:00,730.05,726.16,5,0.005356853404698603,0.0038568534046986027,MID
ADANIPORTS,LONG,2022-09-16 13:15:00,2022-09-16 14:15:00,929.5,947.15,1,0.01898641905549736,0.01748641905549736,MID
ADANIPORTS,SHORT,2022-10-18 09:15:00,2022-10-19 09:15:00,806.1,822.22,7,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2022-10-27 14:15:00,2022-10-28 11:15:00,821.65,820.18,4,0.0017869922644686564,0.0002869922644686564,MID
ADANIPORTS,SHORT,2023-02-07 09:15:00,2023-02-07 12:15:00,591.0,567.36,3,0.04166666666666674,0.04016666666666674,TP
ADANIPORTS,SHORT,2023-02-21 09:15:00,2023-02-21 12:15:00,592.0,584.83,3,0.012260351452436646,0.010760351452436647,MID
ADANIPORTS,LONG,2023-03-14 09:15:00,2023-03-14 12:15:00,660.5,665.66,3,0.007817121155837325,0.006317121155837326,MID
ADANIPORTS,LONG,2023-08-14 09:15:00,2023-08-14 13:15:00,774.2,787.7,4,0.017443361508266753,0.01594336150826675,MID
ADANIPORTS,LONG,2023-08-23 14:15:00,2023-08-24 09:15:00,823.95,837.3,2,0.016204330389777644,0.014704330389777644,MID
ADANIPORTS,LONG,2023-08-31 09:15:00,2023-09-01 10:15:00,794.0,795.03,8,0.0012910332722848583,-0.00020896672771514172,MID
ADANIPORTS,LONG,2023-12-20 12:15:00,2023-12-20 13:15:00,1045.2,1024.3,1,-0.020000000000000018,-0.02150000000000002,SL
ADANIPORTS,LONG,2023-12-20 13:15:00,2023-12-20 15:15:00,1027.15,1006.61,2,-0.020000000000000018,-0.02150000000000002,SL
ADANIPORTS,LONG,2023-12-20 15:15:00,2023-12-21 13:15:00,1006.5,1021.55,5,0.014951394848996324,0.013451394848996325,MID
ADANIPORTS,LONG,2024-07-08 10:15:00,2024-07-08 14:15:00,1472.25,1478.22,4,0.0040558975708278044,0.0025558975708278044,MID
ADANIPORTS,LONG,2024-08-05 10:15:00,2024-08-05 12:15:00,1518.95,1488.57,2,-0.02000000000000013,-0.02150000000000013,SL
ADANIPORTS,SHORT,2024-09-20 12:15:00,2024-09-20 13:15:00,1450.35,1431.78,1,0.012972974807488047,0.011472974807488047,MID
ADANIPORTS,SHORT,2024-11-19 09:15:00,2024-11-19 13:15:00,1316.95,1305.21,4,0.008996960822351241,0.007496960822351241,MID
ADANIPORTS,SHORT,2024-11-27 12:15:00,2024-11-28 09:15:00,1213.0,1195.84,4,0.014349449001159087,0.012849449001159087,MID
ADANIPORTS,SHORT,2024-12-03 09:15:00,2024-12-03 11:15:00,1259.95,1285.15,2,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,SHORT,2025-01-14 10:15:00,2025-01-14 14:15:00,1126.0,1115.26,4,0.009634316979809432,0.008134316979809432,MID
ADANIPORTS,SHORT,2025-02-05 09:15:00,2025-02-05 14:15:00,1130.0,1152.6,5,-0.019607843137254832,-0.021107843137254834,SL
ADANIPORTS,SHORT,2025-03-05 09:15:00,2025-03-05 10:15:00,1083.0,1104.66,1,-0.019607843137254943,-0.021107843137254945,SL
ADANIPORTS,LONG,2025-04-04 09:15:00,2025-04-07 09:15:00,1166.1,1142.78,7,-0.02000000000000013,-0.02150000000000013,SL
ADANIPORTS,LONG,2025-04-25 09:15:00,2025-04-25 13:15:00,1203.6,1204.56,4,0.0007935339823059717,-0.0007064660176940283,MID
ADANIPORTS,LONG,2025-06-13 09:15:00,2025-06-16 09:15:00,1411.4,1383.17,7,-0.020000000000000018,-0.02150000000000002,SL
ADANIPORTS,SHORT,2025-06-24 09:15:00,2025-06-24 13:15:00,1402.2,1391.23,4,0.007886240959383839,0.006386240959383839,MID
ADANIPORTS,SHORT,2025-08-04 15:15:00,2025-08-05 09:15:00,1395.0,1378.2,1,0.01219236641939525,0.010692366419395251,MID
ADANIPORTS,SHORT,2025-09-08 10:15:00,2025-09-09 09:15:00,1346.7,1373.63,6,-0.019607843137254832,-0.021107843137254834,SL
ADANIPORTS,LONG,2025-09-25 14:15:00,2025-09-26 09:15:00,1406.4,1415.47,2,0.00645077192024468,0.0049507719202446804,MID
AMBER,LONG,2018-05-09 15:15:00,2018-05-10 09:15:00,1154.0,1170.9,1,0.014648029586002531,0.013148029586002532,MID
AMBER,LONG,2018-05-16 09:15:00,2018-05-16 12:15:00,1133.0,1143.87,3,0.009593906583132084,0.008093906583132084,MID
AMBER,SHORT,2018-06-29 15:15:00,2018-07-02 09:15:00,960.1,921.7,1,0.04166666666666674,0.04016666666666674,TP
AMBER,SHORT,2018-07-03 12:15:00,2018-07-03 14:15:00,937.0,955.74,2,-0.019607843137254943,-0.021107843137254945,SL
AMBER,SHORT,2018-07-03 14:15:00,2018-07-04 10:15:00,1006.35,1026.48,3,-0.019607843137254943,-0.021107843137254945,SL
AMBER,SHORT,2018-10-03 13:15:00,2018-10-03 14:15:00,932.0,922.56,1,0.010227745070590988,0.008727745070590988,MID
AMBER,SHORT,2018-10-16 13:15:00,2018-10-17 10:15:00,925.0,914.75,4,0.011208966102563167,0.009708966102563167,MID
AMBER,LONG,2018-11-30 09:15:00,2018-11-30 10:15:00,902.0,914.19,1,0.0135116142070566,0.0120116142070566,MID
AMBER,LONG,2018-12-05 15:15:00,2018-12-06 10:15:00,890.0,872.2,2,-0.02000000000000013,-0.02150000000000013,SL
AMBER,LONG,2020-02-14 15:15:00,2020-02-17 09:15:00,1553.0,1521.94,1,-0.020000000000000018,-0.02150000000000002,SL
