config,trades,wr_pct,net_pct,pf,mid_pf,sl_hit_pct,elapsed
ECN_SLatr_2.0_CFY,913,48.4,10.2,1.02,230.9,6.1,5.0
ECN_SLatr_1.5_CFY,926,48.5,3.4,1.01,259.3,12.6,5.3
ECN_SLatr_2.0_CFN,949,47.9,6.2,1.01,238.0,6.2,4.8
ECN_SLatr_1.0_CFY,958,46.0,-1.0,1.0,467.9,23.3,6.1
ECN_SLfixed_2pct_CFY,933,47.3,-7.5,0.99,255.6,14.7,4.2
ECN_SLfixed_2pct_CFN,972,46.6,-8.0,0.98,260.1,15.1,4.6
ECN_SLatr_1.0_CFN,997,45.5,-9.9,0.98,476.1,23.3,8.5
ECN_SLatr_1.5_CFN,963,47.9,-16.6,0.97,266.1,13.0,5.9
ECY_SLatr_1.0_CFN,871,52.1,-38.3,0.9,109.2,18.0,4.8
ECY_SLatr_1.0_CFY,851,52.2,-40.6,0.89,106.3,17.9,4.9
ECY_SLfixed_2pct_CFN,868,52.4,-58.6,0.85,107.5,11.6,5.1
ECY_SLatr_2.0_CFY,847,53.5,-61.8,0.85,94.2,4.7,4.9
ECY_SLfixed_2pct_CFY,848,52.5,-63.7,0.84,104.6,11.2,4.9
ECY_SLatr_1.5_CFN,869,53.0,-69.1,0.84,97.5,10.6,4.8
ECY_SLatr_1.5_CFY,849,53.1,-65.7,0.84,95.0,10.4,4.9
ECY_SLatr_2.0_CFN,867,53.4,-66.6,0.84,96.7,4.7,4.8
