date,symbol,entry_time,exit_time,exit_reason,spot_at_entry,ce_strike,pe_strike,entry_premium,exit_premium,pnl,lots,dte,filter_used
2024-03-01,NIFTY50,12:55:00,13:00:00,time,22299.4,22300,22300,376.36,377.01,-49.1,1,5,NIFTY50_BB_Only
2024-03-04,NIFTY50,12:40:00,13:00:00,time,22412.4,22400,22400,293.44,290.18,244.13,1,3,NIFTY50_BB_Only
2024-03-05,NIFTY50,11:40:00,13:00:00,time,22324.7,22300,22300,239.59,238.73,63.92,1,2,NIFTY50_BB_Only
2024-03-07,NIFTY50,12:35:00,13:00:00,time,22493.3,22500,22500,169.59,164.5,381.76,1,1,NIFTY50_BB_Only
2024-03-12,NIFTY50,12:15:00,13:00:00,time,22372.95,22350,22350,239.94,230.94,675.04,1,2,NIFTY50_BB_Only
2024-03-13,NIFTY50,12:55:00,13:00:00,time,22124.1,22100,22100,168.38,166.43,146.12,1,1,NIFTY50_BB_Only
2024-03-15,NIFTY50,11:25:00,13:00:00,time,21956.3,21950,21950,331.65,323.0,648.92,1,4,NIFTY50_BB_Only
2024-03-19,NIFTY50,11:30:00,13:00:00,time,21852.6,21850,21850,233.18,218.53,1099.13,1,2,NIFTY50_BB_Only
2024-03-20,NIFTY50,11:30:00,13:00:00,time,21790.05,21800,21800,164.33,156.72,570.97,1,1,NIFTY50_BB_Only
2024-03-22,NIFTY50,11:30:00,13:00:00,time,22082.45,22100,22100,288.36,277.5,814.9,1,3,NIFTY50_BB_Only
2024-03-27,NIFTY50,11:25:00,13:00:00,time,22167.7,22150,22150,168.08,145.05,1727.48,1,1,NIFTY50_BB_Only
2024-04-02,NIFTY50,11:25:00,13:00:00,time,22417.45,22400,22400,239.98,224.49,1162.13,1,2,NIFTY50_BB_Only
2024-04-03,NIFTY50,11:30:00,13:00:00,time,22463.1,22450,22450,169.95,154.17,1184.15,1,1,NIFTY50_BB_Only
2024-04-04,NIFTY50,11:55:00,13:00:00,time,22389.0,22400,22400,168.87,161.97,517.03,1,1,NIFTY50_BB_Only
2024-04-05,NIFTY50,11:55:00,13:00:00,time,22500.9,22500,22500,416.17,409.2,522.68,1,6,NIFTY50_BB_Only
2024-04-15,NIFTY50,11:30:00,13:00:00,time,22379.3,22400,22400,238.77,228.56,766.1,1,2,NIFTY50_BB_Only
2024-04-22,NIFTY50,12:20:00,13:00:00,time,22295.5,22300,22300,412.15,407.74,330.69,1,6,NIFTY50_BB_Only
2024-04-24,NIFTY50,11:35:00,13:00:00,time,22455.35,22450,22450,339.14,328.94,764.88,1,4,NIFTY50_BB_Only
2024-04-29,NIFTY50,11:45:00,13:00:00,time,22545.9,22550,22550,240.42,229.43,824.37,1,2,NIFTY50_BB_Only
2024-05-06,NIFTY50,11:55:00,13:00:00,time,22519.75,22500,22500,295.32,285.09,767.03,1,3,NIFTY50_BB_Only
2024-05-07,NIFTY50,12:10:00,13:00:00,time,22279.65,22300,22300,237.7,232.05,423.83,1,2,NIFTY50_BB_Only
2024-05-10,NIFTY50,12:20:00,13:00:00,time,22020.9,22000,22000,333.53,327.84,426.92,1,4,NIFTY50_BB_Only
2024-05-14,NIFTY50,12:30:00,13:00:00,time,22190.2,22200,22200,236.59,233.88,203.55,1,2,NIFTY50_BB_Only
2024-05-15,NIFTY50,12:15:00,13:00:00,time,22203.7,22200,22200,167.53,157.03,787.5,1,1,NIFTY50_BB_Only
2024-05-17,NIFTY50,12:00:00,13:00:00,time,22473.15,22450,22450,340.52,332.14,628.39,1,4,NIFTY50_BB_Only
2024-05-24,NIFTY50,12:15:00,13:00:00,time,22965.8,22950,22950,300.87,300.94,-4.96,1,3,NIFTY50_BB_Only
2024-05-29,NIFTY50,11:40:00,13:00:00,time,22722.95,22700,22700,172.75,157.84,1117.72,1,1,NIFTY50_BB_Only
2024-06-05,NIFTY50,12:20:00,13:00:00,time,22332.15,22350,22350,168.69,161.88,510.37,1,1,NIFTY50_BB_Only
2024-06-14,NIFTY50,11:25:00,13:00:00,time,23433.95,23450,23450,467.64,459.52,608.35,1,7,NIFTY50_BB_Only
2024-06-18,NIFTY50,11:45:00,13:00:00,time,23539.3,23550,23550,434.95,427.13,586.06,1,6,NIFTY50_BB_Only
2024-06-19,NIFTY50,12:25:00,13:00:00,time,23553.1,23550,23550,397.68,394.01,274.94,1,5,NIFTY50_BB_Only
2024-06-24,NIFTY50,12:35:00,13:00:00,time,23537.3,23550,23550,307.35,304.06,246.61,1,3,NIFTY50_BB_Only
2024-06-26,NIFTY50,12:55:00,13:00:00,time,23830.25,23850,23850,180.04,181.2,-87.11,1,1,NIFTY50_BB_Only
2024-07-01,NIFTY50,11:10:00,13:00:00,time,24078.7,24100,24100,314.45,300.13,1074.35,1,3,NIFTY50_BB_Only
2024-07-03,NIFTY50,11:30:00,13:00:00,time,24265.45,24250,24250,183.68,162.13,1616.08,1,1,NIFTY50_BB_Only
2024-07-04,NIFTY50,11:50:00,13:00:00,time,24332.75,24350,24350,183.7,165.53,1363.08,1,1,NIFTY50_BB_Only
2024-07-09,NIFTY50,12:15:00,13:00:00,time,24389.7,24400,24400,260.04,252.64,554.83,1,2,NIFTY50_BB_Only
2024-07-10,NIFTY50,11:45:00,13:00:00,time,24241.9,24250,24250,182.78,166.3,1235.72,1,1,NIFTY50_BB_Only
2024-07-11,NIFTY50,11:40:00,13:00:00,time,24269.55,24250,24250,184.04,166.87,1287.17,1,1,NIFTY50_BB_Only
2024-07-12,NIFTY50,12:20:00,13:00:00,time,24501.65,24500,24500,320.24,314.88,401.56,1,3,NIFTY50_BB_Only
2024-07-15,NIFTY50,12:10:00,13:00:00,time,24598.9,24600,24600,262.38,253.41,672.2,1,2,NIFTY50_BB_Only
2024-07-31,NIFTY50,11:35:00,13:00:00,time,24925.65,24950,24950,188.53,167.13,1604.95,1,1,NIFTY50_BB_Only
2024-08-02,NIFTY50,12:05:00,13:00:00,time,24794.35,24800,24800,323.86,315.6,619.97,1,3,NIFTY50_BB_Only
2024-08-05,NIFTY50,12:20:00,13:00:00,time,24022.6,24000,24000,257.46,251.21,469.13,1,2,NIFTY50_BB_Only
2024-08-09,NIFTY50,11:35:00,13:00:00,time,24352.1,24350,24350,520.4,512.38,601.19,1,8,NIFTY50_BB_Only
2024-08-12,NIFTY50,12:10:00,13:00:00,time,24388.1,24400,24400,486.81,484.98,137.42,1,7,NIFTY50_BB_Only
2024-08-19,NIFTY50,12:45:00,13:00:00,time,24574.45,24550,24550,322.49,321.89,45.1,1,3,NIFTY50_BB_Only
2024-08-20,NIFTY50,11:15:00,13:00:00,time,24705.3,24700,24700,263.71,246.0,1328.34,1,2,NIFTY50_BB_Only
