date,direction,entry_ts,entry_price,expiry,dte_entry_days,iv_used,pe_strike,ce_strike,pe_credit,ce_credit,total_credit,exit_ts,exit_price,exit_reason,pe_exit,ce_exit,total_exit_value,gross_pnl_per_unit,gross_pnl_per_lot,slippage_total,brokerage_total,stt,net_pnl_per_lot
2024-03-01,LONG,2024-03-01 11:10:00,22208.7,2024-03-05,4,0.0911,22100.0,22450.0,36.28,15.87,52.15,2024-03-01 15:25:00,22326.05,EOD,13.39,41.86,55.25,-3.1,-201.5,260.0,80.0,1.69,-543.19
2024-03-05,SHORT,2024-03-05 10:20:00,22293.5,2024-03-12,7,0.1027,21950.0,22550.0,18.38,44.23,62.61,2024-03-05 12:50:00,22382.67,SL,10.09,69.66,79.75,-17.14,-1114.1,260.0,80.0,2.03,-1456.13
2024-03-06,SHORT,2024-03-06 11:35:00,22234.75,2024-03-12,6,0.1037,21950.0,22500.0,22.2,34.97,57.17,2024-03-06 13:40:00,22323.69,SL,12.01,57.83,69.84,-12.67,-823.55,260.0,80.0,1.86,-1165.41
2024-03-11,SHORT,2024-03-11 10:45:00,22415.65,2024-03-12,1,0.1029,22350.0,22450.0,21.1,34.55,55.65,2024-03-11 15:25:00,22319.85,EOD,62.22,9.2,71.42,-15.77,-1025.05,260.0,80.0,1.81,-1366.86
2024-03-12,SHORT,2024-03-12 10:45:00,22298.75,2024-03-19,7,0.1085,21950.0,22600.0,21.41,39.83,61.24,2024-03-12 12:10:00,22387.94,SL,12.28,62.33,74.61,-13.37,-869.05,260.0,80.0,1.99,-1211.04
2024-03-13,SHORT,2024-03-13 11:00:00,22246.1,2024-03-19,6,0.1078,21950.0,22500.0,23.27,41.01,64.28,2024-03-13 15:25:00,21981.05,EOD,95.8,6.97,102.77,-38.49,-2501.85,260.0,80.0,2.09,-2843.94
2024-03-14,LONG,2024-03-14 10:40:00,22071.05,2024-03-19,5,0.124,21850.0,22450.0,41.46,21.67,63.13,2024-03-14 15:25:00,22153.05,EOD,26.09,35.21,61.3,1.83,118.95,260.0,80.0,2.05,-223.1
2024-03-15,SHORT,2024-03-15 10:25:00,21972.9,2024-03-19,4,0.1234,21700.0,22200.0,22.48,37.98,60.46,2024-03-15 15:25:00,21996.35,EOD,19.15,43.71,62.86,-2.4,-156.0,260.0,80.0,1.96,-497.96
2024-03-18,LONG,2024-03-18 12:15:00,22057.2,2024-03-19,1,0.1254,22000.0,22150.0,32.21,23.99,56.2,2024-03-18 15:25:00,22051.5,EOD,34.17,22.48,56.65,-0.45,-29.25,260.0,80.0,1.83,-371.08
2024-03-19,SHORT,2024-03-19 10:25:00,21853.15,2024-03-26,7,0.1247,21400.0,22200.0,17.5,42.55,60.05,2024-03-19 15:25:00,21810.35,EOD,22.12,34.53,56.65,3.4,221.0,260.0,80.0,1.95,-120.95
2024-03-20,SHORT,2024-03-20 10:30:00,21754.85,2024-03-26,6,0.1311,21350.0,22100.0,21.13,38.89,60.02,2024-03-20 11:40:00,21841.87,SL,12.78,58.78,71.56,-11.54,-750.1,260.0,80.0,1.95,-1092.05
2024-03-21,SHORT,2024-03-21 12:05:00,21965.65,2024-03-26,5,0.1231,21650.0,22250.0,23.04,36.26,59.3,2024-03-21 15:25:00,22014.6,EOD,16.91,47.42,64.33,-5.03,-326.95,260.0,80.0,1.93,-668.88
2024-03-22,LONG,2024-03-22 11:25:00,22074.1,2024-03-26,4,0.1279,21850.0,22400.0,34.4,22.91,57.31,2024-03-22 15:25:00,22080.8,EOD,33.04,23.93,56.97,0.34,22.1,260.0,80.0,1.86,-319.76
2024-03-27,LONG,2024-03-27 11:00:00,22171.35,2024-04-02,6,0.1066,21950.0,22550.0,35.44,18.55,53.99,2024-03-27 15:25:00,22147.2,EOD,40.7,15.75,56.45,-2.46,-159.9,260.0,80.0,1.75,-501.65
2024-03-28,LONG,2024-03-28 10:35:00,22347.3,2024-04-02,5,0.1101,22150.0,22700.0,37.15,18.18,55.33,2024-03-28 15:25:00,22343.1,EOD,38.1,17.65,55.75,-0.42,-27.3,260.0,80.0,1.8,-369.1
2024-04-03,LONG,2024-04-03 10:20:00,22461.2,2024-04-09,6,0.1141,22250.0,22850.0,45.25,22.74,67.99,2024-04-03 15:25:00,22445.55,EOD,49.03,20.67,69.7,-1.71,-111.15,260.0,80.0,2.21,-453.36
