date,direction,entry_ts,entry_price,or_width_pct,day_filter_passed,expiry_date,dte_entry_days,iv_used,pe_strike,pe_delta_target,pe_delta_actual,ce_strike,ce_delta_target,ce_delta_actual,pe_credit,ce_credit,total_credit,exit_ts,exit_reason,exit_price,pe_exit,ce_exit,gross_pnl_per_unit,gross_pnl_per_lot,slippage,brokerage,stt,net_pnl_per_lot
2024-03-05,SHORT,2024-03-05 10:20:00,22293.5,0.4614,True,2024-03-05,0,0.1437,22250.0,-0.1,-0.0357,22300.0,0.22,0.3957,0.34,6.79,7.13,2024-03-05 13:00:00,SL,22406.55,0.03,107.46,-100.36,-6523.4,260.0,80.0,0.23,-6863.63
2024-03-06,SHORT,2024-03-06 11:35:00,22234.75,0.536,True,2024-03-12,6,0.1451,21750.0,-0.1,-0.1054,22600.0,0.22,0.2093,21.03,48.51,69.54,2024-03-06 13:50:00,SL,22369.45,10.31,83.52,-24.29,-1578.85,260.0,80.0,2.26,-1921.11
2024-03-11,SHORT,2024-03-11 10:45:00,22415.65,0.4566,True,2024-03-12,1,0.1441,22200.0,-0.1,-0.0953,22550.0,0.22,0.2222,7.58,21.54,29.12,2024-03-11 15:25:00,EOD,22319.85,22.51,7.13,-0.52,-33.8,260.0,80.0,0.95,-374.75
2024-03-12,SHORT,2024-03-12 10:45:00,22298.75,0.6164,True,2024-03-12,0,0.1519,22250.0,-0.1,-0.028,22350.0,0.22,0.023,0.28,0.22,0.5,2024-03-12 15:25:00,EOD,22333.7,0.01,1.83,-1.34,-87.1,260.0,80.0,0.02,-427.12
2024-03-14,LONG,2024-03-14 10:40:00,22071.05,0.5856,True,2024-03-19,5,0.1736,21750.0,-0.22,-0.2192,22700.0,0.1,0.092,56.9,19.06,75.96,2024-03-14 15:25:00,EOD,22153.05,41.04,27.94,6.98,453.7,260.0,80.0,2.47,111.23
2024-03-15,SHORT,2024-03-15 10:25:00,21972.9,0.6351,True,2024-03-19,4,0.1727,21500.0,-0.1,-0.1053,22300.0,0.22,0.221,20.17,49.99,70.16,2024-03-15 15:25:00,EOD,21996.35,17.83,55.39,-3.06,-198.9,260.0,80.0,2.28,-541.18
2024-03-18,LONG,2024-03-18 12:15:00,22057.2,0.4985,True,2024-03-19,1,0.1756,21900.0,-0.22,-0.2113,22350.0,0.1,0.0792,24.39,7.24,31.63,2024-03-18 15:25:00,EOD,22051.5,25.62,6.8,-0.79,-51.35,260.0,80.0,1.03,-392.38
2024-03-19,SHORT,2024-03-19 10:25:00,21853.15,0.5564,True,2024-03-19,0,0.1745,21800.0,-0.1,-0.0321,21900.0,0.22,0.0525,0.36,0.64,1.0,2024-03-19 15:25:00,EOD,21810.35,3.95,0.01,-2.96,-192.4,260.0,80.0,0.03,-532.43
2024-03-20,SHORT,2024-03-20 10:30:00,21754.85,0.6203,True,2024-03-26,6,0.1836,21150.0,-0.1,-0.1047,22200.0,0.22,0.2109,25.89,60.5,86.39,2024-03-20 13:05:00,SL,21891.7,14.51,95.0,-23.12,-1502.8,260.0,80.0,2.81,-1845.61
2024-03-21,SHORT,2024-03-21 12:05:00,21965.65,0.4671,True,2024-03-26,5,0.1724,21450.0,-0.1,-0.1091,22350.0,0.22,0.2103,23.5,52.26,75.76,2024-03-21 15:25:00,EOD,22014.6,18.64,63.35,-6.23,-404.95,260.0,80.0,2.46,-747.41
2024-03-27,LONG,2024-03-27 11:00:00,22171.35,0.4911,True,2024-04-02,6,0.1492,21850.0,-0.22,-0.2037,22750.0,0.1,0.1001,48.93,19.94,68.87,2024-03-27 15:25:00,EOD,22147.2,54.05,17.64,-2.82,-183.3,260.0,80.0,2.24,-525.54
2024-04-03,LONG,2024-04-03 10:20:00,22461.2,0.4974,True,2024-04-09,6,0.1598,22150.0,-0.22,-0.2286,23100.0,0.1,0.0957,61.65,20.48,82.13,2024-04-03 15:25:00,EOD,22445.55,65.31,19.03,-2.21,-143.65,260.0,80.0,2.67,-486.32
2024-04-08,LONG,2024-04-08 11:35:00,22642.85,0.3572,True,2024-04-09,1,0.1217,22550.0,-0.22,-0.2495,22850.0,0.1,0.081,21.53,5.3,26.83,2024-04-08 15:25:00,EOD,22661.0,17.35,6.95,2.53,164.45,260.0,80.0,0.87,-176.42
2024-04-12,SHORT,2024-04-12 12:15:00,22623.9,0.4491,True,2024-04-16,4,0.12,22300.0,-0.1,-0.113,22850.0,0.22,0.2331,15.68,38.44,54.12,2024-04-12 15:25:00,EOD,22519.4,31.73,19.41,2.98,193.7,260.0,80.0,1.76,-148.06
2024-04-16,SHORT,2024-04-16 13:10:00,22099.2,0.4972,True,2024-04-16,0,0.1357,22050.0,-0.1,-0.0147,22150.0,0.22,0.0127,0.12,0.1,0.22,2024-04-16 15:25:00,EOD,22177.45,0.01,27.78,-27.57,-1792.05,260.0,80.0,0.01,-2132.06
2024-04-18,LONG,2024-04-18 11:05:00,22274.95,0.4837,True,2024-04-23,5,0.1393,22000.0,-0.22,-0.2048,22750.0,0.1,0.109,42.11,18.95,61.06,2024-04-18 13:25:00,SL,22163.45,70.2,9.61,-18.75,-1218.75,260.0,80.0,1.98,-1560.73
2024-04-19,LONG,2024-04-19 12:15:00,21943.8,0.5747,True,2024-04-23,4,0.1434,21700.0,-0.22,-0.212,22400.0,0.1,0.0941,39.92,14.4,54.32,2024-04-19 15:25:00,EOD,22149.7,11.69,47.64,-5.01,-325.65,260.0,80.0,1.77,-667.42
2024-04-24,LONG,2024-04-24 10:25:00,22458.0,0.2297,True,2024-04-30,6,0.1395,22200.0,-0.22,-0.2374,23000.0,0.1,0.103,56.45,19.55,76.0,2024-04-24 14:30:00,SL,22399.85,71.6,14.27,-9.87,-641.55,260.0,80.0,2.47,-984.02
2024-04-29,LONG,2024-04-29 10:30:00,22538.95,0.4037,True,2024-04-30,1,0.1512,22400.0,-0.22,-0.2095,22800.0,0.1,0.0765,21.21,6.11,27.32,2024-04-29 15:25:00,EOD,22633.15,7.58,17.86,1.88,122.2,260.0,80.0,0.89,-218.69
