strategy,params,timeframe,n_symbols,period,total_trades,long_trades,short_trades,win_rate,long_wr,short_wr,total_pnl,pnl_pct,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,avg_win,avg_loss,avg_rr,avg_bars_held,exit_reasons,y2018_trades,y2018_wr,y2018_pf,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pf,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pf,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pf,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pf,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pf,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pf,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pf,y2025_pnl_pct
D_SUPERTREND_ST10_M3_SL2_MH20,"{""label"": ""ST10_M3_SL2_MH20"", ""sl_atr_mult"": 2.0, ""max_hold"": 20}",day,50,2018-01 to 2025-12,163,92,71,41.72,45.65,36.62,-353442.0,-3.53,0.9312,-0.45,10.43,0.006,0.0,-0.0436,7.24,-5.21,1.39,15.6,"{""max_hold"": 106, ""fixed_sl"": 57}",11,63.64,1.0482,0.11,23,39.13,1.3384,1.95,19,42.11,1.4624,3.09,20,55.0,1.3318,2.02,11,54.55,1.0125,0.03,34,44.12,1.8274,6.19,30,23.33,0.1463,-14.74,15,33.33,0.2982,-2.18
D_SUPERTREND_ST10_M3_TR2_MH20,"{""label"": ""ST10_M3_TR2_MH20"", ""sl_atr_mult"": 2.0, ""trail_atr_mult"": 2.0, ""max_hold"": 20}",day,50,2018-01 to 2025-12,164,93,71,33.54,36.56,29.58,-1764616.0,-17.65,0.5802,-2.43,17.96,0.0464,0.0,-0.1351,4.64,-3.66,1.27,8.2,"{""fixed_sl"": 129, ""trailing_sl"": 25, ""max_hold"": 10}",12,33.33,0.5903,-1.01,22,36.36,0.8616,-0.59,19,36.84,0.9295,-0.34,20,45.0,1.0608,0.29,13,46.15,1.2133,0.42,33,36.36,0.8169,-1.22,29,13.79,0.0878,-13.09,16,31.25,0.2161,-2.11
D_SUPERTREND_ST7_M3.5_SL2_MH15,"{""label"": ""ST7_M3.5_SL2_MH15"", ""sl_atr_mult"": 2.0, ""max_hold"": 15, ""_st_atr"": 7, ""_st_mult"": 3.5}",day,50,2018-01 to 2025-12,75,50,25,49.33,52.0,44.0,-169010.0,-1.69,0.9187,-0.22,6.48,0.0058,0.0,-0.0332,5.37,-5.27,1.02,13.1,"{""max_hold"": 54, ""fixed_sl"": 21}",2,100.0,inf,0.65,11,54.55,0.703,-0.79,8,50.0,0.7422,-0.83,11,45.45,1.2482,0.63,5,20.0,0.17,-1.52,18,61.11,2.5,4.59,15,40.0,0.4115,-3.68,5,40.0,0.396,-0.73
D_SUPERTREND_ST7_M2.5_TR2_MH10,"{""label"": ""ST7_M2.5_TR2_MH10"", ""sl_atr_mult"": 1.5, ""trail_atr_mult"": 2.0, ""max_hold"": 10, ""_st_atr"": 7, ""_st_mult"": 2.5}",day,50,2018-01 to 2025-12,331,180,151,38.97,44.44,32.45,-2027387.0,-20.27,0.7315,-2.83,22.0,0.0502,0.0,-0.1284,4.49,-3.54,1.27,6.2,"{""fixed_sl"": 194, ""trailing_sl"": 42, ""max_hold"": 95}",30,46.67,0.931,-0.48,51,49.02,1.0157,0.13,44,34.09,1.054,0.55,35,37.14,1.0005,0.0,42,33.33,0.5075,-4.79,49,51.02,1.2923,2.01,46,19.57,0.1501,-14.89,34,41.18,0.5549,-2.82
D_EMA_CROSS_EMA9_21_ADX25_TR2.5_MH15,"{""label"": ""EMA9_21_ADX25_TR2.5_MH15"", ""adx_threshold"": 25, ""sl_atr_mult"": 2.0, ""trail_atr_mult"": 2.5, ""max_hold"": 15}",day,50,2018-01 to 2025-12,1269,597,672,38.93,45.73,32.89,-2441756.0,-24.42,0.9137,-3.48,38.14,0.0657,0.0,-0.0912,5.44,-3.45,1.57,10.2,"{""fixed_sl"": 783, ""trailing_sl"": 71, ""max_hold"": 415}",170,42.94,1.0591,2.24,176,41.48,0.7734,-9.83,135,38.52,1.1205,4.36,141,36.88,0.8906,-3.67,145,42.07,1.3295,9.11,170,42.94,0.9599,-1.13,166,33.13,0.6212,-14.45,166,33.13,0.7097,-11.05
D_EMA_CROSS_EMA5_13_ADX20_TR2_MH10,"{""label"": ""EMA5_13_ADX20_TR2_MH10"", ""adx_threshold"": 20, ""sl_atr_mult"": 1.5, ""trail_atr_mult"": 2.0, ""max_hold"": 10, ""_ema_params"": [5, 13]}",day,50,2018-01 to 2025-12,2282,1115,1167,36.11,41.7,30.76,-11411385.0,-114.11,0.7235,-100.0,123.33,-0.4059,-0.0153,-0.8108,3.83,-2.63,1.45,6.6,"{""fixed_sl"": 1431, ""max_hold"": 668, ""trailing_sl"": 183}",281,36.65,0.7637,-11.71,294,37.76,0.7488,-14.43,249,37.35,0.8009,-11.15,294,36.39,0.732,-14.56,303,40.59,0.9439,-2.93,285,35.44,0.5265,-18.99,310,30.65,0.5162,-30.02,266,34.21,0.7474,-10.32
D_EMA_CROSS_EMA13_34_ADX25_TR3_MH20,"{""label"": ""EMA13_34_ADX25_TR3_MH20"", ""adx_threshold"": 25, ""sl_atr_mult"": 2.0, ""trail_atr_mult"": 3.0, ""max_hold"": 20, ""_ema_params"": [13, 34]}",day,50,2018-01 to 2025-12,1029,477,552,41.59,46.96,36.96,3462216.0,34.62,1.1423,3.83,14.22,0.1036,0.0,0.2696,6.7,-3.85,1.74,13.8,"{""fixed_sl"": 629, ""max_hold"": 367, ""trailing_sl"": 33}",128,50.0,1.5116,13.0,160,39.38,0.8272,-7.35,108,48.15,2.1594,34.61,104,43.27,0.9252,-2.09,143,36.36,1.1744,6.28,136,47.06,1.3131,7.04,129,37.98,0.8181,-5.76,121,32.23,0.5936,-11.11
D_RSI_REVERT_RSI30_70_RR2_MH10,"{""label"": ""RSI30_70_RR2_MH10"", ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""risk_reward"": 2.0, ""sl_atr_mult"": 1.5, ""max_hold"": 10}",day,50,2018-01 to 2025-12,2330,966,1364,40.09,46.58,35.48,-10771022.0,-107.71,0.773,-100.0,109.0,-0.3847,-0.0133,-0.9175,4.13,-3.2,1.29,7.1,"{""fixed_sl"": 1069, ""fixed_tp"": 319, ""max_hold"": 942}",297,39.73,0.6529,-23.25,280,42.5,0.883,-6.4,292,37.67,0.6707,-29.69,288,43.4,0.9061,-5.36,323,41.18,0.8878,-7.05,303,33.0,0.5384,-23.57,299,40.47,0.7781,-11.98,248,43.55,0.989,-0.42
D_RSI_REVERT_RSI25_75_RR2.5_MH10,"{""label"": ""RSI25_75_RR2.5_MH10"", ""rsi_oversold"": 25, ""rsi_overbought"": 75, ""risk_reward"": 2.5, ""sl_atr_mult"": 1.5, ""max_hold"": 10}",day,50,2018-01 to 2025-12,2398,919,1479,40.45,47.12,36.31,-11410780.0,-114.11,0.7787,-100.0,129.38,-0.4057,-0.0153,-0.7729,4.34,-3.41,1.27,7.3,"{""fixed_sl"": 1094, ""fixed_tp"": 170, ""max_hold"": 1134}",296,36.15,0.6299,-25.96,279,40.5,0.7035,-17.69,319,33.54,0.5933,-46.74,288,45.83,0.9742,-1.43,339,48.38,1.1753,10.59,334,33.53,0.5773,-24.4,300,39.33,0.6804,-19.24,243,48.15,1.2914,10.77
D_RSI_REVERT_RSI20_80_RR3_MH15,"{""label"": ""RSI20_80_RR3_MH15"", ""rsi_oversold"": 20, ""rsi_overbought"": 80, ""risk_reward"": 3.0, ""sl_atr_mult"": 2.0, ""max_hold"": 15}",day,50,2018-01 to 2025-12,1267,470,797,40.17,47.66,35.76,-9548776.0,-95.49,0.7351,-32.43,110.76,0.3419,0.0,-0.2928,5.41,-4.56,1.19,11.5,"{""fixed_sl"": 539, ""max_hold"": 700, ""fixed_tp"": 28}",168,37.5,0.7198,-13.32,143,43.36,0.7769,-8.45,193,30.57,0.4647,-54.48,148,39.86,0.7376,-10.56,162,49.38,1.3088,10.78,174,37.36,0.5691,-16.3,145,37.24,0.6862,-11.23,134,50.0,1.3309,8.09
