label,spread_width_atr,long_offset_atr,hold_bars,squeeze_min,trend_atr_min,pt_pct,sl_pct,use_di,use_rsi,lots,total_trades,long_trades,short_trades,win_rate,profit_factor,total_pnl,avg_pnl_pct,long_avg_pnl_pct,short_avg_pnl_pct,cagr,sharpe,max_drawdown,calmar,final_equity,total_return_pct,avg_days_held,avg_dte,avg_debit_pts,avg_squeeze_bars,exit_hold,exit_pt,exit_sl,exit_expiry
SW0.5_LO0.0_H3_SQ2_noTF_PT50_SL40_SMA_L5,0.5,0.0,3,2,0,0.5,0.4,False,False,5,41,25,16,36.6,0.45,-38068.0,2.09,6.99,-5.56,-1.51,0.3,3.81,-0.4,961932.0,-3.81,2.9,31.4,138.7,8.0,37,2,2,0
SW0.5_LO0.0_H3_SQ2_noTF_PT100_SL60_SMA_L5,0.5,0.0,3,2,0,1.0,0.6,False,False,5,41,25,16,36.6,0.44,-38724.0,1.89,6.66,-5.56,-1.54,0.26,3.87,-0.4,961276.0,-3.87,2.9,31.4,138.7,8.0,40,0,1,0
SW0.5_LO0.0_H3_SQ2_noTF_PT150_SL70_SMA_L5,0.5,0.0,3,2,0,1.5,0.7,False,False,5,41,25,16,36.6,0.44,-38797.0,1.87,6.62,-5.56,-1.54,0.26,3.88,-0.4,961203.0,-3.88,2.9,31.4,138.7,8.0,41,0,0,0
SW0.5_LO0.0_H3_SQ2_TF0.5_PT50_SL40_SMA_L5,0.5,0.0,3,2,0.5,0.5,0.4,False,False,5,40,23,17,37.5,0.48,-33527.0,3.22,10.45,-6.57,-1.33,0.47,3.35,-0.4,966473.0,-3.35,2.9,30.9,139.1,7.9,37,2,1,0
SW0.5_LO0.0_H3_SQ2_TF0.5_PT100_SL60_SMA_L5,0.5,0.0,3,2,0.5,1.0,0.6,False,False,5,40,23,17,37.5,0.48,-33527.0,3.22,10.45,-6.57,-1.33,0.47,3.35,-0.4,966473.0,-3.35,2.9,30.9,139.1,7.9,40,0,0,0
SW0.5_LO0.0_H3_SQ2_TF0.5_PT150_SL70_SMA_L5,0.5,0.0,3,2,0.5,1.5,0.7,False,False,5,40,23,17,37.5,0.48,-33527.0,3.22,10.45,-6.57,-1.33,0.47,3.35,-0.4,966473.0,-3.35,2.9,30.9,139.1,7.9,40,0,0,0
SW0.5_LO0.0_H3_SQ2_TF1.0_PT50_SL40_SMA_L5,0.5,0.0,3,2,1.0,0.5,0.4,False,False,5,29,17,12,31.0,0.48,-25374.0,3.84,5.69,1.21,-1.08,0.48,2.75,-0.39,974626.0,-2.54,3.0,31.8,137.9,7.6,27,2,0,0
SW0.5_LO0.0_H3_SQ2_TF1.0_PT100_SL60_SMA_L5,0.5,0.0,3,2,1.0,1.0,0.6,False,False,5,29,17,12,31.0,0.48,-25374.0,3.84,5.69,1.21,-1.08,0.48,2.75,-0.39,974626.0,-2.54,3.0,31.8,137.9,7.6,29,0,0,0
SW0.5_LO0.0_H3_SQ2_TF1.0_PT150_SL70_SMA_L5,0.5,0.0,3,2,1.0,1.5,0.7,False,False,5,29,17,12,31.0,0.48,-25374.0,3.84,5.69,1.21,-1.08,0.48,2.75,-0.39,974626.0,-2.54,3.0,31.8,137.9,7.6,29,0,0,0
SW0.5_LO0.0_H3_SQ2_TF1.5_PT50_SL40_SMA_L5,0.5,0.0,3,2,1.5,0.5,0.4,False,False,5,19,11,8,21.1,0.39,-21239.0,-0.36,1.98,-3.59,-0.94,-0.04,2.15,-0.44,978761.0,-2.12,3.0,30.7,147.3,7.2,18,1,0,0
