seed,cagr_pct,max_drawdown_pct,calmar,sharpe,trades,win_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_losing_streak,final_value_inr
1,21.2,-32.45,0.653,1.206,689,49.1,37.44,-11.73,12.395,14,64755616
2,19.87,-35.91,0.553,1.142,692,48.4,36.37,-11.59,11.628,14,50906556
3,21.82,-32.45,0.672,1.235,683,49.6,37.33,-11.42,12.775,13,72253744
4,20.91,-35.86,0.583,1.187,689,49.3,36.85,-11.79,12.21,14,61417976
5,21.08,-34.8,0.606,1.201,692,48.8,37.02,-11.48,12.21,14,63371452
6,21.43,-32.45,0.661,1.222,687,49.3,37.22,-11.54,12.517,14,67466632
7,20.13,-32.51,0.619,1.159,690,48.7,36.39,-11.59,11.777,14,53356496
8,20.4,-32.52,0.627,1.17,692,48.8,36.67,-11.78,11.882,14,56070056
9,21.37,-35.91,0.595,1.208,683,49.0,37.55,-11.5,12.559,14,66650232
10,21.35,-35.36,0.604,1.202,687,48.5,37.95,-11.52,12.459,14,66442888
11,21.44,-32.52,0.659,1.218,685,49.6,36.84,-11.51,12.488,14,67536832
12,21.35,-32.52,0.657,1.201,679,48.7,38.04,-11.73,12.533,14,66487092
13,20.57,-35.36,0.582,1.17,688,47.2,38.35,-11.56,12.017,14,57761476
14,21.64,-35.37,0.612,1.227,686,49.3,37.52,-11.49,12.655,14,70040712
15,21.8,-35.37,0.617,1.23,686,49.1,37.75,-11.48,12.702,14,72088880
16,21.31,-32.45,0.657,1.216,685,49.2,37.3,-11.57,12.474,14,65967328
17,21.54,-35.86,0.601,1.218,683,49.2,37.7,-11.56,12.672,14,68810032
18,21.64,-35.91,0.603,1.225,686,49.6,37.24,-11.46,12.68,14,70048616
19,20.56,-32.51,0.632,1.179,688,49.3,36.32,-11.61,12.009,14,57648004
20,21.21,-32.52,0.652,1.203,689,49.3,36.83,-11.54,12.33,14,64833808
21,21.65,-35.36,0.612,1.217,689,48.9,37.84,-11.56,12.603,14,70068128
22,20.78,-34.81,0.597,1.179,692,48.7,36.9,-11.56,12.042,14,60033336
23,21.17,-35.91,0.589,1.202,686,49.6,36.76,-11.55,12.396,14,64351788
24,21.89,-35.36,0.619,1.234,682,49.4,37.61,-11.44,12.795,13,73134984
25,21.56,-32.52,0.663,1.22,689,49.2,37.5,-11.63,12.54,14,68989040
26,21.12,-35.36,0.597,1.187,687,48.8,37.57,-11.6,12.376,14,63770272
27,20.99,-32.52,0.645,1.2,686,49.3,36.76,-11.53,12.261,14,62266360
28,21.51,-32.45,0.663,1.216,682,49.9,37.16,-11.7,12.659,13,68344624
29,20.66,-35.85,0.576,1.177,688,49.0,36.88,-11.69,12.1,14,58715408
30,20.66,-32.52,0.635,1.182,693,49.2,36.39,-11.6,12.015,14,58746196
