symbol,total_trades,wins,losses,win_rate,profit_factor,total_pnl,avg_win_pct,avg_loss_pct,avg_rr,long_trades,long_wr,short_trades,short_wr,tp_hits,sl_hits,max_hold_exits
ONGC,12,9,3,75.0,6.25,264862.0,3.52,-1.66,2.12,6,66.7,6,83.3,1,0,10
TATAMOTORS,133,79,54,59.4,1.92,2154872.0,5.72,-4.33,1.32,82,59.8,51,58.8,4,21,108
BAJFINANCE,115,58,57,50.4,1.77,1094803.0,4.35,-2.47,1.76,58,65.5,57,35.1,2,13,100
TATASTEEL,127,75,52,59.1,1.62,1412079.0,4.96,-4.38,1.13,68,63.2,59,54.2,3,24,100
ADANIENT,147,71,76,48.3,1.56,1546543.0,6.09,-3.61,1.69,80,46.2,67,50.7,9,19,118
ULTRACEMCO,146,76,70,52.1,1.48,935726.0,3.8,-2.75,1.38,80,50.0,66,54.5,1,26,119
AXISBANK,133,71,62,53.4,1.46,734025.0,3.32,-2.58,1.29,74,56.8,59,49.2,1,20,112
INFY,144,80,64,55.6,1.38,618278.0,2.83,-2.53,1.12,84,56.0,60,55.0,2,22,120
HCLTECH,137,65,72,47.4,1.37,631609.0,3.6,-2.34,1.54,82,48.8,55,45.5,2,20,115
RELIANCE,128,66,62,51.6,1.34,587710.0,3.54,-2.78,1.27,70,51.4,58,51.7,1,21,106
WIPRO,142,77,65,54.2,1.34,632739.0,3.23,-2.81,1.15,84,57.1,58,50.0,1,27,113
MARUTI,142,73,69,51.4,1.28,620205.0,3.87,-3.15,1.23,80,52.5,62,50.0,2,28,112
ITC,141,75,66,53.2,1.24,395698.0,2.71,-2.43,1.11,82,43.9,59,66.1,1,23,117
SBIN,135,67,68,49.6,1.22,440208.0,3.69,-2.95,1.25,80,52.5,55,45.5,0,23,112
NESTLEIND,145,66,79,45.5,1.21,339929.0,2.96,-2.0,1.48,80,45.0,65,46.2,1,17,127
APOLLOHOSP,134,65,69,48.5,1.19,453311.0,4.35,-3.4,1.28,78,59.0,56,33.9,2,27,105
TCS,135,78,57,57.8,1.18,299591.0,2.59,-2.97,0.87,69,69.6,66,45.5,1,25,108
LT,146,71,75,48.6,1.16,332948.0,3.34,-2.68,1.25,81,49.4,65,47.7,2,24,119
NTPC,146,74,72,50.7,1.16,330363.0,3.3,-2.9,1.14,77,55.8,69,44.9,1,24,120
ADANIPORTS,150,76,74,50.7,1.11,310358.0,4.22,-3.88,1.09,79,49.4,71,52.1,1,32,117
ASIANPAINT,138,77,61,55.8,1.11,187849.0,2.52,-2.83,0.89,73,57.5,65,53.8,1,26,111
HDFCLIFE,136,69,67,50.7,1.11,243093.0,3.54,-3.24,1.09,61,47.5,75,53.3,1,26,109
TITAN,138,66,72,47.8,1.11,216461.0,3.36,-2.74,1.23,77,55.8,61,37.7,2,26,110
