variant,N_taken,WR_pct,raw_breaks,aborted,never_conf,imm_conf,delayed_conf,med_wait_min,med_min_to_sl
OR15m  RSI>55/<45  K=0 (0min wait),325,72.9,432,0,107,325,0,0.0,142.0
OR15m  RSI>55/<45  K=1 (5min wait),332,72.6,432,45,55,325,7,0.0,135.0
OR15m  RSI>55/<45  K=2 (10min wait),336,72.6,432,57,39,325,11,0.0,138.0
OR15m  RSI>55/<45  K=3 (15min wait),337,72.7,432,66,29,325,12,0.0,138.0
OR15m  RSI>55/<45  K=6 (30min wait),340,72.9,432,84,8,325,15,0.0,138.0
OR15m  RSI>55/<45  K=12 (60min wait),343,72.9,432,84,5,325,18,0.0,140.0
OR15m  RSI>60/<40  K=0 (0min wait),270,73.0,432,0,162,270,0,0.0,135.0
OR15m  RSI>60/<40  K=1 (5min wait),283,72.4,432,64,85,270,13,0.0,140.0
OR15m  RSI>60/<40  K=2 (10min wait),292,72.9,432,83,57,270,22,0.0,140.0
OR15m  RSI>60/<40  K=3 (15min wait),292,72.9,432,96,44,270,22,0.0,140.0
OR15m  RSI>60/<40  K=6 (30min wait),300,73.7,432,119,13,270,30,0.0,140.0
OR15m  RSI>60/<40  K=12 (60min wait),304,73.7,432,120,8,270,34,0.0,142.0
OR15m  RSI>65/<35  K=0 (0min wait),193,74.6,432,0,239,193,0,0.0,140.0
OR15m  RSI>65/<35  K=1 (5min wait),212,74.5,432,83,137,193,19,0.0,142.0
OR15m  RSI>65/<35  K=2 (10min wait),224,73.7,432,116,92,193,31,0.0,130.0
OR15m  RSI>65/<35  K=3 (15min wait),231,74.0,432,132,69,193,38,0.0,135.0
OR15m  RSI>65/<35  K=6 (30min wait),240,74.6,432,160,32,193,47,0.0,130.0
OR15m  RSI>65/<35  K=12 (60min wait),244,75.0,432,165,23,193,51,0.0,130.0
OR30m  RSI>55/<45  K=0 (0min wait),346,78.6,405,0,59,346,0,0.0,168.0
OR30m  RSI>55/<45  K=1 (5min wait),354,78.5,405,22,29,346,8,0.0,165.0
OR30m  RSI>55/<45  K=2 (10min wait),355,78.6,405,30,20,346,9,0.0,165.0
OR30m  RSI>55/<45  K=3 (15min wait),359,78.8,405,34,12,346,13,0.0,165.0
OR30m  RSI>55/<45  K=6 (30min wait),360,78.9,405,41,4,346,14,0.0,165.0
OR30m  RSI>55/<45  K=12 (60min wait),361,78.9,405,41,3,346,15,0.0,165.0
OR30m  RSI>60/<40  K=0 (0min wait),296,79.1,405,0,109,296,0,0.0,178.0
OR30m  RSI>60/<40  K=1 (5min wait),311,79.1,405,36,58,296,15,0.0,170.0
OR30m  RSI>60/<40  K=2 (10min wait),317,79.2,405,54,34,296,21,0.0,170.0
OR30m  RSI>60/<40  K=3 (15min wait),317,79.2,405,59,29,296,21,0.0,170.0
OR30m  RSI>60/<40  K=6 (30min wait),322,79.5,405,73,10,296,26,0.0,170.0
OR30m  RSI>60/<40  K=12 (60min wait),326,79.8,405,75,4,296,30,0.0,170.0
OR30m  RSI>65/<35  K=0 (0min wait),209,79.4,405,0,196,209,0,0.0,165.0
OR30m  RSI>65/<35  K=1 (5min wait),227,79.7,405,62,116,209,18,0.0,168.0
OR30m  RSI>65/<35  K=2 (10min wait),247,79.8,405,92,66,209,38,0.0,158.0
OR30m  RSI>65/<35  K=3 (15min wait),250,79.6,405,100,55,209,41,0.0,165.0
OR30m  RSI>65/<35  K=6 (30min wait),258,79.8,405,118,29,209,49,0.0,158.0
OR30m  RSI>65/<35  K=12 (60min wait),263,80.2,405,125,17,209,54,0.0,158.0
