or_min,x_frac,N,Wins,Losses,WR_pct,Tr_per_yr,Wins_per_yr,Losses_per_yr,Med_min_to_SL,Med_fav_eod_win_pct,Med_SL_dist_pct
15,0.25,326,116,210,35.6,180.6,64.2,116.3,45.0,0.295,0.15
15,0.5,326,163,163,50.0,180.6,90.3,90.3,85.0,0.22,0.244
15,0.75,326,199,127,61.0,180.6,110.2,70.3,110.0,0.205,0.337
15,1.0,326,228,98,69.9,180.6,126.3,54.3,135.0,0.19,0.431
15,1.25,326,252,74,77.3,180.6,139.6,41.0,145.0,0.174,0.521
15,1.5,326,270,56,82.8,180.6,149.5,31.0,158.0,0.16,0.612
30,0.25,342,123,219,36.0,189.4,68.1,121.3,50.0,0.249,0.163
30,0.5,342,189,153,55.3,189.4,104.7,84.7,95.0,0.212,0.28
30,0.75,342,234,108,68.4,189.4,129.6,59.8,120.0,0.199,0.394
30,1.0,342,262,80,76.6,189.4,145.1,44.3,165.0,0.172,0.504
30,1.25,342,285,57,83.3,189.4,157.8,31.6,175.0,0.141,0.616
30,1.5,342,302,40,88.3,189.4,167.3,22.2,200.0,0.121,0.722
45,0.25,343,140,203,40.8,190.0,77.5,112.4,65.0,0.223,0.172
45,0.5,343,207,136,60.3,190.0,114.6,75.3,102.0,0.193,0.292
45,0.75,343,249,94,72.6,190.0,137.9,52.1,130.0,0.171,0.412
45,1.0,343,283,60,82.5,190.0,156.7,33.2,165.0,0.125,0.535
45,1.25,343,303,40,88.3,190.0,167.8,22.2,175.0,0.097,0.657
45,1.5,343,312,31,91.0,190.0,172.8,17.2,190.0,0.086,0.776
60,0.25,340,141,199,41.5,188.3,78.1,110.2,70.0,0.241,0.174
60,0.5,340,215,125,63.2,188.3,119.1,69.2,105.0,0.188,0.309
60,0.75,340,258,82,75.9,188.3,142.9,45.4,130.0,0.138,0.435
60,1.0,340,288,52,84.7,188.3,159.5,28.8,168.0,0.092,0.565
60,1.25,340,305,35,89.7,188.3,168.9,19.4,180.0,0.077,0.693
60,1.5,340,316,24,92.9,188.3,175.0,13.3,198.0,0.064,0.819
