label,split,signal,strike_dist,trend_filter,bnf_trades,bnf_win_rate,bnf_pf,bnf_cagr,bnf_return,bnf_dd,bnf_avg_dte,bnf_final_cap,nft_trades,nft_win_rate,nft_pf,nft_cagr,nft_return,nft_dd,nft_avg_dte,nft_final_cap,combined_return,combined_cagr,combined_dd,combined_final,total_trades,total_capital
COMBINED_6L_4L_BB_only_SD1.5_TF2.0,6L_4L,BB_only,1.5,TF2.0,29,86.21,15.93,22.9,83.77,1.91,29.9,1102638.0,47,76.6,2.2,6.12,19.02,5.64,11.3,476075.5,57.87,16.73,2.14,1578713.5,76,1000000
COMBINED_6L_4L_BB_only_SD1.5_TF1.5,6L_4L,BB_only,1.5,TF1.5,27,92.59,24.45,21.37,77.11,1.94,29.3,1062676.35,45,73.33,2.01,5.55,17.16,5.59,11.1,468626.0,53.13,15.53,2.43,1531302.35,72,1000000
COMBINED_6L_4L_BB_only_SD1.5_noTF,6L_4L,BB_only,1.5,noTF,31,74.19,9.05,18.67,65.73,2.1,29.3,994388.55,55,72.73,1.84,5.92,18.38,5.31,10.7,473530.0,46.79,13.89,2.73,1467918.55,86,1000000
COMBINED_6L_4L_BB_only_SD2.0_TF2.0,6L_4L,BB_only,2.0,TF2.0,29,86.21,16.39,21.8,78.96,1.95,29.9,1073762.85,47,76.6,2.09,5.13,15.79,5.21,11.3,463163.5,53.69,15.68,2.09,1536926.35,76,1000000
COMBINED_6L_4L_BB_only_SD2.0_TF1.5,6L_4L,BB_only,2.0,TF1.5,27,92.59,24.07,20.3,72.56,1.97,29.3,1035363.15,45,73.33,1.81,4.24,12.96,5.25,11.1,451824.5,48.72,14.39,2.46,1487187.65,72,1000000
COMBINED_6L_4L_BB_only_SD2.0_noTF,6L_4L,BB_only,2.0,noTF,31,77.42,9.77,17.87,62.45,2.13,29.3,974701.5,55,72.73,1.77,4.86,14.92,4.74,10.7,459686.0,43.44,13.0,2.57,1434387.5,86,1000000
COMBINED_6L_4L_BB+ATR_SD1.5_TF2.0,6L_4L,BB+ATR,1.5,TF2.0,22,77.27,5.7,11.63,38.69,2.12,31.3,832117.2,29,68.97,1.34,1.91,5.75,5.55,11.7,423019.5,25.51,7.94,2.33,1255136.7,51,1000000
COMBINED_6L_4L_BB+ATR_SD1.5_TF1.5,6L_4L,BB+ATR,1.5,TF1.5,22,77.27,5.93,12.15,40.61,2.09,30.9,843659.7,28,64.29,0.89,-0.6,-1.77,6.04,11.4,392920.5,23.66,7.4,2.37,1236580.2,50,1000000
COMBINED_6L_4L_BB+ATR_SD1.5_noTF,6L_4L,BB+ATR,1.5,noTF,22,81.82,6.38,12.44,41.72,2.07,31.6,850304.4,33,66.67,1.14,1.04,3.09,8.53,11.3,412354.0,26.27,8.16,2.32,1262658.4,55,1000000
COMBINED_6L_4L_BB+ATR_SD2.0_TF2.0,6L_4L,BB+ATR,2.0,TF2.0,22,77.27,5.81,10.96,36.22,2.15,31.3,817332.9,29,68.97,1.25,1.29,3.85,5.35,11.7,415410.5,23.27,7.29,2.39,1232743.4,51,1000000
COMBINED_6L_4L_BB+ATR_SD2.0_TF1.5,6L_4L,BB+ATR,2.0,TF1.5,22,77.27,6.08,11.51,38.25,2.12,30.9,829486.05,28,64.29,0.85,-0.8,-2.34,5.77,11.4,390651.5,22.01,6.92,2.41,1220137.55,50,1000000
COMBINED_6L_4L_BB+ATR_SD2.0_noTF,6L_4L,BB+ATR,2.0,noTF,22,81.82,6.53,11.74,39.1,2.11,31.6,834606.15,33,66.67,1.05,0.33,0.99,8.33,11.3,403945.5,23.86,7.46,2.38,1238551.65,55,1000000
COMBINED_7L_3L_BB_only_SD1.5_TF2.0,7L_3L,BB_only,1.5,TF2.0,29,86.21,17.07,25.65,96.17,1.81,29.9,1373184.0,47,76.6,2.43,8.6,27.36,6.34,11.3,382075.5,75.53,21.0,2.17,1755259.5,76,1000000
COMBINED_7L_3L_BB_only_SD1.5_TF1.5,7L_3L,BB_only,1.5,TF1.5,27,92.59,27.59,23.97,88.56,1.85,29.3,1319901.8,45,73.33,2.32,8.16,25.88,6.31,11.1,377626.0,69.75,19.64,2.24,1697527.8,72,1000000
COMBINED_7L_3L_BB_only_SD1.5_noTF,7L_3L,BB_only,1.5,noTF,31,74.19,9.49,21.01,75.55,2.01,29.3,1228851.4,55,72.73,2.06,8.64,27.51,6.06,10.7,382530.0,61.14,17.54,2.63,1611381.4,86,1000000
COMBINED_7L_3L_BB_only_SD2.0_TF2.0,7L_3L,BB_only,2.0,TF2.0,29,86.21,17.68,24.44,90.67,1.85,29.9,1334683.8,47,76.6,2.33,7.33,23.05,5.81,11.3,369163.5,70.38,19.79,2.13,1703847.3,76,1000000
COMBINED_7L_3L_BB_only_SD2.0_TF1.5,7L_3L,BB_only,2.0,TF1.5,27,92.59,27.33,22.8,83.35,1.88,29.3,1283484.2,45,73.33,2.11,6.5,20.27,5.89,11.1,360824.5,64.43,18.35,2.27,1644308.7,72,1000000
COMBINED_7L_3L_BB_only_SD2.0_noTF,7L_3L,BB_only,2.0,noTF,31,77.42,10.31,20.12,71.8,2.05,29.3,1202602.0,55,72.73,2.01,7.28,22.9,5.23,10.7,368686.0,57.13,16.55,2.41,1571288.0,86,1000000
COMBINED_7L_3L_BB+ATR_SD1.5_TF2.0,7L_3L,BB+ATR,1.5,TF2.0,22,77.27,6.04,13.24,44.75,2.13,31.3,1013220.2,29,68.97,1.48,3.18,9.67,6.4,11.7,329019.5,34.22,10.41,2.25,1342239.7,51,1000000
