label,symbol,sl_pct,max_reentries,min_squeeze_bars,entry_start,total_pnl,avg_daily_pnl,win_rate,profit_factor,sharpe,sortino,max_drawdown,best_day,worst_day,entry_days,squeeze_days,total_strangles,total_sl_hits,total_reentries,avg_reentries_per_day,avg_premium
NIFTY50_SL15_RE0_SQ1_E0920,NIFTY50,0.15,0,1,09:20,-163933.0,-377.0,38.2,0.92,-0.54,-1.51,487863.0,38878.0,-18850.0,435,436,435,579,0,0.0,173.7
NIFTY50_SL15_RE0_SQ1_E1000,NIFTY50,0.15,0,1,10:00,-158778.0,-365.0,37.9,0.92,-0.53,-1.48,432076.0,38878.0,-18716.0,435,436,435,575,0,0.0,173.7
NIFTY50_SL15_RE0_SQ5_E0920,NIFTY50,0.15,0,5,09:20,-163933.0,-377.0,38.2,0.92,-0.54,-1.51,487863.0,38878.0,-18850.0,435,436,435,579,0,0.0,173.7
NIFTY50_SL15_RE0_SQ5_E1000,NIFTY50,0.15,0,5,10:00,-158778.0,-365.0,37.9,0.92,-0.53,-1.48,432076.0,38878.0,-18716.0,435,436,435,575,0,0.0,173.7
NIFTY50_SL15_RE0_SQ10_E0920,NIFTY50,0.15,0,10,09:20,-163933.0,-377.0,38.2,0.92,-0.54,-1.51,487863.0,38878.0,-18850.0,435,436,435,579,0,0.0,173.7
NIFTY50_SL15_RE0_SQ10_E1000,NIFTY50,0.15,0,10,10:00,-158778.0,-365.0,37.9,0.92,-0.53,-1.48,432076.0,38878.0,-18716.0,435,436,435,575,0,0.0,173.7
NIFTY50_SL15_RE1_SQ1_E0920,NIFTY50,0.15,1,1,09:20,-67212.0,-155.0,40.2,0.97,-0.16,-0.35,462056.0,65091.0,-30386.0,435,436,435,976,324,0.7,296.0
NIFTY50_SL15_RE1_SQ1_E1000,NIFTY50,0.15,1,1,10:00,-114373.0,-263.0,39.8,0.95,-0.27,-0.6,461102.0,61898.0,-30386.0,435,436,435,976,327,0.8,297.1
NIFTY50_SL15_RE1_SQ5_E0920,NIFTY50,0.15,1,5,09:20,-67212.0,-155.0,40.2,0.97,-0.16,-0.35,462056.0,65091.0,-30386.0,435,436,435,976,324,0.7,296.0
NIFTY50_SL15_RE1_SQ5_E1000,NIFTY50,0.15,1,5,10:00,-114373.0,-263.0,39.8,0.95,-0.27,-0.6,461102.0,61898.0,-30386.0,435,436,435,976,327,0.8,297.1
NIFTY50_SL15_RE1_SQ10_E0920,NIFTY50,0.15,1,10,09:20,-67212.0,-155.0,40.2,0.97,-0.16,-0.35,462056.0,65091.0,-30386.0,435,436,435,976,324,0.7,296.0
NIFTY50_SL15_RE1_SQ10_E1000,NIFTY50,0.15,1,10,10:00,-114373.0,-263.0,39.8,0.95,-0.27,-0.6,461102.0,61898.0,-30386.0,435,436,435,976,327,0.8,297.1
NIFTY50_SL15_RE3_SQ1_E0920,NIFTY50,0.15,3,1,09:20,-290530.0,-668.0,38.9,0.91,-0.5,-0.96,809333.0,87580.0,-60388.0,435,436,435,1529,770,1.8,455.5
NIFTY50_SL15_RE3_SQ1_E1000,NIFTY50,0.15,3,1,10:00,-395049.0,-908.0,39.3,0.88,-0.7,-1.29,802372.0,87580.0,-60388.0,435,436,435,1535,775,1.8,457.3
NIFTY50_SL15_RE3_SQ5_E0920,NIFTY50,0.15,3,5,09:20,-290530.0,-668.0,38.9,0.91,-0.5,-0.96,809333.0,87580.0,-60388.0,435,436,435,1529,770,1.8,455.5
NIFTY50_SL15_RE3_SQ5_E1000,NIFTY50,0.15,3,5,10:00,-395049.0,-908.0,39.3,0.88,-0.7,-1.29,802372.0,87580.0,-60388.0,435,436,435,1535,775,1.8,457.3
NIFTY50_SL15_RE3_SQ10_E0920,NIFTY50,0.15,3,10,09:20,-290530.0,-668.0,38.9,0.91,-0.5,-0.96,809333.0,87580.0,-60388.0,435,436,435,1529,770,1.8,455.5
NIFTY50_SL15_RE3_SQ10_E1000,NIFTY50,0.15,3,10,10:00,-395049.0,-908.0,39.3,0.88,-0.7,-1.29,802372.0,87580.0,-60388.0,435,436,435,1535,775,1.8,457.3
NIFTY50_SL15_RE5_SQ1_E0920,NIFTY50,0.15,5,1,09:20,-159639.0,-367.0,38.9,0.95,-0.24,-0.47,731965.0,128201.0,-72210.0,435,436,435,1818,1019,2.3,539.6
NIFTY50_SL15_RE5_SQ1_E1000,NIFTY50,0.15,5,1,10:00,-328288.0,-755.0,39.3,0.91,-0.52,-0.94,745395.0,110477.0,-72210.0,435,436,435,1829,1031,2.4,544.4
NIFTY50_SL15_RE5_SQ5_E0920,NIFTY50,0.15,5,5,09:20,-159639.0,-367.0,38.9,0.95,-0.24,-0.47,731965.0,128201.0,-72210.0,435,436,435,1818,1019,2.3,539.6
NIFTY50_SL15_RE5_SQ5_E1000,NIFTY50,0.15,5,5,10:00,-328288.0,-755.0,39.3,0.91,-0.52,-0.94,745395.0,110477.0,-72210.0,435,436,435,1829,1031,2.4,544.4
NIFTY50_SL15_RE5_SQ10_E0920,NIFTY50,0.15,5,10,09:20,-159639.0,-367.0,38.9,0.95,-0.24,-0.47,731965.0,128201.0,-72210.0,435,436,435,1818,1019,2.3,539.6
NIFTY50_SL15_RE5_SQ10_E1000,NIFTY50,0.15,5,10,10:00,-328288.0,-755.0,39.3,0.91,-0.52,-0.94,745395.0,110477.0,-72210.0,435,436,435,1829,1031,2.4,544.4
NIFTY50_SL20_RE0_SQ1_E0920,NIFTY50,0.2,0,1,09:20,-114568.0,-263.0,43.9,0.94,-0.39,-0.75,340401.0,35686.0,-24183.0,435,436,435,454,0,0.0,173.7
NIFTY50_SL20_RE0_SQ1_E1000,NIFTY50,0.2,0,1,10:00,-42169.0,-97.0,44.1,0.98,-0.14,-0.28,258381.0,35686.0,-24174.0,435,436,435,446,0,0.0,173.7
NIFTY50_SL20_RE0_SQ5_E0920,NIFTY50,0.2,0,5,09:20,-114568.0,-263.0,43.9,0.94,-0.39,-0.75,340401.0,35686.0,-24183.0,435,436,435,454,0,0.0,173.7
NIFTY50_SL20_RE0_SQ5_E1000,NIFTY50,0.2,0,5,10:00,-42169.0,-97.0,44.1,0.98,-0.14,-0.28,258381.0,35686.0,-24174.0,435,436,435,446,0,0.0,173.7
NIFTY50_SL20_RE0_SQ10_E0920,NIFTY50,0.2,0,10,09:20,-114568.0,-263.0,43.9,0.94,-0.39,-0.75,340401.0,35686.0,-24183.0,435,436,435,454,0,0.0,173.7
NIFTY50_SL20_RE0_SQ10_E1000,NIFTY50,0.2,0,10,10:00,-42169.0,-97.0,44.1,0.98,-0.14,-0.28,258381.0,35686.0,-24174.0,435,436,435,446,0,0.0,173.7
