label,symbol,trades,win_rate,profit_factor,total_pnl,avg_win,avg_loss,max_dd,sharpe,target_exits,sl_exits,eod_exits,long_wr,short_wr
OR5_baseline,ADANIENT,415,44.8,1.08,429.2,29.5,-22.1,381.8,0.46,114,167,134,35.6,52.9
OR5_baseline,TATASTEEL,409,46.7,1.14,36.4,1.6,-1.2,16.3,0.81,74,124,211,44.3,49.0
OR5_baseline,BEL,409,54.5,1.38,204.5,3.3,-2.9,26.4,1.92,81,114,214,52.1,56.6
OR5_baseline,VEDL,407,50.4,1.18,156.7,5.1,-4.4,59.5,0.99,78,121,208,54.1,47.0
OR5_baseline,BANKBARODA,416,43.5,0.87,-61.0,2.3,-2.0,68.7,-0.81,69,158,189,41.8,45.1
OR5_baseline,BPCL,409,48.4,1.08,47.4,3.2,-2.8,52.3,0.49,74,138,197,47.5,49.3
OR5_baseline,M&M,402,51.2,1.17,799.0,26.8,-24.1,413.2,1.01,75,96,231,51.2,51.3
OR5_baseline,BAJFINANCE,408,44.1,1.06,72.8,7.5,-5.6,156.4,0.35,78,128,202,46.2,42.1
OR5_R2.0,ADANIENT,415,43.1,1.18,904.0,33.6,-21.7,394.9,0.87,77,169,169,34.0,51.1
OR5_R2.0,TATASTEEL,409,45.5,1.19,50.2,1.7,-1.2,15.5,1.03,42,126,241,42.8,48.1
OR5_R2.0,BEL,409,53.5,1.42,226.6,3.5,-2.9,32.6,1.93,52,116,241,51.6,55.2
OR5_R2.0,VEDL,407,49.1,1.22,195.8,5.5,-4.4,70.2,1.17,44,125,238,53.6,45.1
OR5_R2.0,BANKBARODA,416,42.8,0.95,-23.1,2.6,-2.0,53.0,-0.28,49,159,208,41.3,44.2
OR5_R2.0,BPCL,409,46.9,1.02,13.7,3.2,-2.8,75.2,0.14,36,142,231,45.4,48.4
OR5_R2.0,M&M,402,50.8,1.2,971.0,28.1,-24.0,403.2,1.16,43,98,261,51.2,50.3
OR5_R2.0,BAJFINANCE,408,42.4,1.08,101.4,8.2,-5.6,166.2,0.46,48,133,227,44.7,40.2
OR5_VWAP_CPRdir,ADANIENT,290,53.5,1.3,931.1,25.9,-22.8,305.4,1.17,89,105,96,30.0,54.3
OR5_VWAP_CPRdir,TATASTEEL,325,44.3,1.06,13.0,1.6,-1.2,15.4,0.33,61,105,159,40.7,49.0
OR5_VWAP_CPRdir,BEL,314,54.5,1.35,149.9,3.4,-3.0,27.8,1.54,65,97,152,52.3,57.1
OR5_VWAP_CPRdir,VEDL,332,49.7,1.23,161.1,5.2,-4.2,93.8,1.17,66,105,161,51.8,46.8
OR5_VWAP_CPRdir,BANKBARODA,341,41.6,0.77,-92.5,2.2,-2.0,97.4,-1.35,56,136,149,39.9,43.9
OR5_VWAP_CPRdir,BPCL,264,50.4,1.13,44.9,3.0,-2.6,36.7,0.6,46,79,139,33.3,51.0
OR5_VWAP_CPRdir,M&M,311,50.8,1.12,434.6,26.1,-24.1,335.5,0.63,53,79,179,51.1,50.4
OR5_VWAP_CPRdir,BAJFINANCE,345,44.4,1.09,93.2,7.3,-5.4,101.7,0.51,70,102,173,46.0,42.9
OR5_VWAP_RSI60_CPRdir,ADANIENT,149,55.7,1.21,369.6,25.7,-26.7,372.5,0.63,49,46,54,30.0,57.5
OR5_VWAP_RSI60_CPRdir,TATASTEEL,233,47.2,1.12,18.6,1.6,-1.2,15.0,0.55,47,65,121,42.6,52.9
OR5_VWAP_RSI60_CPRdir,BEL,232,56.5,1.49,148.9,3.5,-3.0,23.6,1.67,54,60,118,50.7,64.9
OR5_VWAP_RSI60_CPRdir,VEDL,252,52.4,1.5,236.6,5.4,-4.0,41.9,1.95,57,68,127,50.3,55.8
OR5_VWAP_RSI60_CPRdir,BANKBARODA,248,45.6,0.83,-46.1,2.0,-2.0,57.0,-0.86,44,82,122,44.9,46.4
OR5_VWAP_RSI60_CPRdir,BPCL,134,51.5,1.04,7.8,2.8,-2.9,26.4,0.15,21,35,78,28.6,52.8
OR5_VWAP_RSI60_CPRdir,M&M,232,51.3,1.1,277.1,25.6,-24.5,420.8,0.47,37,58,137,54.6,47.1
OR5_VWAP_RSI60_CPRdir,BAJFINANCE,267,47.6,1.21,155.8,7.2,-5.4,98.8,0.95,53,70,144,49.2,46.2
OR5_VWAP_RSI60_CPRdir_CPRw05,ADANIENT,76,63.2,2.43,810.1,28.7,-20.3,72.1,2.38,31,17,28,100.0,61.6
OR5_VWAP_RSI60_CPRdir_CPRw05,TATASTEEL,142,50.0,1.36,31.4,1.7,-1.2,10.2,1.14,34,38,70,48.7,51.6
OR5_VWAP_RSI60_CPRdir_CPRw05,BEL,148,54.7,1.52,89.2,3.2,-2.6,17.8,1.64,33,40,75,47.1,65.6
OR5_VWAP_RSI60_CPRdir_CPRw05,VEDL,172,51.7,1.4,124.2,4.9,-3.7,40.7,1.39,39,46,87,50.0,55.0
OR5_VWAP_RSI60_CPRdir_CPRw05,BANKBARODA,176,45.5,0.96,-5.8,2.0,-1.7,40.5,-0.15,32,54,90,43.3,48.6
OR5_VWAP_RSI60_CPRdir_CPRw05,BPCL,92,58.7,1.61,56.5,2.8,-2.5,17.1,1.46,18,18,56,28.6,61.2
OR5_VWAP_RSI60_CPRdir_CPRw05,M&M,138,52.9,1.2,298.9,24.4,-22.9,347.1,0.71,27,31,80,53.9,51.7
OR5_VWAP_RSI60_CPRdir_CPRw05,BAJFINANCE,167,49.7,1.42,177.6,7.3,-5.1,65.5,1.42,37,44,86,52.6,47.2
OR5_VWAP_CPRdir_CPRw05,ADANIENT,164,53.0,1.74,1038.4,28.1,-18.2,90.8,1.79,50,56,58,100.0,52.2
OR5_VWAP_CPRdir_CPRw05,TATASTEEL,193,43.0,1.11,14.5,1.7,-1.1,14.5,0.48,40,65,88,41.5,44.8
OR5_VWAP_CPRdir_CPRw05,BEL,205,53.2,1.38,94.0,3.1,-2.6,24.6,1.51,42,65,98,47.6,58.8
OR5_VWAP_CPRdir_CPRw05,VEDL,221,49.3,1.21,89.2,4.8,-3.9,73.2,0.9,40,70,111,50.8,47.4
OR5_VWAP_CPRdir_CPRw05,BANKBARODA,246,41.9,0.8,-51.3,2.0,-1.8,58.5,-1.12,42,93,111,38.9,45.8
OR5_VWAP_CPRdir_CPRw05,BPCL,180,55.0,1.52,98.9,2.9,-2.4,24.2,1.64,35,46,99,33.3,56.1
OR5_VWAP_CPRdir_CPRw05,M&M,183,51.9,1.08,165.3,23.9,-24.0,440.5,0.33,34,45,104,50.5,53.8
OR5_VWAP_CPRdir_CPRw05,BAJFINANCE,216,46.8,1.32,184.1,7.5,-5.0,66.8,1.31,50,64,102,48.5,45.2
