label,symbol,trades,win_rate,profit_factor,total_pnl,avg_win,avg_loss,max_dd,sharpe,target_exits,sl_exits,eod_exits,long_wr,short_wr
OR15_MT1_SLoro_TGTr1.5,ADANIENT,404,48.76,1.26,1167.1,28.51,-21.49,358.6,1.33,84,121,199,40.11,55.51
OR15_MT1_SLoro_TGTr1.5,TATASTEEL,385,50.91,1.38,84.66,1.57,-1.19,15.03,1.86,53,87,245,46.37,54.85
OR15_MT1_SLoro_TGTr1.5,BEL,386,55.18,1.44,207.56,3.19,-2.73,39.15,2.03,57,74,255,58.02,53.12
OR15_MT1_SLoro_TGTr1.5,VEDL,391,50.38,1.12,106.06,5.0,-4.53,67.97,0.66,50,98,243,52.94,48.04
OR15_MT1_SLoro_TGTr1.5,BANKBARODA,399,43.61,0.86,-66.34,2.34,-2.1,97.88,-0.89,51,119,229,39.79,47.12
OR15_MT1_SLoro_TGTr1.5,BPCL,384,49.48,1.02,8.58,2.95,-2.84,95.54,0.09,40,99,245,50.0,49.02
OR15_MT1_SLoro_TGTr1.5,M&M,382,50.79,1.15,642.09,25.91,-23.32,511.9,0.83,52,69,261,51.78,49.73
OR15_MT1_SLoro_TGTr1.5,BAJFINANCE,382,43.98,1.0,-3.0,7.44,-5.85,215.95,-0.01,56,102,224,45.45,42.56
OR15_MT1_SLoro_TGTr2.0,ADANIENT,404,47.28,1.33,1472.3,31.22,-21.08,358.6,1.47,51,123,230,38.42,54.19
OR15_MT1_SLoro_TGTr2.0,TATASTEEL,385,50.13,1.41,92.04,1.65,-1.18,14.33,1.89,27,88,270,45.81,53.88
OR15_MT1_SLoro_TGTr2.0,BEL,386,54.92,1.49,232.39,3.33,-2.72,37.4,2.05,31,75,280,58.02,52.68
OR15_MT1_SLoro_TGTr2.0,VEDL,391,50.38,1.14,126.75,5.1,-4.53,65.3,0.75,21,98,272,52.94,48.04
OR15_MT1_SLoro_TGTr2.0,BANKBARODA,399,42.61,0.89,-54.74,2.49,-2.09,97.45,-0.67,27,121,251,39.79,45.19
OR15_MT1_SLoro_TGTr2.0,BPCL,384,49.22,1.04,22.15,3.05,-2.84,84.95,0.22,22,100,262,49.44,49.02
OR15_MT1_SLoro_TGTr2.0,M&M,382,50.52,1.2,895.75,27.43,-23.27,463.1,1.08,32,70,280,51.78,49.19
OR15_MT1_SLoro_TGTr2.0,BAJFINANCE,382,43.19,1.03,31.95,7.88,-5.84,215.95,0.15,31,105,246,45.45,41.03
OR15_MT1_SLoro_TGTr1.0,ADANIENT,404,51.24,1.18,755.8,24.19,-21.58,321.3,1.02,137,115,152,42.37,58.15
OR15_MT1_SLoro_TGTr1.0,TATASTEEL,385,52.99,1.31,67.37,1.4,-1.21,13.56,1.68,109,85,191,48.04,57.28
OR15_MT1_SLoro_TGTr1.0,BEL,386,57.51,1.42,192.12,2.91,-2.76,29.75,2.16,112,69,205,58.64,56.7
OR15_MT1_SLoro_TGTr1.0,VEDL,391,52.17,1.11,97.55,4.68,-4.59,57.55,0.65,105,96,190,54.01,50.49
OR15_MT1_SLoro_TGTr1.0,BANKBARODA,399,45.36,0.81,-88.49,2.07,-2.12,106.16,-1.34,95,116,188,40.84,49.52
OR15_MT1_SLoro_TGTr1.0,BPCL,384,54.69,1.18,91.5,2.86,-2.93,39.2,1.02,102,89,193,55.56,53.92
OR15_MT1_SLoro_TGTr1.0,M&M,382,53.14,1.15,624.7,23.69,-23.38,562.3,0.87,97,64,221,53.3,52.97
OR15_MT1_SLoro_TGTr1.0,BAJFINANCE,382,46.86,0.94,-69.65,6.4,-5.98,220.5,-0.38,96,97,189,48.13,45.64
OR15_MT1_SLfp0.5_TGTr1.5,ADANIENT,404,43.81,1.1,292.85,17.8,-12.59,208.96,0.72,158,224,22,38.98,47.58
OR15_MT1_SLfp0.5_TGTr1.5,TATASTEEL,385,43.38,1.08,13.32,1.08,-0.76,20.82,0.55,144,206,35,35.75,50.0
OR15_MT1_SLfp0.5_TGTr1.5,BEL,386,48.96,1.39,123.82,2.32,-1.6,18.6,2.37,168,189,29,46.91,50.45
OR15_MT1_SLfp0.5_TGTr1.5,VEDL,391,43.99,1.14,70.29,3.25,-2.23,43.6,0.97,160,212,19,40.64,47.06
OR15_MT1_SLfp0.5_TGTr1.5,BANKBARODA,399,38.35,0.87,-38.88,1.69,-1.21,43.2,-1.03,133,234,32,31.94,44.23
OR15_MT1_SLfp0.5_TGTr1.5,BPCL,384,47.4,1.29,88.27,2.16,-1.51,18.89,1.85,167,195,22,46.11,48.53
OR15_MT1_SLfp0.5_TGTr1.5,M&M,382,44.24,1.11,354.25,20.33,-14.47,451.69,0.78,143,198,41,44.16,44.32
OR15_MT1_SLfp0.5_TGTr1.5,BAJFINANCE,382,40.31,0.98,-15.38,5.65,-3.89,104.5,-0.12,132,204,46,40.64,40.0
OR15_MT1_SLfp1.0_TGTr1.5,ADANIENT,404,48.27,1.16,682.14,25.8,-20.8,398.32,1.0,101,147,156,39.55,55.07
OR15_MT1_SLfp1.0_TGTr1.5,TATASTEEL,385,50.65,1.23,50.79,1.38,-1.15,19.03,1.35,75,110,200,45.25,55.34
OR15_MT1_SLfp1.0_TGTr1.5,BEL,386,54.92,1.5,216.27,3.05,-2.47,39.54,2.66,93,110,183,56.17,54.02
OR15_MT1_SLfp1.0_TGTr1.5,VEDL,391,47.57,1.08,58.76,4.48,-3.78,74.05,0.49,92,155,144,48.66,46.57
OR15_MT1_SLfp1.0_TGTr1.5,BANKBARODA,399,43.36,0.86,-63.71,2.23,-1.99,97.15,-1.04,68,159,172,39.79,46.63
OR15_MT1_SLfp1.0_TGTr1.5,BPCL,384,47.92,1.11,56.84,3.04,-2.51,31.16,0.72,93,146,145,46.11,49.51
OR15_MT1_SLfp1.0_TGTr1.5,M&M,382,49.74,1.21,884.14,26.79,-21.91,363.14,1.23,79,116,187,50.25,49.19
OR15_MT1_SLfp1.0_TGTr1.5,BAJFINANCE,382,42.41,0.93,-91.7,7.39,-5.86,280.01,-0.47,64,124,194,44.39,40.51
OR15_MT1_SLfp1.5_TGTr2.0,ADANIENT,404,49.75,1.24,1132.5,29.41,-23.55,495.06,1.31,29,83,292,40.68,56.83
OR15_MT1_SLfp1.5_TGTr2.0,TATASTEEL,385,51.69,1.32,74.07,1.54,-1.25,16.61,1.61,14,55,316,45.81,56.8
OR15_MT1_SLfp1.5_TGTr2.0,BEL,386,55.44,1.3,154.5,3.09,-2.95,46.01,1.6,13,72,301,57.41,54.02
OR15_MT1_SLfp1.5_TGTr2.0,VEDL,391,51.15,1.12,106.0,4.81,-4.48,56.7,0.72,19,95,277,54.01,48.53
OR15_MT1_SLfp1.5_TGTr2.0,BANKBARODA,399,46.87,0.88,-57.68,2.25,-2.26,87.79,-0.8,9,82,308,42.41,50.96
OR15_MT1_SLfp1.5_TGTr2.0,BPCL,384,49.48,1.04,23.54,3.0,-2.82,77.88,0.26,12,84,288,50.0,49.02
OR15_MT1_SLfp1.5_TGTr2.0,M&M,382,50.52,1.15,678.18,27.55,-24.54,524.22,0.8,13,57,312,51.27,49.73
OR15_MT1_SLfp1.5_TGTr2.0,BAJFINANCE,382,43.72,1.0,2.56,8.09,-6.27,248.06,0.01,12,63,307,45.99,41.54
OR15_MT1_SLatr1.0_TGTr1.5,ADANIENT,404,50.5,1.09,478.6,28.71,-26.89,612.58,0.49,5,20,379,41.81,57.27
OR15_MT1_SLatr1.0_TGTr1.5,TATASTEEL,385,51.69,1.25,62.39,1.55,-1.32,22.02,1.29,8,14,363,45.81,56.8
OR15_MT1_SLatr1.0_TGTr1.5,BEL,386,56.48,1.29,154.96,3.12,-3.13,37.97,1.48,5,11,370,59.88,54.02
OR15_MT1_SLatr1.0_TGTr1.5,VEDL,391,52.94,1.21,171.85,4.77,-4.43,59.67,1.11,7,23,361,55.08,50.98
OR15_MT1_SLatr1.0_TGTr1.5,BANKBARODA,399,47.87,0.83,-87.51,2.2,-2.44,118.9,-1.11,3,24,372,43.46,51.92
OR15_MT1_SLatr1.0_TGTr1.5,BPCL,384,50.26,1.02,12.5,3.0,-2.97,73.26,0.12,3,14,367,50.56,50.0
OR15_MT1_SLatr1.0_TGTr1.5,M&M,382,51.57,1.12,576.93,27.5,-26.17,564.5,0.63,3,13,366,52.28,50.81
OR15_MT1_SLatr1.0_TGTr1.5,BAJFINANCE,382,43.98,0.97,-38.97,8.07,-6.51,296.68,-0.16,7,21,354,46.52,41.54
OR15_MT1_SLatr1.5_TGTr2.0,ADANIENT,404,50.74,1.17,906.18,30.52,-26.88,661.95,0.81,1,4,399,41.81,57.71
OR15_MT1_SLatr1.5_TGTr2.0,TATASTEEL,385,51.69,1.32,75.58,1.57,-1.27,19.38,1.51,1,1,383,45.81,56.8
OR15_MT1_SLatr1.5_TGTr2.0,BEL,386,56.74,1.29,160.04,3.22,-3.26,38.95,1.37,2,4,380,60.49,54.02
OR15_MT1_SLatr1.5_TGTr2.0,VEDL,391,52.94,1.17,149.19,4.85,-4.64,64.35,0.87,1,7,383,55.08,50.98
OR15_MT1_SLatr1.5_TGTr2.0,BANKBARODA,399,47.87,0.87,-64.2,2.31,-2.43,107.92,-0.74,2,3,394,43.46,51.92
OR15_MT1_SLatr1.5_TGTr2.0,BPCL,384,50.26,1.05,26.88,3.07,-2.96,70.4,0.25,1,2,381,50.56,50.0
OR15_MT1_SLatr1.5_TGTr2.0,M&M,382,51.83,1.14,674.03,26.99,-25.38,533.9,0.76,0,2,380,52.28,51.35
OR15_MT1_SLatr1.5_TGTr2.0,BAJFINANCE,382,44.5,1.03,42.28,8.04,-6.24,260.62,0.18,0,2,380,47.06,42.05
OR15_MT1_SLatr2.0_TGTr2.5,ADANIENT,404,50.74,1.15,822.77,30.19,-26.96,682.8,0.75,0,1,403,41.81,57.71
OR15_MT1_SLatr2.0_TGTr2.5,TATASTEEL,385,51.69,1.29,68.47,1.54,-1.28,19.38,1.43,0,0,385,45.81,56.8
OR15_MT1_SLatr2.0_TGTr2.5,BEL,386,56.74,1.32,178.22,3.33,-3.3,38.95,1.33,1,2,383,60.49,54.02
OR15_MT1_SLatr2.0_TGTr2.5,VEDL,391,52.94,1.14,119.13,4.66,-4.59,71.74,0.75,0,2,389,55.08,50.98
OR15_MT1_SLatr2.0_TGTr2.5,BANKBARODA,399,47.87,0.89,-55.82,2.33,-2.41,97.58,-0.64,0,0,399,43.46,51.92
OR15_MT1_SLatr2.0_TGTr2.5,BPCL,384,50.26,1.05,27.25,3.05,-2.94,70.4,0.26,0,0,384,50.56,50.0
OR15_MT1_SLatr2.0_TGTr2.5,M&M,382,51.83,1.14,641.46,26.99,-25.56,566.59,0.72,0,1,381,52.28,51.35
