label,n_stocks,rr,max_hold,direction,pos_size_pct,max_positions,total_trades,long_trades,short_trades,win_rate,long_wr,short_wr,total_pnl,pnl_pct,profit_factor,cagr,max_drawdown,sharpe,sortino,calmar,avg_win,avg_loss,avg_rr,avg_bars_held,exit_reasons,y2018_trades,y2018_wr,y2018_pf,y2018_pnl_pct,y2019_trades,y2019_wr,y2019_pf,y2019_pnl_pct,y2020_trades,y2020_wr,y2020_pf,y2020_pnl_pct,y2021_trades,y2021_wr,y2021_pf,y2021_pnl_pct,y2022_trades,y2022_wr,y2022_pf,y2022_pnl_pct,y2023_trades,y2023_wr,y2023_pf,y2023_pnl_pct,y2024_trades,y2024_wr,y2024_pf,y2024_pnl_pct,y2025_trades,y2025_wr,y2025_pf,y2025_pnl_pct
CONC10_RR3_MH10_LS,10,3.0,10,LS,0.2,5,1364,779,585,50.15,53.4,45.81,26436282.0,264.36,1.9231,16.99,10.09,0.2397,0.0304,1.6839,4.23,-1.91,2.22,4.7,"{""fixed_sl"": 639, ""fixed_tp"": 522, ""max_hold"": 203}",170,51.76,2.0769,39.8,170,44.12,1.4351,16.77,176,56.82,2.4885,78.33,160,56.25,2.3113,41.23,193,54.4,2.1688,41.67,180,51.67,1.9596,26.96,167,40.12,1.2667,9.13,148,44.59,1.3632,10.47
CONC10_RR3_MH10_LO,10,3.0,10,LO,0.2,5,795,795,0,53.33,53.33,0.0,19670177.0,196.7,2.3482,14.05,5.14,0.217,0.0235,2.7332,4.25,-1.77,2.4,4.7,"{""fixed_sl"": 346, ""fixed_tp"": 339, ""max_hold"": 110}",107,52.34,2.1138,25.51,91,47.25,1.9403,16.95,106,57.55,3.6124,58.96,94,63.83,2.9918,31.46,114,56.14,2.43,26.95,112,57.14,2.5261,23.46,90,41.11,1.3244,5.61,81,48.15,1.517,7.81
CONC10_RR2.5_MH7_LS,10,2.5,7,LS,0.2,5,1467,840,627,54.26,57.26,50.24,25170602.0,251.71,1.9406,16.07,10.34,0.2294,0.0289,1.5534,3.46,-1.79,1.93,3.6,"{""fixed_sl"": 584, ""fixed_tp"": 602, ""max_hold"": 281}",186,54.3,1.9289,32.45,185,48.65,1.4362,16.87,185,59.46,2.5238,72.33,170,59.41,2.5209,44.45,211,57.35,2.0587,37.45,189,58.2,1.9536,24.26,183,46.99,1.3726,11.6,158,48.73,1.4851,12.3
CONC10_RR3.5_MH10_LS,10,3.5,10,LS,0.2,5,1315,747,568,47.3,50.74,42.78,25013909.0,250.14,1.8739,16.3,10.46,0.2412,0.0313,1.5592,4.51,-1.87,2.42,5.2,"{""fixed_sl"": 646, ""max_hold"": 265, ""fixed_tp"": 404}",163,48.47,1.988,36.91,163,40.49,1.3955,15.18,170,52.94,2.4132,74.05,150,54.0,2.2206,37.29,189,51.32,2.0984,40.14,174,48.85,1.8417,24.13,166,37.35,1.3068,10.85,140,44.29,1.4296,11.59
CONC10_RR4_MH15_LS,10,4.0,15,LS,0.2,5,1193,677,516,43.0,46.82,37.98,25088241.0,250.88,1.8665,16.28,9.72,0.2319,0.0286,1.6757,5.47,-1.93,2.83,6.6,"{""fixed_sl"": 655, ""max_hold"": 179, ""fixed_tp"": 359}",146,48.63,2.311,44.12,146,39.04,1.4772,18.12,158,50.0,2.5233,79.87,134,46.27,1.9143,30.32,170,46.47,1.9906,37.09,153,43.79,1.6993,20.16,155,32.26,1.3092,11.45,131,36.64,1.3362,9.76
CONC10_RR3_MH5_LS,10,3.0,5,LS,0.2,5,1493,852,641,54.92,57.16,51.95,25678825.0,256.79,2.0087,16.53,10.32,0.232,0.0286,1.6013,3.32,-1.69,1.96,3.4,"{""fixed_sl"": 543, ""max_hold"": 531, ""fixed_tp"": 419}",188,52.66,1.805,27.03,181,49.17,1.6577,21.73,189,61.38,2.5585,72.38,177,56.5,2.2718,38.59,212,59.43,2.336,42.82,199,56.78,1.9442,24.45,188,48.4,1.48,14.44,159,54.09,1.6636,15.34
CONC20_RR3_MH10_LS,20,3.0,10,LS,0.15,7,2702,1555,1147,50.26,53.7,45.6,43709166.0,437.09,1.9885,18.34,8.65,0.2594,0.8776,2.1205,4.52,-1.99,2.27,4.7,"{""fixed_sl"": 1257, ""fixed_tp"": 1024, ""max_hold"": 421}",330,49.7,1.8433,49.53,334,46.11,1.6641,39.94,347,57.64,2.8753,131.92,332,51.81,2.067,59.87,366,54.92,2.3184,69.62,352,53.12,2.1105,46.58,348,44.25,1.4696,25.82,293,43.0,1.2933,13.81
CONC20_RR3_MH10_LO,20,3.0,10,LO,0.15,7,1580,1580,0,53.54,53.54,0.0,31951934.0,319.52,2.3855,15.42,3.98,0.236,0.6477,3.8757,4.54,-1.9,2.39,4.6,"{""fixed_sl"": 685, ""fixed_tp"": 667, ""max_hold"": 228}",196,51.53,2.0606,34.44,179,46.37,1.8268,26.86,208,58.17,3.5851,88.88,194,59.28,2.944,52.3,220,56.82,2.5508,43.96,231,60.61,2.9072,44.54,190,46.84,1.6637,18.15,162,44.44,1.4102,10.39
CONC20_RR2.5_MH7_LS,20,2.5,7,LS,0.15,7,2896,1671,1225,54.18,57.33,49.88,40386656.0,403.87,1.9739,17.81,8.84,0.2527,0.7977,2.0152,3.68,-1.88,1.95,3.6,"{""fixed_sl"": 1164, ""fixed_tp"": 1173, ""max_hold"": 559}",357,52.66,1.7423,41.76,360,48.89,1.646,37.28,362,62.15,3.0039,123.94,353,54.67,2.1824,62.51,397,58.44,2.2173,61.05,376,59.04,2.0888,41.67,377,49.34,1.4076,21.6,314,46.82,1.3153,14.06
CONC20_RR3.5_MH10_LS,20,3.5,10,LS,0.15,7,2613,1498,1115,47.95,51.67,42.96,43888512.0,438.89,1.9935,17.86,8.92,0.2623,0.9206,2.0021,4.89,-1.97,2.49,5.1,"{""fixed_sl"": 1267, ""max_hold"": 532, ""fixed_tp"": 814}",318,46.23,1.7607,45.43,323,44.27,1.6883,40.74,335,55.22,2.955,136.58,317,49.84,2.1245,62.05,359,52.09,2.2411,67.64,338,49.7,1.9692,41.86,341,42.23,1.4965,27.28,282,42.91,1.3831,17.31
