symbol,timeframe,signal,category,zone_width_atr,hold_period,zone_hold_rate,avg_zone_duration,avg_break_magnitude,max_break_magnitude,signal_frequency,total_signals,total_bars,score
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.0,1,69.48,0.69,0.53,7.42,49.73,368,740,0.7947
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.0,3,22.13,1.32,0.89,7.42,49.73,368,740,0.5396
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.0,5,7.1,1.51,1.26,7.42,49.73,368,740,0.4375
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.0,7,2.46,1.57,1.57,7.42,49.73,368,740,0.391
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.0,10,0.55,1.6,2.01,8.37,49.73,368,740,0.3527
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.0,15,0.0,1.62,2.62,9.79,49.73,368,740,0.3159
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.0,20,0.0,1.61,3.09,9.85,49.73,368,740,0.2914
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.5,1,89.1,0.89,0.66,6.86,49.73,368,740,0.907
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.5,3,52.46,2.09,0.86,6.86,49.73,368,740,0.714
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.5,5,27.32,2.76,1.08,6.86,49.73,368,740,0.5756
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.5,7,15.03,3.12,1.29,6.86,49.73,368,740,0.4965
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.5,10,7.92,3.41,1.68,7.89,49.73,368,740,0.4316
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.5,15,3.01,3.63,2.22,9.32,49.73,368,740,0.3707
NIFTY50,daily,BB_SQUEEZE_10,volatility,1.5,20,0.83,3.73,2.64,9.23,49.73,368,740,0.334
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.0,1,97.55,0.98,1.85,6.31,49.73,368,740,0.9104
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.0,3,71.31,2.54,0.84,6.31,49.73,368,740,0.8197
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.0,5,50.0,3.63,1.01,6.31,49.73,368,740,0.7036
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.0,7,34.97,4.39,1.16,6.31,49.73,368,740,0.6179
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.0,10,20.77,5.14,1.44,7.4,49.73,368,740,0.5271
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.0,15,9.32,5.81,1.88,8.85,49.73,368,740,0.4384
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.0,20,6.11,6.19,2.3,8.61,49.73,368,740,0.3932
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.5,1,97.82,0.98,1.56,5.76,49.73,368,740,0.9235
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.5,3,84.7,2.74,0.96,5.76,49.73,368,740,0.882
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.5,5,67.76,4.18,1.0,5.76,49.73,368,740,0.7973
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.5,7,54.37,5.32,1.09,5.76,49.73,368,740,0.7246
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.5,10,39.07,6.64,1.34,6.91,49.73,368,740,0.6342
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.5,15,23.56,8.1,1.72,8.38,49.73,368,740,0.5324
NIFTY50,daily,BB_SQUEEZE_10,volatility,2.5,20,13.61,9.01,2.01,7.99,49.73,368,740,0.4631
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.0,1,68.02,0.68,0.36,2.33,49.86,369,740,0.7933
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.0,3,21.41,1.29,0.72,3.69,49.86,369,740,0.5423
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.0,5,7.59,1.5,1.09,4.85,49.86,369,740,0.446
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.0,7,2.71,1.57,1.4,6.08,49.86,369,740,0.3992
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.0,10,0.54,1.6,1.84,8.37,49.86,369,740,0.36
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.0,15,0.0,1.63,2.4,9.79,49.86,369,740,0.325
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.0,20,0.0,1.61,2.75,9.85,49.86,369,740,0.3057
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.5,1,90.24,0.9,0.3,1.83,49.86,369,740,0.9288
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.5,3,58.54,2.22,0.7,3.2,49.86,369,740,0.7536
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.5,5,33.33,3.0,0.95,4.34,49.86,369,740,0.6148
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.5,7,19.51,3.45,1.17,5.59,49.86,369,740,0.5292
NIFTY50,daily,BB_SQUEEZE_20,volatility,1.5,10,10.84,3.83,1.55,7.89,49.86,369,740,0.4574
