narrow_cpr_threshold,otm_strike_pct,dte_min,dte_max,premium_double_threshold,premium_erosion_target,dte_exit_threshold,enable_r1_exit,use_closer_r1,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,total_trades,avg_pnl,composite_score
0.05,3.0,25,35,2.0,70.0,7,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,3.0,25,35,2.0,70.0,10,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,3.0,25,35,2.5,70.0,7,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,3.0,25,35,2.5,70.0,10,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,3.0,30,35,2.0,70.0,7,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,3.0,30,35,2.0,70.0,10,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,3.0,30,35,2.5,70.0,7,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,3.0,30,35,2.5,70.0,10,True,True,-1.041146214496313,-6.482292502944375,-3.302455602802232,1.9804149499288441,50.0,2,-5205.731072481566,25.405875515021346
0.05,7.0,25,35,2.0,70.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,25,35,2.0,70.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,25,35,2.0,75.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,25,35,2.0,75.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,25,35,2.5,70.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,25,35,2.5,70.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,25,35,2.5,75.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,25,35,2.5,75.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.0,70.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.0,70.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.0,75.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.0,75.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.5,70.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.5,70.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.5,75.0,7,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,7.0,30,35,2.5,75.0,10,True,True,-0.7814783188514227,-4.899750342274278,-2.459373253279397,2.0415815130538646,50.0,2,-3907.391594257114,25.387525546083843
0.05,3.0,25,35,1.5,70.0,7,True,True,-1.1587296904845148,-7.19155909440945,-3.472425104298263,2.0968823814341735,50.0,2,-5793.648452422573,25.37093528556975
0.05,3.0,25,35,1.5,70.0,10,True,True,-1.1587296904845148,-7.19155909440945,-3.472425104298263,2.0968823814341735,50.0,2,-5793.648452422573,25.37093528556975
0.05,3.0,30,35,1.5,70.0,7,True,True,-1.1587296904845148,-7.19155909440945,-3.472425104298263,2.0968823814341735,50.0,2,-5793.648452422573,25.37093528556975
0.05,3.0,30,35,1.5,70.0,10,True,True,-1.1587296904845148,-7.19155909440945,-3.472425104298263,2.0968823814341735,50.0,2,-5793.648452422573,25.37093528556975
0.05,7.0,25,35,1.5,70.0,7,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,7.0,25,35,1.5,70.0,10,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,7.0,25,35,1.5,75.0,7,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,7.0,25,35,1.5,75.0,10,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,7.0,30,35,1.5,70.0,7,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,7.0,30,35,1.5,70.0,10,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,7.0,30,35,1.5,75.0,7,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,7.0,30,35,1.5,75.0,10,True,True,-0.848670556055058,-5.311403511969615,-2.5440694636670775,2.107995879656489,50.0,2,-4243.352780275291,25.367601236103056
0.05,5.0,25,35,2.0,70.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,2.0,70.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,2.0,75.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,2.0,75.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,2.5,70.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,2.5,70.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,2.5,75.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,2.5,75.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.0,70.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.0,70.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.0,75.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.0,75.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.5,70.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.5,70.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.5,75.0,7,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,30,35,2.5,75.0,10,True,True,-1.2466333937866763,-7.7188265087406505,-3.2215852395307,2.2973190383294604,50.0,2,-6233.166968933381,25.31080428850116
0.05,5.0,25,35,1.5,70.0,7,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,5.0,25,35,1.5,70.0,10,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,5.0,25,35,1.5,75.0,7,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,5.0,25,35,1.5,75.0,10,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,5.0,30,35,1.5,70.0,7,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,5.0,30,35,1.5,70.0,10,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,5.0,30,35,1.5,75.0,7,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,5.0,30,35,1.5,75.0,10,True,True,-1.3386887110774752,-8.26828442289047,-3.3408826687384003,2.3883949338171866,50.0,2,-6693.443555387376,25.283481519854845
0.05,7.0,25,35,2.0,80.0,7,True,True,-1.4037641518038102,-8.655037601243865,-3.162858105644824,2.545192335010327,50.0,2,-7018.820759019051,25.2364422994969
