detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct,stoch_k,stoch_d,macd_hist,macd_positive,macd_bullish,adx,plus_di,minus_di,adx_bullish,atr_pct,bb_pct_b,bb_width,bb_squeeze,supertrend_bull,mfi,cci,williams_r,obv_bullish,psar_bullish,above_ema9,above_ema21,above_ema100,ema9_gt_21,ema20_rising,mom_10d,rsi7,w_above_ema20,w_above_ema50,w_ema20_gt_50,w_rsi,w_macd_positive,w_macd_bullish
darvas,53.7,1,1,1.0,1,1.0,3.4,1.9,0.79,94.6,20.7,-20.7,9.6,STOP,2,3MINDIA,2023-12-27,21.0,15.2,9.4,84.96,66.79,316.93,1.0,1.0,26.77,47.83,7.33,1.0,2.83,1.52,15.34,0.0,1.0,92.7,614.21,-15.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.58,85.08,1.0,1.0,1.0,54.96,1.0,0.0
darvas,64.5,1,1,1.0,1,1.0,18.3,10.8,2.77,85.7,14.5,-11.3,14.7,OPEN,14,3MINDIA,2024-06-11,2.52,16.7,0.2,86.65,75.37,241.01,1.0,1.0,47.55,33.4,15.6,1.0,4.61,0.95,22.55,0.0,1.0,79.93,136.92,-13.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.05,69.89,1.0,1.0,1.0,57.41,1.0,1.0
darvas,56.8,1,1,0.0,0,,3.8,0.7,0.57,71.0,11.7,-4.2,6.0,OPEN,80,3MINDIA,2025-04-15,1.62,9.7,3.3,95.96,75.57,147.05,1.0,1.0,35.1,29.96,13.18,1.0,3.35,1.25,9.65,0.0,1.0,62.19,264.63,-4.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.94,66.35,0.0,0.0,0.0,42.61,0.0,1.0
darvas,67.6,1,1,1.0,1,,6.3,2.4,1.11,73.9,9.8,12.4,18.5,OPEN,72,3MINDIA,2025-07-22,5.03,10.6,0.2,79.43,84.63,181.32,1.0,1.0,33.89,38.37,13.35,1.0,2.03,1.12,10.11,0.0,1.0,83.91,203.85,-20.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.81,90.91,1.0,0.0,0.0,56.53,0.0,1.0
darvas,62.9,1,1,1.0,0,,4.7,-0.6,1.15,75.1,19.8,-2.1,3.1,OPEN,1,3MINDIA,2025-11-04,26.06,11.9,11.5,92.06,74.94,480.85,1.0,1.0,26.29,57.58,5.22,1.0,2.61,1.52,19.6,0.0,1.0,95.95,580.62,-7.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.93,89.94,0.0,0.0,0.0,35.65,0.0,0.0
flat,60.3,1,1,,1,,7.8,10.0,0.7,98.2,10.5,21.9,34.0,OPEN,67,3MINDIA,2023-05-30,3.38,10.8,0.9,87.46,78.39,80.87,1.0,1.0,34.43,26.84,10.32,1.0,2.15,1.08,7.65,0.0,1.0,46.88,154.57,-12.54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.52,70.87,1.0,1.0,1.0,64.23,1.0,1.0
flat,53.0,1,1,,1,,-1.7,20.4,1.4,96.3,10.0,6.8,35.3,OPEN,94,3MINDIA,2023-08-11,2.41,10.1,1.0,91.01,53.17,-17.35,1.0,0.0,15.47,22.33,22.14,1.0,3.31,1.11,7.92,0.0,1.0,69.75,176.93,-8.99,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.04,62.69,1.0,1.0,1.0,80.64,1.0,1.0
flat,53.7,1,1,1.0,1,1.0,3.4,1.9,0.79,94.6,20.7,-20.7,9.6,STOP,2,3MINDIA,2023-12-27,21.0,11.1,13.5,84.96,66.79,316.93,1.0,1.0,26.77,47.83,7.33,1.0,2.83,1.52,15.34,0.0,1.0,92.7,614.21,-15.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.58,85.08,1.0,1.0,1.0,54.96,1.0,0.0
flat,58.6,1,1,1.0,0,1.0,3.1,-1.0,1.27,77.6,16.0,-6.4,20.5,OPEN,24,3MINDIA,2024-05-28,14.11,11.2,7.0,88.78,78.02,363.71,1.0,1.0,27.73,43.47,7.57,1.0,3.14,1.24,16.93,0.0,1.0,93.38,210.39,-11.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.44,84.06,1.0,1.0,1.0,49.13,0.0,0.0
flat,53.6,1,0,1.0,0,1.0,0.1,-9.1,0.66,84.7,8.1,-8.1,3.0,STOP,3,3MINDIA,2024-10-31,2.13,6.4,2.3,96.68,66.04,205.67,0.0,1.0,20.8,23.05,15.45,1.0,2.38,1.33,6.84,0.0,1.0,50.56,289.29,-3.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.91,80.79,0.0,1.0,1.0,30.79,1.0,0.0
flat,56.8,1,1,0.0,0,,3.8,0.7,0.57,71.0,11.6,-4.2,6.0,OPEN,80,3MINDIA,2025-04-15,1.62,9.5,3.3,95.96,75.57,147.05,1.0,1.0,35.1,29.96,13.18,1.0,3.35,1.25,9.65,0.0,1.0,62.19,264.63,-4.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.94,66.35,0.0,0.0,0.0,42.61,0.0,1.0
flat,67.6,1,1,1.0,1,,6.3,2.4,1.11,73.9,10.9,12.4,18.5,OPEN,72,3MINDIA,2025-07-22,5.03,12.0,0.2,79.43,84.63,181.32,1.0,1.0,33.89,38.37,13.35,1.0,2.03,1.12,10.11,0.0,1.0,83.91,203.85,-20.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.81,90.91,1.0,0.0,0.0,56.53,0.0,1.0
flat,62.9,1,1,1.0,0,,4.7,-0.6,1.15,75.1,20.0,-2.1,3.1,OPEN,1,3MINDIA,2025-11-04,26.06,11.7,11.8,92.06,74.94,480.85,1.0,1.0,26.29,57.58,5.22,1.0,2.61,1.52,19.6,0.0,1.0,95.95,580.62,-7.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.93,89.94,0.0,0.0,0.0,35.65,0.0,0.0
