detector,rsi14,above_ema20,above_ema50,above_ema200,ema20_above_50,ema50_above_200,mom_20d,mom_60d,vol_trend,ath_proximity,risk_pct,trade_return,max_gain,exit_reason,days_to_peak,symbol,date,volume_ratio,box_height_pct,breakout_pct
darvas,53.7,1,1,1.0,1,1.0,3.4,1.9,0.79,94.6,20.7,-20.7,9.6,STOP,2,3MINDIA,2023-12-27,21.0,15.2,9.4
darvas,64.5,1,1,1.0,1,1.0,18.3,10.8,2.77,85.7,14.5,-11.3,14.7,OPEN,14,3MINDIA,2024-06-11,2.52,16.7,0.2
darvas,56.8,1,1,0.0,0,,3.8,0.7,0.57,71.0,11.7,-4.2,6.0,OPEN,80,3MINDIA,2025-04-15,1.62,9.7,3.3
darvas,67.6,1,1,1.0,1,,6.3,2.4,1.11,73.9,9.8,12.4,18.5,OPEN,72,3MINDIA,2025-07-22,5.03,10.6,0.2
darvas,62.9,1,1,1.0,0,,4.7,-0.6,1.15,75.1,19.8,-2.1,3.1,OPEN,1,3MINDIA,2025-11-04,26.06,11.9,11.5
flat,60.3,1,1,,1,,7.8,10.0,0.7,98.2,10.5,21.9,34.0,OPEN,67,3MINDIA,2023-05-30,3.38,10.8,0.9
flat,53.0,1,1,,1,,-1.7,20.4,1.4,96.3,10.0,6.8,35.3,OPEN,94,3MINDIA,2023-08-11,2.41,10.1,1.0
flat,53.7,1,1,1.0,1,1.0,3.4,1.9,0.79,94.6,20.7,-20.7,9.6,STOP,2,3MINDIA,2023-12-27,21.0,11.1,13.5
flat,58.6,1,1,1.0,0,1.0,3.1,-1.0,1.27,77.6,16.0,-6.4,20.5,OPEN,24,3MINDIA,2024-05-28,14.11,11.2,7.0
flat,53.6,1,0,1.0,0,1.0,0.1,-9.1,0.66,84.7,8.1,-8.1,3.0,STOP,3,3MINDIA,2024-10-31,2.13,6.4,2.3
flat,56.8,1,1,0.0,0,,3.8,0.7,0.57,71.0,11.6,-4.2,6.0,OPEN,80,3MINDIA,2025-04-15,1.62,9.5,3.3
flat,67.6,1,1,1.0,1,,6.3,2.4,1.11,73.9,10.9,12.4,18.5,OPEN,72,3MINDIA,2025-07-22,5.03,12.0,0.2
flat,62.9,1,1,1.0,0,,4.7,-0.6,1.15,75.1,20.0,-2.1,3.1,OPEN,1,3MINDIA,2025-11-04,26.06,11.7,11.8
darvas,63.1,1,1,1.0,1,1.0,6.8,13.5,0.76,97.6,17.6,-17.6,4.5,STOP,11,AARTIIND,2024-04-10,3.49,17.4,3.4
darvas,58.6,1,1,1.0,1,1.0,1.6,-3.2,0.65,93.1,15.2,-15.2,3.1,STOP,7,AARTIIND,2024-07-30,2.32,15.7,1.9
darvas,62.1,1,1,0.0,0,,10.4,4.6,1.2,60.5,13.4,-13.4,0.4,STOP,1,AARTIIND,2025-02-06,1.79,14.6,0.8
flat,51.3,1,0,,0,,1.3,-0.2,0.84,83.6,8.1,-8.1,1.3,STOP,1,AARTIIND,2023-06-21,2.47,6.9,1.7
flat,65.0,1,1,,0,,3.9,-4.3,1.14,79.2,10.9,-10.9,7.1,STOP,8,AARTIIND,2023-09-04,2.28,10.9,1.2
flat,58.6,1,1,1.0,1,1.0,1.6,-3.2,0.65,93.1,11.7,-11.7,3.1,STOP,7,AARTIIND,2024-07-30,2.32,11.1,1.9
darvas,57.7,1,1,1.0,1,1.0,8.5,21.5,0.64,94.6,10.6,-10.6,3.1,STOP,1,AAVAS,2025-04-21,2.06,10.5,1.3
darvas,61.5,1,1,1.0,0,1.0,5.4,-6.8,0.68,87.0,9.9,-9.9,8.4,STOP,1,AAVAS,2025-06-27,1.7,8.9,1.9
flat,50.1,1,0,,0,,0.3,-14.1,1.82,68.1,8.7,1.7,24.2,OPEN,71,AAVAS,2023-06-26,4.39,7.4,2.0
flat,59.0,1,1,0.0,0,,6.9,-6.5,0.85,71.0,18.2,9.0,23.8,OPEN,49,AAVAS,2024-04-05,9.25,11.5,9.7
flat,57.9,1,1,1.0,0,1.0,6.7,0.4,0.88,85.1,11.7,-6.3,6.8,OPEN,13,AAVAS,2024-09-05,2.63,11.0,2.0
flat,76.3,1,1,1.0,1,1.0,6.8,8.0,2.69,88.8,12.7,-12.7,19.3,STOP,23,AAVAS,2025-03-13,1.93,11.7,2.6
flat,47.1,0,0,1.0,0,1.0,5.5,6.2,0.41,81.1,11.3,-11.3,12.0,STOP,16,AAVAS,2025-06-06,1.53,11.4,1.2
flat,61.5,1,1,1.0,0,1.0,5.4,-6.8,0.68,87.0,11.6,-11.6,8.4,STOP,1,AAVAS,2025-06-27,1.7,11.1,1.9
darvas,59.3,1,1,,1,,4.5,4.3,1.06,97.5,11.2,-1.5,6.6,OPEN,30,ABBOTINDIA,2023-06-28,1.52,12.3,0.3
darvas,70.4,1,1,1.0,1,1.0,8.0,9.5,1.61,99.5,12.8,12.9,17.0,OPEN,25,ABBOTINDIA,2024-01-11,2.52,12.0,2.4
darvas,64.0,1,1,1.0,1,1.0,9.8,8.8,0.96,98.1,11.5,-0.9,5.6,OPEN,10,ABBOTINDIA,2024-02-02,4.95,6.2,6.4
darvas,61.1,1,1,1.0,1,1.0,3.3,11.6,1.23,96.9,15.3,-2.7,3.1,OPEN,91,ABBOTINDIA,2024-08-27,1.62,17.6,0.3
darvas,60.2,1,1,1.0,1,1.0,16.9,4.8,1.06,97.2,8.8,-8.8,5.6,STOP,5,ABBOTINDIA,2025-02-25,2.69,8.4,1.1
darvas,56.4,1,1,1.0,1,1.0,4.4,3.6,0.88,98.4,16.8,-16.8,11.9,STOP,1,ABBOTINDIA,2025-06-26,3.39,16.0,3.6
flat,59.3,1,1,,1,,4.5,4.3,1.06,97.5,10.7,-1.5,6.6,OPEN,30,ABBOTINDIA,2023-06-28,1.52,11.7,0.3
flat,60.2,1,1,,1,,1.2,5.0,1.1,99.3,8.9,6.0,9.6,OPEN,115,ABBOTINDIA,2023-07-28,1.58,8.9,0.8
flat,61.5,1,1,1.0,0,1.0,1.5,-1.8,0.9,94.2,7.5,-7.5,2.8,STOP,2,ABBOTINDIA,2023-11-07,1.96,7.5,0.6
flat,66.8,1,1,1.0,1,1.0,6.2,8.2,1.51,97.9,10.4,11.6,20.4,OPEN,26,ABBOTINDIA,2024-01-10,2.09,10.9,0.6
flat,57.9,1,1,1.0,1,1.0,3.0,8.7,1.46,96.2,7.9,-7.9,5.2,STOP,94,ABBOTINDIA,2024-08-22,3.59,7.7,0.8
flat,56.4,1,1,1.0,1,1.0,4.4,3.6,0.88,98.4,13.7,-13.7,11.9,STOP,1,ABBOTINDIA,2025-06-26,3.39,11.8,3.6
darvas,60.5,1,1,1.0,1,1.0,2.9,2.9,1.32,90.4,14.4,12.9,31.6,OPEN,90,ABCAPITAL,2024-02-07,1.97,13.3,3.1
darvas,55.1,1,1,1.0,0,1.0,-2.8,4.5,0.51,91.2,16.7,16.5,22.8,OPEN,53,ABCAPITAL,2024-04-02,7.37,16.1,3.4
darvas,60.0,1,1,1.0,1,,10.6,22.5,0.84,83.0,13.7,51.0,58.2,OPEN,122,ABCAPITAL,2025-05-14,4.62,10.8,4.6
flat,62.0,1,1,,1,,5.9,23.5,1.12,98.7,14.6,-14.6,3.6,STOP,3,ABCAPITAL,2023-06-27,6.78,11.8,4.7
flat,57.8,1,1,1.0,1,1.0,1.7,-4.4,0.86,92.0,10.7,-10.7,6.3,STOP,9,ABCAPITAL,2024-09-19,3.93,11.9,0.0
flat,62.7,1,1,1.0,1,1.0,6.3,23.6,0.74,97.6,12.3,9.5,12.9,OPEN,28,ABCAPITAL,2025-10-30,5.63,11.1,2.7
darvas,54.9,1,1,,1,,10.1,10.2,0.55,75.7,16.5,-0.8,15.2,OPEN,106,ABFRL,2023-09-05,3.08,17.0,2.3
darvas,63.1,1,1,,1,,3.6,7.5,0.71,79.4,11.5,-11.5,0.9,STOP,1,ABFRL,2023-10-19,2.97,11.6,1.3
darvas,67.2,1,1,1.0,1,,6.9,0.9,1.31,80.2,11.7,-11.7,10.6,STOP,45,ABFRL,2023-12-05,1.68,13.0,0.2
darvas,64.7,1,1,1.0,1,,1.3,12.0,1.68,83.0,12.7,-12.7,7.8,STOP,24,ABFRL,2024-01-04,2.22,13.7,0.7
darvas,62.2,1,1,1.0,1,1.0,9.7,12.3,0.56,91.1,13.3,2.8,29.5,OPEN,90,ABFRL,2024-05-21,2.62,13.5,1.6
darvas,60.7,1,1,1.0,1,1.0,9.7,4.5,1.3,96.6,12.2,-12.2,1.7,STOP,3,ABFRL,2024-09-27,3.91,12.9,0.9
darvas,59.5,1,1,0.0,0,,9.6,-3.8,0.78,72.5,9.1,-9.1,11.1,STOP,20,ABFRL,2025-04-17,2.04,9.7,0.2
darvas,46.3,0,0,0.0,0,,-0.0,-13.5,0.98,27.4,10.6,-10.6,16.9,STOP,20,ABFRL,2025-08-22,9.71,10.2,1.4
flat,59.2,1,1,,0,,7.4,-5.2,0.7,74.2,11.2,-11.2,3.6,STOP,14,ABFRL,2023-07-11,2.45,11.5,1.0
flat,63.1,1,1,,1,,3.6,7.5,0.71,79.4,11.7,-11.7,0.9,STOP,1,ABFRL,2023-10-19,2.97,11.8,1.3
flat,46.0,0,0,0.0,0,,0.6,-1.1,0.77,74.1,9.0,-9.0,17.5,STOP,52,ABFRL,2023-11-23,3.8,8.3,1.4
flat,55.7,1,0,0.0,0,,1.1,-8.8,0.94,70.1,10.2,-10.2,14.8,STOP,33,ABFRL,2025-03-26,1.52,11.3,0.1
flat,60.3,1,1,1.0,1,,4.5,7.4,1.11,76.3,12.9,-12.9,1.5,STOP,1,ABFRL,2025-05-19,4.56,11.7,2.7
flat,46.3,0,0,0.0,0,,-0.0,-13.5,0.98,27.4,11.6,-5.5,16.9,OPEN,20,ABFRL,2025-08-22,9.71,11.5,1.4
darvas,55.2,1,1,,0,,-0.9,0.4,0.81,63.1,6.7,-6.7,3.3,STOP,3,ABREL,2018-08-29,2.5,7.1,0.0
darvas,50.4,0,1,0.0,1,,-1.9,27.8,0.87,62.0,11.6,-11.6,7.7,STOP,11,ABREL,2019-05-20,1.67,8.3,4.5
darvas,55.6,1,1,0.0,1,,2.6,12.0,0.98,21.5,17.4,37.3,45.1,OPEN,116,ABREL,2020-08-19,5.13,19.0,1.7
darvas,64.0,1,1,1.0,1,1.0,7.5,5.4,1.08,34.4,8.8,61.5,96.5,OPEN,99,ABREL,2021-05-25,2.03,8.9,0.7
darvas,66.1,1,1,1.0,1,1.0,9.6,2.0,1.05,35.3,12.8,46.8,78.5,OPEN,89,ABREL,2021-06-08,5.18,6.4,7.8
darvas,58.4,1,1,1.0,1,1.0,7.6,-2.3,1.35,62.0,6.5,-6.5,8.1,STOP,3,ABREL,2022-01-07,2.18,6.0,1.0
darvas,54.3,1,1,1.0,1,1.0,0.6,3.4,0.84,57.8,5.0,-5.0,6.8,STOP,7,ABREL,2022-09-05,2.43,5.2,0.0
darvas,58.1,1,1,0.0,0,,3.4,-4.1,0.92,45.9,10.8,73.8,79.2,OPEN,125,ABREL,2023-04-19,1.5,12.1,0.0
darvas,59.9,1,1,0.0,1,,8.8,-0.7,1.48,46.9,8.4,54.0,72.4,OPEN,115,ABREL,2023-05-04,3.94,6.4,2.5
darvas,62.3,1,1,1.0,1,1.0,1.5,23.2,0.67,55.3,6.9,45.3,63.9,OPEN,117,ABREL,2023-06-20,3.46,7.0,0.4
darvas,59.3,1,1,1.0,1,1.0,3.0,31.6,0.44,71.4,13.6,32.1,43.4,OPEN,86,ABREL,2023-09-05,2.52,15.0,0.6
darvas,55.2,1,1,1.0,1,1.0,1.5,22.5,1.66,74.7,13.2,60.5,65.0,OPEN,125,ABREL,2023-10-10,4.51,14.5,0.6
darvas,51.6,1,1,1.0,1,1.0,-5.2,13.4,0.87,84.7,15.2,59.3,73.1,OPEN,121,ABREL,2024-01-04,11.66,15.0,2.6
darvas,57.4,1,1,1.0,1,1.0,3.8,19.0,0.83,94.2,17.7,74.9,80.2,OPEN,115,ABREL,2024-03-28,12.01,15.4,5.3
darvas,64.0,1,1,1.0,1,1.0,1.6,14.9,1.45,97.0,16.6,-16.6,25.0,STOP,38,ABREL,2024-08-27,4.0,14.4,4.8
darvas,62.3,1,1,1.0,1,1.0,12.9,10.7,1.08,98.2,12.7,-12.7,20.2,STOP,27,ABREL,2024-09-11,7.21,10.6,3.5
