label,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,final_value,total_return_pct,topups
BASELINE_NO_TECH,32.19,1.05,1.14,27.0,1.19,21,81.0,23085034.76,130.85,33
EMA_9_21_exit_crossover,4.51,-5.15,-1.79,3.6,1.25,30,10.0,11415092.87,14.15,5
EMA_9_21_exit_price_below,5.06,-7.22,-1.77,2.28,2.22,30,10.0,11594740.32,15.95,4
EMA_10_30_exit_crossover,3.95,-4.53,-1.61,4.91,0.81,30,3.3,11232160.21,12.32,7
EMA_10_30_exit_price_below,4.83,-6.13,-1.88,3.07,1.57,30,6.7,11519751.74,15.2,4
EMA_20_50_exit_crossover,9.63,-0.49,-0.47,4.29,2.25,30,23.3,13173962.53,31.74,25
EMA_20_50_exit_price_below,4.24,-4.93,-1.74,4.09,1.04,30,6.7,11326097.54,13.26,7
RSI_7_ob75,5.32,-5.17,-1.72,2.44,2.18,30,63.3,11680291.88,16.8,0
RSI_7_ob80,5.32,-4.99,-1.75,2.46,2.16,30,63.3,11682509.87,16.83,0
RSI_7_ob85,5.18,-3.88,-1.89,3.68,1.41,31,54.8,11633999.87,16.34,2
RSI_14_ob75,6.24,-2.78,-1.54,2.5,2.5,31,67.7,11990941.34,19.91,3
RSI_14_ob80,6.85,-2.13,-1.27,2.62,2.62,31,80.6,12198158.56,21.98,8
RSI_14_ob85,8.36,-1.09,-1.05,3.87,2.16,33,81.8,12721076.78,27.21,27
STREND_atr7_m2.0,9.52,-0.6,-0.72,4.19,2.27,30,56.7,13133392.87,31.33,33
STREND_atr7_m3.0,27.79,1.02,1.1,16.65,1.67,29,69.0,20859913.82,108.6,33
STREND_atr10_m2.0,13.48,0.24,0.33,5.76,2.34,32,56.2,14608479.6,46.08,33
STREND_atr10_m3.0,26.14,0.91,0.97,15.75,1.66,30,73.3,20059404.67,100.59,33
STREND_atr14_m2.0,12.81,0.13,0.17,5.56,2.3,31,61.3,14352002.05,43.52,33
STREND_atr14_m3.0,24.57,0.77,0.82,19.95,1.23,34,76.5,19322764.89,93.23,33
MACD_12_26_9,29.63,0.97,1.01,23.43,1.26,13,76.9,21769733.8,117.7,33
ADX_min20,33.31,1.05,1.13,26.66,1.25,21,76.2,23679097.88,136.79,33
ADX_min25,34.93,1.1,1.17,24.91,1.4,18,72.2,24551530.02,145.52,33
ADX_min30,25.92,0.86,0.93,22.43,1.16,15,73.3,19957632.55,99.58,34
WEEKLY_EMA20,32.19,1.05,1.14,27.0,1.19,21,81.0,23085034.76,130.85,33
COMBO_EMA20_50_RSI14,4.72,-6.73,-2.02,3.29,1.44,30,6.7,11482391.8,14.82,3
COMBO_EMA9_21_STREND,4.68,-6.22,-2.02,3.35,1.4,23,8.7,11468575.67,14.69,5
COMBO_MACD_RSI_WEEKLY,15.98,0.35,0.39,18.31,0.87,8,62.5,15596630.27,55.97,33
