label,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,final_value,total_return_pct,topups,cc_calls_sold,cc_premium,cc_buyback,cc_net_income,cc_otm,cc_itm,cc_buybacks,cc_income_pct
BASELINE_NO_CC,32.19,1.05,1.14,27.0,1.19,21,81.0,23085034.76,130.85,33,0,0.0,0.0,0.0,0,0,0,0
ALWAYS_2OTM,31.75,0.93,0.99,22.96,1.38,21,81.0,22854374.04,128.54,33,634,12619923.0,12850584.0,-230661.0,359,262,13,-0.77
ALWAYS_5OTM,31.56,0.94,1.01,24.04,1.31,21,81.0,22755301.22,127.55,33,634,8525335.0,8855069.0,-329734.0,431,190,13,-1.1
ALWAYS_10OTM,31.87,0.99,1.07,25.54,1.25,21,81.0,22916511.96,129.17,33,634,4371379.0,4539901.0,-168523.0,522,99,13,-0.56
EMA_CROSS_5_20_2OTM,31.32,0.98,1.08,24.86,1.26,21,81.0,22635401.52,126.35,33,257,5243502.0,5693135.0,-449633.0,140,106,11,-1.5
EMA_CROSS_5_20_5OTM,31.62,0.99,1.1,25.42,1.24,21,81.0,22787052.67,127.87,33,257,3603766.0,3901748.0,-297982.0,163,83,11,-0.99
EMA_CROSS_5_20_10OTM,32.37,1.04,1.14,25.46,1.27,21,81.0,23178187.5,131.78,33,257,1940967.0,1847814.0,93153.0,205,41,11,0.31
EMA_CROSS_10_20_2OTM,30.38,0.94,1.04,25.11,1.21,21,81.0,22153095.39,121.53,33,218,4212591.0,5144530.0,-931939.0,112,96,10,-3.11
EMA_CROSS_10_20_5OTM,30.63,0.95,1.05,25.74,1.19,21,81.0,22278086.34,122.78,33,218,2853693.0,3660641.0,-806948.0,136,72,10,-2.69
EMA_CROSS_10_20_10OTM,31.44,1.0,1.09,26.44,1.19,21,81.0,22693422.6,126.93,33,218,1491995.0,1883607.0,-391612.0,164,44,10,-1.31
EMA_CROSS_10_30_2OTM,30.09,0.93,1.03,25.54,1.18,21,81.0,22006063.59,120.06,33,179,3570829.0,4649800.0,-1078971.0,93,76,10,-3.6
EMA_CROSS_10_30_5OTM,30.36,0.95,1.05,25.9,1.17,21,81.0,22142688.27,121.43,33,179,2429611.0,3371957.0,-942346.0,109,60,10,-3.14
