name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
Stoch20_Trail15_PS5,4.84,-0.08,-0.1,54.09,0.09,1.23,11046,36.4,4.1,-1.9,26995058,170.0,14.4,"['BAJFINANCE', 'KEI', 'GRANULES']",8.96,"{'Trail_0.15pct': 11041, 'End_of_Period': 5}"
Stoch20_ATH20_PS5,5.33,-0.06,-0.07,53.66,0.1,1.24,10788,36.7,4.2,-2.0,29725691,197.3,14.0,"['BAJFINANCE', 'KEI', 'CERA']",9.11,"{'ATH_DD_0.2pct': 10783, 'End_of_Period': 5}"
RSI2_10_Trail15_PS5,7.03,0.06,0.08,57.46,0.12,1.27,11633,36.4,4.5,-2.0,41664994,316.6,10.9,"['APLLTD', 'HEG', 'SHREECEM']",10.26,"{'Trail_0.15pct': 11628, 'End_of_Period': 5}"
RSI2_10_ATH20_PS5,6.91,0.06,0.07,61.17,0.11,1.26,11389,36.7,4.5,-2.0,40636996,306.4,11.6,"['APLLTD', 'SHREECEM', 'HEG']",10.1,"{'ATH_DD_0.2pct': 11384, 'End_of_Period': 5}"
EMA2050_Trail10_PS5,-6.65,-0.95,-1.01,82.29,-0.08,1.03,2552,30.8,4.2,-1.8,2357811,-76.4,42.8,"['AARTIIND', 'BAJFINANCE', 'CEATLTD']",0.53,{'Trail_0.1pct': 2552}
EMA2050_Trail15_PS5,-6.65,-0.93,-1.0,81.83,-0.08,1.03,2501,31.1,4.2,-1.8,2357349,-76.4,56.0,"['AARTIIND', 'CEATLTD', 'BAJFINANCE']",0.38,{'Trail_0.15pct': 2501}
EMA2050_ATH20_PS5,-6.66,-0.83,-0.96,81.75,-0.08,1.04,2698,31.7,4.1,-1.8,2354212,-76.5,103.9,"['AARTIIND', 'CEATLTD', 'CERA']",-0.05,{'ATH_DD_0.2pct': 2698}
CCI_neg100_ATH20_PS5,4.04,-0.21,-0.26,36.25,0.11,1.26,7770,36.3,3.8,-1.7,22991436,129.9,9.4,"['NATIONALUM', 'FSL', 'JKLAKSHMI']",7.82,"{'ATH_DD_0.2pct': 7765, 'End_of_Period': 5}"
Stoch20_Trail15_PS10,5.21,-0.08,-0.09,51.59,0.1,1.25,20974,36.9,4.0,-1.8,29027142,190.3,8.6,"['BAJFINANCE', 'KEI', 'GNFC']",9.24,"{'Trail_0.15pct': 20964, 'End_of_Period': 10}"
Stoch20_ATH20_PS10,5.42,-0.06,-0.07,51.17,0.11,1.26,20515,37.1,4.0,-1.9,30289410,202.9,8.4,"['BAJFINANCE', 'GNFC', 'KEI']",9.28,"{'ATH_DD_0.2pct': 20505, 'End_of_Period': 10}"
