name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
EMA_5_20_Trail10,8.38,0.15,0.17,40.34,0.21,1.95,2831,42.9,20.8,-8.0,54166337,441.7,6.2,"['JMFINANCIL', 'KOTAKBANK', 'TRENT']",8.35,"{'Trail_10pct': 2707, 'Time_252d': 99, 'End_of_Period': 25}"
EMA_5_20_Trail15,9.16,0.2,0.22,41.42,0.22,2.58,1566,48.9,30.7,-11.4,63019322,530.2,6.1,"['ADANIGREEN', 'SUDARSCHEM', 'SHREECEM']",9.03,"{'Trail_15pct': 1266, 'Time_252d': 275, 'End_of_Period': 25}"
EMA_5_20_Trail20,9.1,0.2,0.22,44.09,0.21,2.76,1178,52.1,36.0,-14.2,62264857,522.6,6.4,"['ADANIENT', 'ADANIGREEN', 'TORNTPHARM']",8.91,"{'Trail_20pct': 723, 'Time_252d': 430, 'End_of_Period': 25}"
EMA_5_20_ATH15,9.11,0.19,0.21,41.42,0.22,2.75,1393,48.2,33.6,-11.4,62366587,523.7,7.5,"['SUDARSCHEM', 'TORNTPHARM', 'NAVINFLUOR']",8.94,"{'ATH_DD_15pct': 1233, 'Time_365d': 135, 'End_of_Period': 25}"
EMA_5_20_ATH20,8.27,0.15,0.17,47.43,0.17,2.47,1024,45.4,42.2,-14.2,53031201,430.3,7.3,"['SHREECEM', 'SONATSOFTW', 'RELIANCE']",8.08,"{'ATH_DD_20pct': 789, 'Time_365d': 210, 'End_of_Period': 25}"
EMA_5_20_SL5_TP30,8.42,0.19,0.22,38.25,0.22,1.79,3447,29.9,27.6,-6.6,54629786,446.3,5.5,"['AARTIIND', 'PAGEIND', 'CERA']",8.48,"{'SL_5pct': 2389, 'TP_30pct': 752, 'Time_180d': 281, 'End_of_Period': 25}"
EMA_8_21_Trail10,8.33,0.15,0.17,33.98,0.25,1.99,2727,43.2,20.9,-8.0,53658212,436.6,6.2,"['SHREECEM', 'BIRLACORPN', 'SOLARINDS']",8.31,"{'Trail_10pct': 2620, 'Time_252d': 82, 'End_of_Period': 25}"
EMA_8_21_Trail15,8.18,0.14,0.15,45.13,0.18,2.2,1587,46.6,28.8,-11.4,52147044,421.5,6.5,"['SUDARSCHEM', 'TITAN', 'AJANTPHARM']",8.1,"{'Trail_15pct': 1300, 'Time_252d': 262, 'End_of_Period': 25}"
EMA_8_21_Trail20,8.61,0.17,0.18,42.13,0.2,2.51,1190,50.0,35.2,-14.0,56629240,466.3,8.4,"['AUROPHARMA', 'DEEPAKNTR', 'ADANIENT']",8.34,"{'Trail_20pct': 753, 'Time_252d': 412, 'End_of_Period': 25}"
EMA_8_21_ATH15,8.56,0.16,0.18,42.71,0.2,2.43,1440,45.6,33.1,-11.4,56119012,461.2,6.3,"['TORNTPHARM', 'TITAN', 'SUDARSCHEM']",8.51,"{'ATH_DD_15pct': 1293, 'Time_365d': 122, 'End_of_Period': 25}"
EMA_8_21_ATH20,8.53,0.16,0.18,44.9,0.19,2.73,987,48.1,41.8,-14.2,55745028,457.4,8.2,"['AUROPHARMA', 'RELIANCE', 'CIPLA']",8.35,"{'ATH_DD_20pct': 747, 'Time_365d': 215, 'End_of_Period': 25}"
