name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
LS_EMA2050_Trail15_PS20,3.27,-0.31,-0.36,16.55,0.2,1.22,1769,38.8,24.4,-9.8,19654294,96.5,24.6,"['AUROPHARMA', 'MPHASIS', 'KRBL']",3.07,"{'ShortSL_10pct': 381, 'Trail_15pct': 480, 'ShortTrail_15pct': 585, 'ShortTime_126d': 201, 'Time_252d': 102, 'End_of_Period': 20}"
LS_EMA2050_Trail20_PS20,1.71,-0.32,-0.38,22.92,0.07,1.11,2151,37.1,19.6,-8.4,14264153,42.6,60.9,"['AUROPHARMA', 'KRBL', 'UPL']",1.09,"{'ShortSL_8pct': 301, 'ShortTrail_10pct': 1178, 'Trail_20pct': 297, 'ShortTime_90d': 201, 'Time_252d': 155, 'End_of_Period': 19}"
LS_EMA2050_Trail15_PS30,3.63,-0.31,-0.36,17.65,0.21,1.26,2572,39.8,23.5,-9.7,21149834,111.5,20.4,"['EICHERMOT', 'KRBL', 'TATAMOTORS']",3.5,"{'ShortSL_10pct': 540, 'Trail_15pct': 707, 'ShortTrail_15pct': 859, 'ShortTime_126d': 294, 'Time_252d': 142, 'End_of_Period': 30}"
LS_EMA2050_Trail20_PS30,2.44,-0.33,-0.37,18.25,0.13,1.16,3079,37.3,20.3,-8.4,16591554,65.9,9.1,"['MCX', 'AUROPHARMA', 'NATCOPHARM']",2.81,"{'ShortSL_8pct': 420, 'ShortTrail_10pct': 1658, 'Trail_20pct': 437, 'ShortTime_90d': 307, 'Time_252d': 228, 'End_of_Period': 29}"
LS_EMA2050_Trail15_PS40,3.84,-0.29,-0.33,17.66,0.22,1.28,3309,39.5,24.1,-9.7,22077565,120.8,5.1,"['MCX', 'KRBL', 'EICHERMOT']",4.12,"{'ShortSL_10pct': 647, 'Trail_15pct': 929, 'ShortTrail_15pct': 1118, 'ShortTime_126d': 388, 'Time_252d': 187, 'End_of_Period': 40}"
LS_EMA2050_Trail20_PS40,3.44,-0.32,-0.35,13.59,0.25,1.24,3918,38.6,20.5,-8.4,20327737,103.3,6.7,"['AUROPHARMA', 'MCX', 'JINDALSTEL']",3.73,"{'ShortSL_8pct': 501, 'ShortTrail_10pct': 2122, 'Trail_20pct': 557, 'ShortTime_90d': 393, 'Time_252d': 306, 'End_of_Period': 39}"
LS_EMA921_Trail15_PS20,1.86,-0.3,-0.35,36.77,0.05,1.11,1815,36.8,23.8,-10.0,14733301,47.3,52.9,"['HERITGFOOD', 'ADANIGREEN', 'RATNAMANI']",1.32,"{'ShortSL_10pct': 329, 'ShortTrail_15pct': 610, 'Trail_15pct': 568, 'ShortTime_126d': 191, 'Time_252d': 97, 'End_of_Period': 20}"
LS_EMA921_ATH20_PS20,4.1,0.0,0.0,47.28,0.09,1.27,2133,36.3,23.0,-8.4,23258821,132.6,34.7,"['AUROPHARMA', 'TTKPRESTIG', 'TVSMOTOR']",3.46,"{'ShortTrail_10pct': 1232, 'ShortSL_8pct': 253, 'ShortTime_90d': 230, 'ATH_DD_20pct': 316, 'Time_365d': 83, 'End_of_Period': 19}"
LS_EMA921_Trail15_PS30,2.93,-0.18,-0.21,43.88,0.07,1.17,2749,37.8,24.1,-10.0,18340602,83.4,10.4,"['CEATLTD', 'MCX', 'MANAPPURAM']",3.16,"{'ShortSL_10pct': 530, 'ShortTrail_15pct': 938, 'Trail_15pct': 789, 'ShortTime_126d': 303, 'Time_252d': 159, 'End_of_Period': 30}"
LS_EMA921_ATH20_PS30,3.6,-0.06,-0.07,41.83,0.09,1.24,3106,36.0,22.9,-8.5,21029699,110.3,26.6,"['AUROPHARMA', 'TTKPRESTIG', 'STAR']",3.38,"{'ShortSL_8pct': 374, 'ShortTrail_10pct': 1786, 'ShortTime_90d': 334, 'ATH_DD_20pct': 459, 'Time_365d': 124, 'End_of_Period': 29}"
LS_MACD_Trail15_PS20,3.28,-0.2,-0.23,29.58,0.11,1.19,1918,38.1,24.7,-10.2,19680856,96.8,-3.4,"['ADANIGREEN', 'BAJFINANCE', 'THYROCARE']",3.94,"{'ShortTrail_15pct': 658, 'Trail_15pct': 543, 'ShortSL_10pct': 386, 'ShortTime_126d': 201, 'Time_252d': 110, 'End_of_Period': 20}"
LS_MACD_Trail20_PS20,3.38,-0.14,-0.17,32.78,0.1,1.18,2377,37.2,22.3,-8.8,20087208,100.9,5.9,"['MCX', 'GRAPHITE', 'SHREECEM']",3.79,"{'ShortSL_8pct': 298, 'ShortTrail_10pct': 1341, 'Trail_20pct': 313, 'ShortTime_90d': 227, 'Time_252d': 178, 'End_of_Period': 20}"
LS_MACD_Trail15_PS30,2.64,-0.22,-0.25,31.49,0.08,1.16,2803,37.7,24.0,-10.1,17282665,72.8,3.6,"['BAJFINANCE', 'ADANIGREEN', 'DIVISLAB']",3.15,"{'ShortSL_10pct': 545, 'ShortTrail_15pct': 944, 'Trail_15pct': 831, 'ShortTime_126d': 298, 'Time_252d': 155, 'End_of_Period': 30}"
