name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
P2_MACD200_Trail10_120d,10.62,0.33,0.38,25.23,0.42,1.74,1720,42.9,18.5,-8.0,30350463,203.5,12.9,"['ADANIGREEN', 'HEG', 'SUZLON']",10.24,"{'Trail_10pct': 1437, 'Time_120d': 258, 'End_of_Period': 25}"
P2_MACD200_Trail12_150d,11.36,0.37,0.42,26.23,0.43,2.04,1260,46.5,21.2,-9.0,32652454,226.5,10.1,"['ADANIGREEN', 'DEEPAKNTR', 'ADANIENT']",11.04,"{'Trail_12pct': 994, 'Time_150d': 241, 'End_of_Period': 25}"
P2_MACD200_Trail20_252d,12.25,0.43,0.48,17.70,0.69,2.82,615,52.9,33.5,-13.3,35647771,256.5,10.6,"['RECLTD', 'KEI', 'GRAPHITE']",11.74,"{'Trail_20pct': 380, 'Time_252d': 210, 'End_of_Period': 25}"
P2_MACD200_ATH15_180d,11.36,0.36,0.41,22.53,0.50,2.20,946,47.8,25.4,-10.6,32646698,226.5,11.8,"['ADANIENT', 'ADANIGREEN', 'RAIN']",10.84,"{'ATH_DD_15pct': 685, 'Time_180d': 236, 'End_of_Period': 25}"
P2_MACD200_ATH25_365d,12.29,0.33,0.37,30.50,0.40,3.42,406,55.9,44.7,-16.6,35774541,257.8,14.4,"['DIXON', 'DEEPAKNTR', 'COCHINSHIP']",11.56,"{'ATH_DD_25pct': 234, 'Time_365d': 147, 'End_of_Period': 25}"
P2_MACD200_MACDFlip_SL15,9.57,0.26,0.29,22.74,0.42,1.42,5979,36.3,9.0,-3.6,27330529,173.3,12.3,"['ADANIGREEN', 'SUZLON', 'TATAELXSI']",10.26,"{'MACD_Flip': 5952, 'SL_15pct': 2, 'End_of_Period': 25}"
P2_MACD200_STExit_PS20,13.54,0.49,0.54,25.17,0.54,2.74,639,49.9,32.7,-11.9,40432385,304.3,17.9,"['HEG', 'ADANIGREEN', 'ADANIENT']",12.30,"{'SL_12pct': 256, 'Time_180d': 325, 'ST_Flip': 38, 'End_of_Period': 20}"
P2_MACD200_STExit_PS15,13.33,0.46,0.53,27.75,0.48,2.65,484,48.4,33.4,-11.8,39599264,296.0,23.0,"['HEG', 'ADANIGREEN', 'REDINGTON']",11.68,"{'SL_12pct': 198, 'Time_180d': 242, 'ST_Flip': 29, 'End_of_Period': 15}"
P2_52WVol_Trail8_90d,8.11,0.14,0.17,21.94,0.37,1.49,1798,42.3,13.4,-6.6,23580193,135.8,14.2,"['ADANIGREEN', 'HEG', 'CDSL']",8.09,"{'Trail_8pct': 1483, 'Time_90d': 295, 'End_of_Period': 20}"
P2_52WVol_Trail12_120d,9.53,0.26,0.30,19.13,0.50,1.80,1047,47.1,17.9,-8.8,27213846,172.1,13.6,"['ADANIGREEN', 'HEG', 'NILKAMAL']",9.12,"{'Trail_12pct': 710, 'Time_120d': 317, 'End_of_Period': 20}"
