name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
PA_RSI14_30_Trail15,9.91,0.24,0.26,30.09,0.33,2.72,1728,47.4,33.2,-11.0,72772255,627.7,6.2,"['GRANULES', 'RELIANCE', 'SRF']",9.8,"{'Trail_15pct': 1484, 'Time_252d': 219, 'End_of_Period': 25}"
PA_RSI14_30_ATH20,10.02,0.23,0.25,32.07,0.31,3.22,1077,47.3,49.7,-13.8,74247366,642.5,8.0,"['ADANIENT', 'DIXON', 'VIPIND']",9.79,"{'ATH_DD_20pct': 860, 'Time_365d': 192, 'End_of_Period': 25}"
PA_RSI14_30_IndicatorExit,6.53,-0.01,-0.01,44.05,0.15,1.52,3831,68.5,8.9,-12.8,37745787,277.5,5.6,"['ECLERX', 'TITAN', 'AJANTPHARM']",6.66,"{'RSI_70': 3056, 'Trail_20pct': 703, 'Time_126d': 49, 'End_of_Period': 23}"
PA_RSI2_10_Trail15,10.31,0.26,0.28,35.12,0.29,2.6,1948,47.1,32.9,-11.2,78417051,684.2,7.6,"['ADANIENT', 'TATAELXSI', 'AJANTPHARM']",10.08,"{'Trail_15pct': 1716, 'Time_252d': 207, 'End_of_Period': 25}"
PA_RSI2_10_ATH20,10.16,0.24,0.26,36.1,0.28,3.06,1193,47.4,47.6,-14.0,76325956,663.3,7.9,"['BAJFINANCE', 'AJANTPHARM', 'ADANIENT']",9.95,"{'ATH_DD_20pct': 987, 'Time_365d': 181, 'End_of_Period': 25}"
PA_RSI2_10_IndicatorExit,9.1,0.27,0.29,36.87,0.25,1.79,6050,75.4,7.4,-12.6,62302508,523.0,4.0,"['AJANTPHARM', 'KEI', 'IIFL']",9.28,"{'RSI_70': 5144, 'Trail_20pct': 827, 'Time_126d': 54, 'End_of_Period': 25}"
PA_MACD_Trail15,8.91,0.18,0.2,39.15,0.23,2.36,1643,47.1,30.6,-11.6,60051169,500.5,8.9,"['DEEPAKNTR', 'ADANIGREEN', 'SHREECEM']",8.67,"{'Trail_15pct': 1356, 'Time_252d': 262, 'End_of_Period': 25}"
PA_MACD_ATH20,9.34,0.2,0.22,39.59,0.24,2.91,1031,48.2,46.5,-14.9,65215070,552.2,9.4,"['CERA', 'EICHERMOT', 'TTKPRESTIG']",9.09,"{'ATH_DD_20pct': 787, 'Time_365d': 219, 'End_of_Period': 25}"
PA_MACD_IndicatorExit,8.91,0.18,0.2,39.15,0.23,2.36,1643,47.1,30.6,-11.6,60051169,500.5,8.9,"['DEEPAKNTR', 'ADANIGREEN', 'SHREECEM']",8.67,"{'Trail_15pct': 1356, 'Time_252d': 262, 'End_of_Period': 25}"
PA_ADX30_Trail15,9.85,0.23,0.25,42.04,0.23,2.45,1861,45.1,34.0,-11.4,71844421,618.4,6.8,"['ADANIGREEN', 'HEG', 'SUDARSCHEM']",9.68,"{'Trail_15pct': 1596, 'Time_252d': 240, 'End_of_Period': 25}"
PA_ADX30_ATH20,9.69,0.22,0.24,43.56,0.22,2.86,1132,47.4,46.8,-14.7,69680693,596.8,7.1,"['MPHASIS', 'KPRMILL', 'GRANULES']",9.53,"{'ATH_DD_20pct': 925, 'Time_365d': 182, 'End_of_Period': 25}"
PA_ADX30_IndicatorExit,8.75,0.18,0.2,54.7,0.16,1.75,4034,46.3,17.0,-8.4,58215099,482.2,6.9,"['ADANIGREEN', 'GRAPHITE', 'LAURUSLABS']",8.75,"{'Trail_15pct': 1495, 'ADX_Weak_20': 2493, 'Time_252d': 21, 'End_of_Period': 25}"
PA_SuperTrend_Trail15,5.38,-0.14,-0.16,15.18,0.35,2.19,749,43.5,31.3,-11.0,30076047,200.8,13.8,"['GRANULES', 'DELTACORP', 'STAR']",5.06,"{'Trail_15pct': 622, 'Time_252d': 102, 'End_of_Period': 25}"
PA_SuperTrend_ATH20,7.12,0.06,0.07,20.34,0.35,2.79,634,45.7,47.4,-14.3,42390372,323.9,13.3,"['SRF', 'STAR', 'TATAMOTORS']",6.7,"{'ATH_DD_20pct': 496, 'Time_365d': 116, 'End_of_Period': 22}"
PA_SuperTrend_IndicatorExit,5.88,-0.07,-0.08,17.63,0.33,2.16,765,42.1,37.1,-12.5,33192708,231.9,14.0,"['NBCC', 'DELTACORP', 'JINDALSTEL']",5.53,"{'SL_12pct': 353, 'Time_180d': 325, 'ST_Flip': 65, 'End_of_Period': 22}"
PA_Donchian50_Trail15,9.11,0.2,0.22,34.09,0.27,2.51,1572,45.9,32.9,-11.1,62367634,523.7,6.3,"['JINDALSTEL', 'TTKPRESTIG', 'ADANIENT']",8.98,"{'Trail_15pct': 1300, 'Time_252d': 247, 'End_of_Period': 25}"
PA_Donchian50_ATH20,9.14,0.19,0.22,39.32,0.23,3.1,971,50.0,43.8,-14.2,62753356,527.5,9.3,"['MPHASIS', 'TTKPRESTIG', 'SYMPHONY']",8.88,"{'ATH_DD_20pct': 753, 'Time_365d': 193, 'End_of_Period': 25}"
PA_Donchian50_IndicatorExit,9.11,0.2,0.22,34.09,0.27,2.51,1572,45.9,32.9,-11.1,62367634,523.7,6.3,"['JINDALSTEL', 'TTKPRESTIG', 'ADANIENT']",8.98,"{'Trail_15pct': 1300, 'Time_252d': 247, 'End_of_Period': 25}"
PA_BB_Lower_Trail15,9.65,0.23,0.24,30.28,0.32,2.66,1640,48.0,33.0,-11.4,69237457,592.4,7.2,"['ADANIENT', 'VIPIND', 'ADANIGREEN']",9.49,"{'Trail_15pct': 1366, 'Time_252d': 249, 'End_of_Period': 25}"
PA_BB_Lower_ATH20,9.57,0.21,0.23,29.0,0.33,3.07,1031,48.8,46.5,-14.5,68125602,581.3,9.4,"['ADANIENT', 'DIXON', 'JINDALSTEL']",9.26,"{'ATH_DD_20pct': 803, 'Time_365d': 203, 'End_of_Period': 25}"
PA_BB_Lower_IndicatorExit,5.61,-0.1,-0.11,36.21,0.15,1.42,3419,66.2,9.4,-13.0,31438606,214.4,7.0,"['TITAN', 'VEDL', 'NAUKRI']",5.74,"{'BB_Upper': 2630, 'Trail_20pct': 692, 'Time_126d': 73, 'End_of_Period': 24}"
PA_Stoch20_Trail15,10.35,0.26,0.28,30.29,0.34,2.73,1888,47.4,33.4,-11.0,79146177,691.5,5.3,"['AJANTPHARM', 'NAVINFLUOR', 'RELIANCE']",10.28,"{'Trail_15pct': 1655, 'Time_252d': 208, 'End_of_Period': 25}"
PA_Stoch20_ATH20,10.45,0.25,0.27,33.68,0.31,3.28,1153,47.8,50.2,-14.0,80558172,705.6,8.2,"['DIXON', 'TATAELXSI', 'BAJFINANCE']",10.21,"{'ATH_DD_20pct': 942, 'Time_365d': 186, 'End_of_Period': 25}"
PA_Stoch20_IndicatorExit,7.55,0.09,0.1,40.77,0.19,1.56,6301,69.6,6.8,-10.0,46109508,361.1,7.3,"['BAJFINANCE', 'CERA', 'TRIDENT']",7.74,"{'Stoch_80': 5544, 'Trail_20pct': 714, 'Time_126d': 18, 'End_of_Period': 25}"
PA_CCI_neg100_Trail15,9.55,0.23,0.25,31.87,0.3,2.85,1494,49.8,32.5,-11.3,67837551,578.4,7.5,"['ADANIENT', 'APLAPOLLO', 'MANAPPURAM']",9.33,"{'Trail_15pct': 1233, 'Time_252d': 236, 'End_of_Period': 25}"
PA_CCI_neg100_ATH20,9.62,0.22,0.24,31.16,0.31,3.39,928,50.2,48.2,-14.4,68733006,587.3,9.3,"['KEI', 'APLAPOLLO', 'JINDALSTEL']",9.28,"{'ATH_DD_20pct': 694, 'Time_365d': 209, 'End_of_Period': 25}"
