symbol,total_trades,wins,win_rate,total_pnl_pct,avg_pnl_pct,strategies_active,best_strategy,best_strategy_pnl
ADANIGREEN,47,26,55.3,2450.2,52.1,9,ADX25,520.8
SHREECEM,65,41,63.1,2163.6,33.3,8,SMA200_Mom,457.2
AUROPHARMA,39,28,71.8,1975.2,50.6,9,SMA200_Mom,494.5
GRANULES,54,28,51.9,1744.8,32.3,9,RSI30,456.5
AJANTPHARM,67,42,62.7,1679.7,25.1,9,SMA200_Mom,489.7
HEG,54,27,50.0,1579.4,29.2,9,ADX25,461.8
RELIANCE,61,42,68.9,1566.3,25.7,9,RSI30,311.0
DEEPAKNTR,60,31,51.7,1563.6,26.1,9,MACD,461.5
EICHERMOT,73,48,65.8,1546.1,21.2,9,MACD_SMA200,313.4
DIXON,36,21,58.3,1514.1,42.1,9,SMA200_Mom,490.6
ASTRAL,38,24,63.2,1508.9,39.7,9,SMA200_Mom,342.7
ADANIENT,83,28,33.7,1505.2,18.1,9,SMA200_Mom,450.1
SRF,55,32,58.2,1279.2,23.3,9,RSI30,289.2
GMDCLTD,60,22,36.7,1267.6,21.1,9,MACD_SMA200,385.2
ITC,69,52,75.4,1256.4,18.2,9,EMA_9_21,186.5
IPCALAB,54,40,74.1,1250.2,23.2,9,ADX25,215.9
DIVISLAB,75,47,62.7,1245.4,16.6,9,SMA200_Mom,255.1
CERA,41,28,68.3,1236.9,30.2,9,ADX25,244.3
KPRMILL,49,30,61.2,1140.4,23.3,9,MACD,222.8
BHARTIARTL,69,42,60.9,1134.7,16.4,9,MACD,238.4
BRITANNIA,68,44,64.7,1132.4,16.7,9,EMA_9_21,202.4
LT,51,32,62.7,1131.2,22.2,9,MACD_SMA200,233.2
PAGEIND,56,33,58.9,1108.7,19.8,9,MACD,239.8
RAIN,29,12,41.4,1096.9,37.8,9,SMA200_Mom,230.3
LINDEINDIA,56,42,75.0,1084.3,19.4,9,MACD_SMA200,212.4
NAVINFLUOR,52,29,55.8,1041.4,20.0,9,SMA200_Mom,223.4
BAJFINANCE,92,42,45.7,1040.8,11.3,9,SMA200_Mom,440.3
ULTRACEMCO,52,29,55.8,1024.6,19.7,9,SMA200_Mom,253.2
MARUTI,53,32,60.4,1023.0,19.3,9,Donchian50,240.6
JINDALSTEL,53,23,43.4,1018.2,19.2,9,Donchian50,347.1
KRBL,72,28,38.9,988.0,13.7,9,EMA_20_50,299.3
TVSMOTOR,54,32,59.3,953.2,17.7,9,EMA_9_21,232.4
MPHASIS,67,23,34.3,939.8,14.0,9,SMA200_Mom,313.9
PIIND,37,21,56.8,912.8,24.7,8,EMA_9_21,210.6
CEATLTD,54,29,53.7,912.5,16.9,9,EMA_9_21,463.5
GUJGASLTD,52,30,57.7,907.5,17.5,9,SMA200_Mom,245.2
KOTAKBANK,54,36,66.7,904.7,16.8,9,SMA200_Mom,214.4
MARICO,57,38,66.7,897.7,15.7,9,EMA_9_21,169.5
M&M,53,22,41.5,895.9,16.9,9,EMA_20_50,237.1
FINPIPE,30,18,60.0,895.4,29.8,9,ADX25,193.9
JSL,43,28,65.1,885.9,20.6,9,SMA200_Mom,248.1
KEI,54,31,57.4,870.5,16.1,9,RSI30,238.2
STAR,49,18,36.7,858.5,17.5,9,SuperTrend,233.9
VIPIND,58,30,51.7,852.9,14.7,8,RSI30,260.8
ESCORTS,52,26,50.0,843.5,16.2,9,ADX25,270.6
IFBIND,65,24,36.9,842.5,13.0,9,Donchian50,247.9
JMFINANCIL,39,18,46.2,828.7,21.2,8,MACD,247.7
TRENT,41,23,56.1,812.3,19.8,9,MACD,212.0
TATAELXSI,54,29,53.7,801.0,14.8,9,SMA200_Mom,180.8
KPITTECH,20,14,70.0,797.3,39.9,8,SMA200_Mom,264.1
PERSISTENT,43,24,55.8,791.1,18.4,9,MACD,167.3
KAJARIACER,60,31,51.7,772.2,12.9,9,MACD_SMA200,236.6
IIFL,59,28,47.5,771.2,13.1,9,SMA200_Mom,250.0
NATCOPHARM,58,25,43.1,749.7,12.9,9,EMA_20_50,363.9
BALKRISIND,53,24,45.3,739.8,14.0,9,EMA_9_21,189.6
SUZLON,38,21,55.3,735.2,19.3,9,ADX25,159.5
HEROMOTOCO,74,31,41.9,733.8,9.9,9,EMA_20_50,160.8
BIRLACORPN,23,20,87.0,729.4,31.7,9,EMA_9_21,198.5
HERITGFOOD,52,19,36.5,728.0,14.0,8,EMA_9_21,274.9
LAURUSLABS,21,17,81.0,725.3,34.5,9,ADX25,213.2
GRAPHITE,40,17,42.5,723.5,18.1,8,ADX25,251.8
SUPREMEIND,49,32,65.3,723.0,14.8,9,MACD,191.1
GODREJCP,55,29,52.7,721.6,13.1,9,MACD,199.3
MUTHOOTFIN,39,28,71.8,719.7,18.5,9,EMA_20_50,144.4
CDSL,19,12,63.2,712.0,37.5,8,RSI30,146.6
TITAN,78,33,42.3,710.3,9.1,9,SMA200_Mom,147.2
TATACONSUM,52,29,55.8,708.2,13.6,9,Donchian50,141.0
RVNL,28,14,50.0,707.7,25.3,7,RSI30,276.7
SUNPHARMA,65,43,66.2,699.3,10.8,9,SMA200_Mom,112.0
EDELWEISS,21,10,47.6,691.6,32.9,8,ADX25,151.8
TTKPRESTIG,66,22,33.3,685.9,10.4,9,Donchian50,297.3
DRREDDY,57,33,57.9,685.4,12.0,9,MACD_SMA200,167.1
NBCC,35,23,65.7,678.6,19.4,9,ADX25,228.0
CIPLA,54,27,50.0,666.6,12.3,9,Donchian50,156.4
APOLLOHOSP,79,46,58.2,660.5,8.4,9,RSI30,102.9
HCLTECH,63,33,52.4,658.3,10.4,9,SMA200_Mom,159.9
TRIDENT,45,19,42.2,652.0,14.5,8,SMA200_Mom,242.5
FINCABLES,36,20,55.6,650.9,18.1,9,ADX25,173.4
JSWSTEEL,55,30,54.5,623.3,11.3,9,Donchian50,154.3
RELAXO,45,27,60.0,613.4,13.6,9,ADX25,135.0
VINATIORGA,37,23,62.2,607.0,16.4,8,Donchian50,150.4
SOLARINDS,61,32,52.5,598.4,9.8,8,ADX25,187.5
WOCKPHARMA,55,23,41.8,592.4,10.8,9,SMA200_Mom,278.9
