scenario,portfolio_size,cagr,sharpe,sortino,max_drawdown,calmar,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,total_topups
DAILY_DEBT_PS30,30,8.27,0.15,0.05,9.2,0.9,27,55.6,59.8,-16.8,52422039.0,424.2,33
DAILY_NIFTY_PS30,30,14.22,0.4,0.52,59.7,0.24,27,55.6,59.8,-16.8,159769376.0,1497.7,33
DAILY_NIFTY_REPLACE_PS30,30,29.65,0.49,2.03,36.0,0.82,75,57.3,2063.4,-17.4,2243599776.0,22336.0,34
REBAL_DEBT_PS30,30,24.56,0.25,2.51,65.9,0.37,53,73.6,1139.9,-27.6,974377818.0,9643.8,33
REBAL_NIFTY_PS30,30,29.42,0.29,2.77,75.9,0.39,53,73.6,1139.9,-27.6,2164304887.0,21543.0,33
DAILY_DEBT_PS10,10,7.65,-0.04,-0.02,10.7,0.71,10,50.0,38.4,-19.1,46494364.0,364.9,8
DAILY_NIFTY_PS10,10,13.56,0.37,0.48,59.7,0.23,10,50.0,38.4,-19.1,141703293.0,1317.0,8
DAILY_NIFTY_REPLACE_PS10,10,34.98,0.42,2.71,35.7,0.98,41,58.5,3658.5,-17.0,5203067164.0,51930.7,8
REBAL_DEBT_PS10,10,32.49,0.25,5.92,49.2,0.66,42,66.7,2182.1,-14.5,3526694835.0,35167.0,8
REBAL_NIFTY_PS10,10,34.79,0.26,4.71,69.8,0.5,42,66.7,2182.1,-14.5,5050850465.0,50408.5,8
