label,exit_strategy,exit_params,entry_filters,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
A_RSI50_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI>50,2.5,10,30,233,125,108,53.6,10.08,32.99,-16.44,49.96,-30.03,2.22,10.08,21669587,31669587,216.7,82.6,30.08,end_of_data=12; stop_loss=102; target_hit=119
A_RSI55_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI>55,2.5,10,30,233,125,108,53.6,10.08,32.99,-16.44,49.96,-30.03,2.22,10.08,21669587,31669587,216.7,82.6,30.08,end_of_data=12; stop_loss=102; target_hit=119
A_RSI60_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI>60,2.5,10,30,233,125,108,53.6,10.08,32.99,-16.44,49.96,-30.03,2.22,10.08,21669587,31669587,216.7,82.6,30.08,end_of_data=12; stop_loss=102; target_hit=119
A_RSI50_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI>50,2.5,10,30,233,113,120,48.5,4.18,17.87,-8.71,27.87,-14.53,1.92,4.18,6177942,16177941,61.78,27.0,-7.04,end_of_data=5; stop_loss=119; target_hit=109
A_RSI55_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI>55,2.5,10,30,233,113,120,48.5,4.18,17.87,-8.71,27.87,-14.53,1.92,4.18,6177942,16177941,61.78,27.0,-7.04,end_of_data=5; stop_loss=119; target_hit=109
A_RSI60_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",RSI>60,2.5,10,30,233,113,120,48.5,4.18,17.87,-8.71,27.87,-14.53,1.92,4.18,6177942,16177941,61.78,27.0,-7.04,end_of_data=5; stop_loss=119; target_hit=109
A_RSI50_FIX_T20_SL10,fixed_target,"T=20%,SL=10%",RSI>50,2.5,10,30,233,116,117,49.8,5.89,23.56,-11.63,43.92,-21.83,1.94,5.89,9649129,19649129,96.49,40.6,-1.38,end_of_data=8; stop_loss=114; target_hit=111
A_RSI55_FIX_T20_SL10,fixed_target,"T=20%,SL=10%",RSI>55,2.5,10,30,233,116,117,49.8,5.89,23.56,-11.63,43.92,-21.83,1.94,5.89,9649129,19649129,96.49,40.6,-1.38,end_of_data=8; stop_loss=114; target_hit=111
A_RSI60_FIX_T20_SL10,fixed_target,"T=20%,SL=10%",RSI>60,2.5,10,30,233,116,117,49.8,5.89,23.56,-11.63,43.92,-21.83,1.94,5.89,9649129,19649129,96.49,40.6,-1.38,end_of_data=8; stop_loss=114; target_hit=111
A_RSI7p50_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",RSI(7)>50,2.5,10,30,233,125,108,53.6,10.08,32.99,-16.44,49.96,-30.03,2.22,10.08,21669587,31669587,216.7,82.6,30.08,end_of_data=12; stop_loss=102; target_hit=119
