label,trades,win_rate,profit_factor,expectancy,total_return,median_return,avg_hold_days,filters
E_BASE_T30_SL20,259,54.1,1.77,8.44,2184.76,30.04,127.5,T30/SL20
E_BASE_T30_SL25,259,56.8,1.69,8.24,2133.59,30.28,151.1,T30/SL25
E_BASE_T40_SL20,259,50.2,1.91,10.86,2813.97,1.08,156.2,T40/SL20
E_BASE_T40_SL25,259,52.9,1.83,10.8,2797.62,23.25,181.2,T40/SL25
E_BASE_T40_SL30,259,57.1,1.88,12.33,3194.02,40.46,212.6,T40/SL30
E_BASE_T50_SL20,259,45.6,1.81,11.9,3083.11,-9.49,191.7,T50/SL20
E_BASE_T50_SL25,259,48.6,1.76,12.19,3156.39,-1.62,220.1,T50/SL25
E_BASE_T50_SL30,259,52.5,1.8,13.56,3511.15,7.13,260.5,T50/SL30
E_BASE_T5_SL10,259,63.3,1.41,1.7,440.03,5.67,17.2,T5/SL10
E_BASE_T5_SL15,259,73.0,1.55,2.33,602.35,6.14,27.6,T5/SL15
E_BASE_T5_SL20,259,77.2,1.5,2.31,598.03,6.48,37.1,T5/SL20
E_BASE_T6_SL10,259,60.6,1.37,1.65,426.7,6.68,19.0,T6/SL10
E_BASE_T6_SL15,259,70.3,1.51,2.37,613.12,7.3,30.1,T6/SL15
E_BASE_T6_SL20,259,75.3,1.53,2.58,667.7,7.68,41.4,T6/SL20
E_BASE_T8_SL10,259,58.3,1.46,2.21,571.99,8.49,24.6,T8/SL10
E_BASE_T8_SL15,259,68.0,1.56,2.9,751.47,8.76,39.0,T8/SL15
E_BASE_T8_SL20,259,73.0,1.55,3.04,787.91,8.99,51.6,T8/SL20
E_BASE_T10_SL10,259,55.6,1.51,2.61,675.0,10.3,27.2,T10/SL10
E_BASE_T10_SL15,259,66.0,1.67,3.67,949.54,10.93,43.4,T10/SL15
E_BASE_T10_SL20,259,71.0,1.65,3.79,982.17,11.17,57.4,T10/SL20
E_BASE_T3_SL5,259,59.1,1.47,1.33,344.09,3.47,6.9,T3/SL5
