phase,label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,cagr,sharpe,max_drawdown,avg_hold_days,exit_breakdown
P1,ST_7_2.0,supertrend,"ATR=7,M=2.0",1.5,5,20,44,26,18,59.1,30.51,67.98,-23.62,335.04,-33.2,4.14,30.51,8970629,18970629,89.71,13.77,2.85,5.9,336.1,end_of_data=4; hard_stop_30=11; supertrend_flip=29
P1,ST_7_3.0,supertrend,"ATR=7,M=3.0",1.5,5,20,44,24,20,54.5,185.75,361.15,-24.74,4098.45,-33.2,8.22,185.75,173224331,183224331,1732.24,52.55,1.94,3.47,880.8,end_of_data=17; hard_stop_30=15; supertrend_flip=12
P1,ST_10_2.0,supertrend,"ATR=10,M=2.0",1.5,5,20,44,26,18,59.1,30.45,67.89,-23.62,335.04,-33.2,4.13,30.45,8945008,18945008,89.45,13.74,2.83,5.9,337.5,end_of_data=4; hard_stop_30=11; supertrend_flip=29
P1,ST_10_3.0,supertrend,"ATR=10,M=3.0",1.5,5,20,44,24,20,54.5,185.75,361.15,-24.74,4098.45,-33.2,8.22,185.75,173224331,183224331,1732.24,52.55,1.94,3.47,880.8,end_of_data=17; hard_stop_30=15; supertrend_flip=12
P1,ST_14_2.0,supertrend,"ATR=14,M=2.0",1.5,5,20,44,26,18,59.1,33.86,72.14,-21.44,503.08,-32.81,4.87,33.86,10160327,20160327,101.6,15.17,2.56,5.1,334.4,end_of_data=4; hard_stop_30=9; supertrend_flip=31
P1,ST_14_3.0,supertrend,"ATR=14,M=3.0",1.5,5,20,44,25,19,56.8,192.45,358.44,-25.96,4098.45,-33.2,8.78,192.45,201058293,211058293,2010.58,55.72,2.02,3.47,933.0,end_of_data=17; hard_stop_30=15; supertrend_flip=12
P1,TRAIL_8PCT,trailing_sl,Trail=8%,1.5,5,20,44,24,20,54.5,2.04,6.72,-3.58,13.41,-8.0,2.24,2.04,456059,10456059,4.56,0.95,2.27,0.52,8.9,trailing_sl=44
P1,TRAIL_10PCT,trailing_sl,Trail=10%,1.5,5,20,44,24,20,54.5,1.16,6.49,-5.24,31.6,-10.0,1.48,1.16,254675,10254675,2.55,0.53,0.99,1.41,13.0,trailing_sl=44
P1,TRAIL_12PCT,trailing_sl,Trail=12%,1.5,5,20,44,21,23,47.7,0.38,7.51,-6.13,28.67,-12.0,1.11,0.38,79411,10079411,0.79,0.17,0.29,1.1,20.1,trailing_sl=44
P1,TRAIL_15PCT,trailing_sl,Trail=15%,1.5,5,20,44,22,22,50.0,2.32,12.29,-7.66,76.0,-15.0,1.59,2.32,508966,10508966,5.09,1.03,1.0,1.87,37.8,trailing_sl=44
P1,TRAIL_20PCT,trailing_sl,Trail=20%,1.5,5,20,44,24,20,54.5,27.37,59.61,-11.33,443.62,-20.0,5.48,27.37,7715541,17715541,77.16,11.55,2.48,2.23,127.5,trailing_sl=44
P1,TRAIL_25PCT,trailing_sl,Trail=25%,1.5,5,20,44,23,21,52.3,32.3,74.51,-13.94,450.65,-25.0,5.2,32.3,9619846,19619846,96.2,13.69,2.7,2.93,223.6,trailing_sl=44
P1,TRAIL_30PCT,trailing_sl,Trail=30%,1.5,5,20,44,25,19,56.8,49.84,100.51,-16.83,789.4,-30.06,7.01,49.84,17203423,27203423,172.03,17.85,2.44,4.03,371.8,end_of_data=3; hard_stop_30=1; trailing_sl=40
P1,FIX_T15_SL7,fixed_target,"T=15%,SL=7%",1.5,5,20,44,25,19,56.8,6.66,18.11,-8.39,27.11,-14.53,2.79,6.66,1564711,11564711,15.65,3.02,3.31,1.49,31.0,stop_loss=19; target_hit=25
P1,FIX_T20_SL10,fixed_target,"T=20%,SL=10%",1.5,5,20,44,26,18,59.1,9.85,24.49,-11.31,43.61,-14.53,3.04,9.85,2390403,12390403,23.9,4.23,3.63,2.44,54.2,stop_loss=18; target_hit=26
P1,FIX_T25_SL10,fixed_target,"T=25%,SL=10%",1.5,5,20,44,24,20,54.5,10.23,28.11,-11.24,43.61,-14.53,2.93,10.23,2489453,12489453,24.89,4.39,3.42,2.44,73.9,stop_loss=20; target_hit=24
P1,FIX_T30_SL10,fixed_target,"T=30%,SL=10%",1.5,5,20,44,22,22,50.0,11.46,34.23,-11.31,45.52,-14.53,2.93,11.46,2820385,12820385,28.2,4.46,3.3,2.44,93.6,stop_loss=22; target_hit=22
P1,FIX_T30_SL15,fixed_target,"T=30%,SL=15%",1.5,5,20,44,26,18,59.1,13.43,34.49,-17.0,45.52,-25.81,2.88,13.43,3375140,13375140,33.75,5.24,3.48,3.91,127.4,stop_loss=18; target_hit=26
P1,FIX_T40_SL15,fixed_target,"T=40%,SL=15%",1.5,5,20,44,24,20,54.5,15.93,43.08,-16.66,46.68,-25.81,3.09,15.93,4107849,14107849,41.08,6.21,3.54,3.91,165.4,end_of_data=1; stop_loss=19; target_hit=24
P1,FIX_T50_SL15,fixed_target,"T=50%,SL=15%",1.5,5,20,44,20,24,45.5,15.03,53.25,-16.82,62.57,-25.81,2.55,15.03,3809722,13809722,38.1,5.77,2.85,3.91,222.3,end_of_data=1; stop_loss=23; target_hit=20
P1,FIX_T50_SL20,fixed_target,"T=50%,SL=20%",1.5,5,20,44,21,23,47.7,14.55,53.12,-20.68,62.57,-25.81,2.26,14.55,3653805,13653805,36.54,5.56,2.61,4.36,273.5,end_of_data=2; stop_loss=21; target_hit=21
P1,FIX_T60_SL20,fixed_target,"T=60%,SL=20%",1.5,5,20,44,21,23,47.7,19.67,63.86,-20.68,73.06,-25.81,2.7,19.67,5233529,15233529,52.34,7.48,3.08,4.36,298.8,end_of_data=2; stop_loss=21; target_hit=21
P1,TIME_10D_SL7,time_exit,"Days=10,SL=7%",1.5,5,20,44,21,23,47.7,5.44,16.97,-5.09,97.32,-14.53,2.96,5.44,1251135,11251135,12.51,2.52,2.04,1.44,13.4,stop_loss=8; time_exit=36
P1,TIME_15D_SL10,time_exit,"Days=15,SL=10%",1.5,5,20,44,24,20,54.5,5.56,16.07,-7.04,86.44,-14.53,2.67,5.56,1282447,11282447,12.82,2.57,2.15,1.42,19.9,stop_loss=8; time_exit=36
P1,TIME_20D_SL10,time_exit,"Days=20,SL=10%",1.5,5,20,44,25,19,56.8,5.23,14.85,-7.42,62.15,-14.53,2.59,5.23,1202975,11202975,12.03,2.41,2.15,1.52,26.2,stop_loss=8; time_exit=36
P1,TIME_30D_SL10,time_exit,"Days=30,SL=10%",1.5,5,20,44,25,19,56.8,5.28,15.6,-8.3,51.13,-14.53,2.43,5.28,1214227,11214227,12.14,2.41,2.21,1.5,37.3,stop_loss=12; time_exit=32
P1,TIME_45D_SL15,time_exit,"Days=45,SL=15%",1.5,5,20,44,25,19,56.8,7.08,21.04,-11.3,61.1,-25.81,2.39,7.08,1654023,11654023,16.54,3.19,2.26,3.4,59.8,stop_loss=6; time_exit=38
P1,TIME_60D_SL15,time_exit,"Days=60,SL=15%",1.5,5,20,44,27,17,61.4,11.49,26.27,-11.98,71.66,-25.81,3.4,11.49,2823331,12823331,28.23,5.17,3.03,2.56,77.9,stop_loss=9; time_exit=35
P1,TIME_90D_SL15,time_exit,"Days=90,SL=15%",1.5,5,20,44,27,17,61.4,15.29,33.7,-13.96,113.32,-25.81,3.66,15.29,3897688,13897688,38.98,6.73,3.06,3.1,111.6,stop_loss=12; time_exit=32
P1,EMA_5_13,ema_cross,EMA=5/13,1.5,5,20,44,20,24,45.5,3.61,15.92,-6.65,56.37,-25.81,1.95,3.61,809432,10809432,8.09,1.65,1.47,2.03,29.3,ema_cross_down=44
P1,EMA_5_20,ema_cross,EMA=5/20,1.5,5,20,44,24,20,54.5,6.67,19.0,-8.12,92.04,-25.94,2.72,6.67,1548836,11548836,15.49,3.08,2.02,2.09,41.7,ema_cross_down=44
P1,EMA_8_21,ema_cross,EMA=8/21,1.5,5,20,44,22,22,50.0,9.3,27.01,-8.4,107.0,-22.82,3.11,9.3,2217855,12217855,22.18,4.27,2.3,2.11,54.0,ema_cross_down=44
P1,EMA_10_30,ema_cross,EMA=10/30,1.5,5,20,44,22,22,50.0,11.66,31.95,-8.62,108.27,-21.23,3.53,11.66,2848962,12848962,28.49,5.28,2.5,2.15,71.0,ema_cross_down=43; end_of_data=1
P1,EMA_13_34,ema_cross,EMA=13/34,1.5,5,20,44,23,21,52.3,11.64,31.38,-9.98,108.27,-26.81,3.27,11.64,2841488,12841488,28.41,5.26,2.47,2.61,84.7,ema_cross_down=43; end_of_data=1
P1,ATR_10_2.0,atr_trail,"ATR=10,M=2.0",1.5,5,20,44,20,24,45.5,2.81,11.61,-4.53,86.74,-12.69,2.08,2.81,623671,10623671,6.24,1.29,1.24,1.38,11.7,atr_trail_stop=44
P1,ATR_10_3.0,atr_trail,"ATR=10,M=3.0",1.5,5,20,44,23,21,52.3,7.75,20.96,-6.73,97.13,-18.4,3.24,7.75,1822790,11822790,18.23,3.59,2.3,1.53,30.5,atr_trail_stop=44
