date,type,symbol,price,reason,return_pct,holdings_count,holdings
2020-03-06,EXIT,SKFINDIA,841.0,ExitReason.ATH_DRAWDOWN,-6.46,,
2020-03-09,EXIT,COLPAL,1264.2,ExitReason.ATH_DRAWDOWN,-5.07,,
2020-03-09,EXIT,IGL,208.85,ExitReason.ATH_DRAWDOWN,17.07,,
2020-03-09,ENTRY,ASIANPAINT,1867.15,,0,,
2020-03-09,ENTRY,PIDILITIND,819.7,,0,,
2020-03-11,EXIT,BATAINDIA,1489.45,ExitReason.ATH_DRAWDOWN,31.55,,
2020-03-11,ENTRY,AKZOINDIA,2478.25,,0,,
2020-03-12,EXIT,ICICIBANK,425.65,ExitReason.ATH_DRAWDOWN,16.36,,
2020-03-12,EXIT,HDFCBANK,510.6,ExitReason.ATH_DRAWDOWN,-5.48,,
2020-03-12,EXIT,GRINDWELL,537.35,ExitReason.ATH_DRAWDOWN,-4.48,,
2020-03-12,EXIT,TCS,1769.85,ExitReason.ATH_DRAWDOWN,-21.78,,
2020-03-12,EXIT,GSPL,209.55,ExitReason.ATH_DRAWDOWN,-1.41,,
2020-03-16,EXIT,MUTHOOTFIN,714.7,ExitReason.ATH_DRAWDOWN,37.99,,
2020-03-16,EXIT,ATUL,4000.5,ExitReason.ATH_DRAWDOWN,-6.74,,
2020-03-16,ENTRY,RATNAMANI,839.75,,0,,
2020-03-17,EXIT,APOLLOHOSP,1426.75,ExitReason.ATH_DRAWDOWN,12.02,,
2020-03-17,EXIT,SHREECEM,20005.5,ExitReason.ATH_DRAWDOWN,-8.09,,
2020-03-18,EXIT,AAVAS,1442.15,ExitReason.ATH_DRAWDOWN,69.73,,
2020-03-18,EXIT,FINEORG,1917.9,ExitReason.ATH_DRAWDOWN,57.4,,
2020-03-18,EXIT,VBL,58.75,ExitReason.ATH_DRAWDOWN,20.96,,
2020-03-18,EXIT,GUJGASLTD,236.6,ExitReason.ATH_DRAWDOWN,2.14,,
2020-03-23,EXIT,ASIANPAINT,1498.45,ExitReason.ATH_DRAWDOWN,-20.25,,
2020-03-23,EXIT,PIDILITIND,635.6,ExitReason.ATH_DRAWDOWN,-22.95,,
2020-03-23,EXIT,AKZOINDIA,1887.7,ExitReason.ATH_DRAWDOWN,-24.31,,
2020-03-23,EXIT,RATNAMANI,599.25,ExitReason.ATH_DRAWDOWN,-29.1,,
2020-05-19,EXIT,HINDUNILVR,1975.55,ExitReason.ATH_DRAWDOWN,9.06,,
2020-05-19,ENTRY,BHARTIARTL,587.75,,0,,
2020-09-14,EXIT,BHARTIARTL,465.35,ExitReason.ATH_DRAWDOWN,-21.32,,
2020-09-14,ENTRY,ADANIGREEN,638.9,,0,,
2021-01-12,EXIT,ADANIGREEN,924.15,ExitReason.ATH_DRAWDOWN,43.87,,
2021-01-12,ENTRY,BRIGADE,274.95,,0,,
2021-01-19,EXIT,ABBOTINDIA,14601.7,ExitReason.ATH_DRAWDOWN,62.9,,
2021-01-29,EXIT,IPCALAB,926.0,ExitReason.ATH_DRAWDOWN,125.74,,
2021-04-23,EXIT,BRIGADE,235.5,ExitReason.ATH_DRAWDOWN,-14.87,,
2021-04-23,ENTRY,AARTIIND,731.4,,0,,
2020-01-03,SNAPSHOT,,,,,20,AAVAS|ABBOTINDIA|APOLLOHOSP|ATUL|BATAINDIA|COLPAL|FINEORG|GRINDWELL|GSPL|GUJGASLTD|HDFCBANK|HINDUNILVR|ICICIBANK|IGL|IPCALAB|MUTHOOTFIN|SHREECEM|SKFINDIA|TCS|VBL
2020-01-10,SNAPSHOT,,,,,20,AAVAS|ABBOTINDIA|APOLLOHOSP|ATUL|BATAINDIA|COLPAL|FINEORG|GRINDWELL|GSPL|GUJGASLTD|HDFCBANK|HINDUNILVR|ICICIBANK|IGL|IPCALAB|MUTHOOTFIN|SHREECEM|SKFINDIA|TCS|VBL
2020-01-17,SNAPSHOT,,,,,20,AAVAS|ABBOTINDIA|APOLLOHOSP|ATUL|BATAINDIA|COLPAL|FINEORG|GRINDWELL|GSPL|GUJGASLTD|HDFCBANK|HINDUNILVR|ICICIBANK|IGL|IPCALAB|MUTHOOTFIN|SHREECEM|SKFINDIA|TCS|VBL
2020-01-24,SNAPSHOT,,,,,20,AAVAS|ABBOTINDIA|APOLLOHOSP|ATUL|BATAINDIA|COLPAL|FINEORG|GRINDWELL|GSPL|GUJGASLTD|HDFCBANK|HINDUNILVR|ICICIBANK|IGL|IPCALAB|MUTHOOTFIN|SHREECEM|SKFINDIA|TCS|VBL
2020-01-31,SNAPSHOT,,,,,20,AAVAS|ABBOTINDIA|APOLLOHOSP|ATUL|BATAINDIA|COLPAL|FINEORG|GRINDWELL|GSPL|GUJGASLTD|HDFCBANK|HINDUNILVR|ICICIBANK|IGL|IPCALAB|MUTHOOTFIN|SHREECEM|SKFINDIA|TCS|VBL
