,mq,kc6,combined
2023-01-02,6900000.0,4000165.407912329,10900165.407912329
2023-01-03,6881503.673527351,4006418.1637823395,10887921.83730969
2023-01-04,6816477.487552319,4007273.2520877225,10823750.739640042
2023-01-05,6860762.147311068,4003401.972853876,10864164.120164944
2023-01-06,6819849.1128097605,4007889.4653959936,10827738.578205753
2023-01-09,6879901.353807192,4008658.101731823,10888559.455539014
2023-01-10,6828392.473903678,4009426.8854773603,10837819.359381039
2023-01-11,6830531.775253905,4010195.816660877,10840727.591914782
2023-01-12,6832480.687863264,4010964.895310648,10843445.583173912
2023-01-13,6856938.711737155,4011130.7566430876,10868069.468380243
2023-01-16,6805190.770999936,4037122.2630032655,10842313.034003202
2023-01-17,6790370.379985892,4039495.7655524276,10829866.145538319
2023-01-18,6840511.000263355,4040270.4633704787,10880781.463633833
2023-01-19,6850450.95183773,4041045.3097607144,10891496.261598444
2023-01-20,6812626.744714414,4041212.414977793,10853839.159692207
2023-01-23,6818830.281212343,4035825.6505581895,10854655.931770533
2023-01-24,6798744.373293345,4006118.1754078353,10804862.54870118
2023-01-25,6739450.445582785,3997273.979706084,10736724.425288869
2023-01-27,6633256.780807833,3961997.937877726,10595254.71868556
2023-01-30,6611562.640339042,3980570.7772770124,10592133.417616054
2023-01-31,6716657.133988609,4046813.608816894,10763470.742805503
2023-02-01,6685141.047883119,3978983.41094448,10664124.4588276
2023-02-02,6720120.772027798,3979147.949779279,10699268.721807078
2023-02-03,6730941.026427858,3978250.073386086,10709191.099813944
2023-02-06,6739144.321212547,3998633.928731667,10737778.249944214
2023-02-07,6734600.762850543,4000997.9293695875,10735598.69222013
2023-02-08,6790854.803644353,4008152.131150563,10799006.934794916
2023-02-09,6781955.613599011,4017955.848151286,10799911.461750297
2023-02-10,6770250.212719546,4018726.415026274,10788976.62774582
2023-02-13,6724426.435126757,4019497.1296812105,10743923.564807968
2023-02-14,6702527.288311026,4019663.3438384184,10722190.632149445
2023-02-15,6726301.443336462,4020226.806848196,10746528.250184657
