date,venue,dte,series_tested,minute_pairs,pct_minutes_oi_changed,median_run_len,p90_run_len,max_run_len,pct_minutes_ltp_changed,pct_minutes_vol_changed
2026-04-20,NIFTY,1,22,2046,34.36,3,3,6,99.36,100.0
2026-04-20,SENSEX,3,22,2024,37.94,3,3,6,99.9,100.0
2026-04-27,NIFTY,1,22,8118,33.09,3,3,6,99.04,100.0
2026-04-27,SENSEX,3,22,8118,36.31,3,3,8,99.63,99.94
2026-04-28,NIFTY,0,22,8140,32.97,3,3,4,92.63,100.0
2026-04-28,SENSEX,2,22,8140,35.66,3,3,11,99.84,99.99
2026-04-29,NIFTY,7,22,8140,33.08,3,3,7,98.67,99.8
2026-04-29,SENSEX,1,22,8140,36.17,3,3,9,99.12,99.8
2026-04-30,NIFTY,6,22,8096,33.31,3,3,7,99.33,100.0
2026-04-30,SENSEX,0,22,8096,36.49,3,3,6,98.53,100.0
2026-05-01,NIFTY,4,22,8140,0.0,371,371,371,0.0,0.0
2026-05-01,SENSEX,6,22,8140,0.0,371,371,371,0.0,0.0
2026-05-04,NIFTY,1,22,8140,33.19,3,3,10,99.39,100.0
2026-05-04,SENSEX,3,22,8140,36.86,3,3,6,99.78,99.99
2026-05-05,NIFTY,0,22,8118,33.28,3,3,6,93.3,100.0
2026-05-05,SENSEX,2,22,8140,36.82,3,3,8,99.78,99.98
2026-05-06,NIFTY,6,22,8140,33.17,3,3,6,99.37,99.99
2026-05-06,SENSEX,1,22,8140,36.87,3,3,8,99.82,100.0
2026-05-07,NIFTY,5,22,8118,33.31,3,3,6,99.27,100.0
2026-05-07,SENSEX,0,22,8096,37.12,3,3,6,98.44,100.0
2026-05-08,NIFTY,4,22,8140,33.17,3,3,6,99.28,100.0
2026-05-08,SENSEX,6,22,8140,36.82,3,3,6,99.79,100.0
2026-05-11,NIFTY,1,22,8140,98.78,1,1,3,99.39,100.0
2026-05-11,SENSEX,3,22,8074,37.11,3,3,6,99.74,100.0
2026-05-12,NIFTY,0,22,8140,97.9,1,1,3,92.99,100.0
2026-05-12,SENSEX,2,22,8140,36.81,3,3,6,99.4,99.72
2026-05-13,NIFTY,6,22,8140,98.3,1,1,3,99.55,99.98
2026-05-13,SENSEX,1,22,8140,36.77,3,3,8,99.9,100.0
2026-05-14,NIFTY,5,22,8140,98.86,1,1,3,99.29,100.0
2026-05-14,SENSEX,0,22,8140,36.79,3,3,5,98.38,100.0
2026-05-15,NIFTY,4,22,8140,98.81,1,1,2,99.56,100.0
2026-05-15,SENSEX,6,22,8074,36.98,3,3,6,99.63,99.85
2026-05-18,NIFTY,1,22,8140,98.87,1,1,3,99.39,99.99
2026-05-18,SENSEX,3,22,8140,36.15,3,3,27,97.36,97.57
2026-05-19,NIFTY,0,22,8118,97.25,1,1,3,92.84,100.0
2026-05-19,SENSEX,2,22,8140,36.86,3,3,6,99.74,99.96
2026-05-20,NIFTY,6,22,8140,96.45,1,1,3,99.5,99.93
