signal,outcome,horizon,n_days,mean_ic,abs_ic,t_stat,sign_stable,pass_g1,pass_bonf,ic_NIFTY,t_NIFTY,n_NIFTY,ic_SENSEX,t_SENSEX,n_SENSEX,ic_NIFTY_2026-04,ic_NIFTY_2026-05,ic_NIFTY_2026-06,ic_NIFTY_2026-07,ic_NIFTY_2026-08,ic_SENSEX_2026-04,ic_SENSEX_2026-05,ic_SENSEX_2026-06,ic_SENSEX_2026-07,ic_SENSEX_2026-08
pcr_oi_all,fret,60,162,-0.4076,0.4076,-21.04,1,1,1,-0.409,-15.46,81,-0.4063,-14.27,81,-0.4556,-0.3275,-0.437,-0.4255,-0.4371,-0.4304,-0.3323,-0.3796,-0.4386,-0.4866
pcr_vol_atm5,fret,60,162,0.3757,0.3757,17.23,1,1,1,0.365,11.79,81,0.3863,12.52,81,0.1773,0.3493,0.3349,0.4646,0.3218,0.2388,0.3154,0.3608,0.5023,0.3726
pcr_oi_all,fret,30,162,-0.3188,0.3188,-22.12,1,1,1,-0.3301,-16.73,81,-0.3076,-14.6,81,-0.3399,-0.2921,-0.2958,-0.3812,-0.3461,-0.325,-0.2609,-0.2595,-0.3666,-0.3411
dist_wall_ce,fret,60,162,0.3041,0.3041,12.48,1,1,1,0.3281,8.87,81,0.2801,8.83,81,0.0303,0.2933,0.3742,0.3018,0.4343,0.3601,0.2617,0.2261,0.295,0.3385
pcr_vol_all,fret,60,162,0.3004,0.3004,11.66,1,1,1,0.3315,9.7,81,0.2694,7.01,81,0.1515,0.3194,0.266,0.4253,0.3435,0.1228,0.1447,0.2334,0.4011,0.3181
pcr_vol_atm5,fret,30,162,0.2936,0.2936,16.1,1,1,1,0.2831,11.0,81,0.3041,11.71,81,0.1156,0.2878,0.2555,0.3575,0.2438,0.1793,0.2511,0.271,0.3997,0.3044
wall_squeeze,fret,60,156,0.284,0.284,10.51,1,1,1,0.3056,8.01,79,0.2617,6.83,77,0.0099,0.228,0.3671,0.3107,0.4037,0.3785,0.2262,0.2529,0.2398,0.3167
atm_iv,fdprem,60,128,-0.2746,0.2746,-8.33,1,1,1,-0.2599,-5.47,64,-0.2892,-6.29,64,-0.3162,-0.2462,-0.1941,-0.3485,-0.2057,-0.3019,-0.2938,-0.2145,-0.4035,-0.2081
mp_dev,fret,60,162,0.2557,0.2557,10.79,0,0,1,0.2338,6.2,81,0.2775,9.68,81,-0.1093,0.302,0.1545,0.2814,0.2804,0.0678,0.263,0.2359,0.3829,0.2466
pcr_oi_atm10,fret,60,162,-0.2469,0.2469,-11.6,1,1,1,-0.2708,-9.0,81,-0.223,-7.41,81,-0.3453,-0.114,-0.3393,-0.2941,-0.3215,-0.3276,-0.0305,-0.2558,-0.2769,-0.3163
dist_wall_ce,fret,30,162,0.2451,0.2451,11.66,1,1,1,0.2486,8.13,81,0.2416,8.31,81,0.0584,0.2434,0.2736,0.1976,0.3565,0.3039,0.187,0.1819,0.2654,0.3485
pcr_oi_all,fret,15,162,-0.2441,0.2441,-22.16,1,1,1,-0.2506,-16.39,81,-0.2376,-14.92,81,-0.2196,-0.2145,-0.2081,-0.3028,-0.2866,-0.2273,-0.1894,-0.1946,-0.2862,-0.2904
pcr_vol_atm5,fret,15,162,0.2391,0.2391,16.02,1,1,1,0.2335,10.93,81,0.2448,11.67,81,0.1426,0.2375,0.2073,0.2915,0.1978,0.1414,0.203,0.2099,0.3166,0.2657
dist_wall_pe,fret,60,162,0.2344,0.2344,7.81,1,1,1,0.2086,4.74,81,0.2602,6.36,81,0.255,0.2586,0.1304,0.214,0.2361,0.4769,0.2685,0.1375,0.3053,0.297
pcr_vol_all,fret,30,162,0.2339,0.2339,11.07,1,1,1,0.2602,8.84,81,0.2076,6.87,81,0.0005,0.2839,0.2157,0.3241,0.2642,0.0283,0.1489,0.1766,0.3049,0.2251
wall_squeeze,fret,30,156,0.2271,0.2271,10.03,1,1,1,0.2371,8.02,79,0.2168,6.27,77,0.0921,0.1882,0.2743,0.1844,0.3811,0.3233,0.1765,0.1812,0.2072,0.301
atm_iv,fdprem,30,128,-0.2026,0.2026,-8.25,1,1,1,-0.1846,-5.14,64,-0.2206,-6.57,64,-0.2306,-0.1904,-0.127,-0.2136,-0.1982,-0.2996,-0.2575,-0.1218,-0.2776,-0.2083
mp_dev,fret,30,162,0.1938,0.1938,10.5,0,0,1,0.17,6.1,81,0.2177,9.03,81,-0.0841,0.1817,0.1409,0.1879,0.2408,0.0554,0.1793,0.1732,0.2898,0.2645
pcr_vol_all,fret,15,162,0.1923,0.1923,11.62,1,1,1,0.2067,8.98,81,0.1778,7.46,81,0.0316,0.2352,0.1681,0.2533,0.1993,0.0246,0.1297,0.1638,0.2501,0.1892
dist_wall_ce,fret,15,162,0.1894,0.1894,11.31,1,1,1,0.1875,7.54,81,0.1913,8.47,81,0.0283,0.1715,0.1857,0.1615,0.3002,0.1945,0.1674,0.1424,0.2012,0.28
dist_wall_pe,fret,30,162,0.1855,0.1855,7.96,1,1,1,0.1767,5.4,81,0.1944,5.82,81,0.2309,0.2157,0.1072,0.1928,0.186,0.38,0.1592,0.0871,0.2647,0.2343
pcr_oi_atm10,fret,30,162,-0.1814,0.1814,-11.42,1,1,1,-0.2097,-9.48,81,-0.153,-6.81,81,-0.2192,-0.1149,-0.1949,-0.2756,-0.2497,-0.2035,-0.0526,-0.1209,-0.247,-0.1687
