label,use_rsi,rsi_period,rsi_ob,rsi_os,use_stoch,stoch_k,stoch_d,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,avg_trades_per_day,exit_reasons
RSI_14_OB75_OS25,True,14,75.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_14_OB65_OS25,True,14,65.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
BASELINE,False,,,,False,,,37,48.65,-2492.84,-0.25,0.97,3.7,-0.07,0.09,"{""EOD"": 32, ""SUPERTREND_FLIP"": 2, ""SL"": 3}"
RSI_21_OB65_OS35,True,21,65.0,35.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_7_OB65_OS35,True,7,65.0,35.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_7_OB70_OS30,True,7,70.0,30.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_21_OB70_OS30,True,21,70.0,30.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_7_OB75_OS25,True,7,75.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_21_OB75_OS25,True,21,75.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_7_OB70_OS25,True,7,70.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_21_OB70_OS25,True,21,70.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_7_OB70_OS25,True,7,70.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_14_OB65_OS35,True,14,65.0,35.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
STOCH_K5_D3,False,,,,True,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_14_OB65_OS35,True,14,65.0,35.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_14_OB70_OS30,True,14,70.0,30.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_14_OB70_OS30,True,14,70.0,30.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
STOCH_K5_D5,False,,,,True,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_14_OB75_OS25,True,14,75.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_21_OB70_OS25,True,21,70.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
STOCH_K14_D3,False,,,,True,14,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
STOCH_K14_D3,False,,,,True,14,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
RSI_14_OB65_OS25,True,14,65.0,25.0,False,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
STOCH_K5_D3,False,,,,True,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
STOCH_K14_D5,False,,,,True,14,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
STOCH_K14_D5,False,,,,True,14,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{}
