label,period,n_symbols,narrow_cpr_pct,proximity_pct,max_wick_pct,st_period,st_mult,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,sortino,avg_trades_per_day,avg_holding_min,days_with_trades,total_trading_days,exit_reasons
CPR0.5_PROX2.0_WICK25_ST7_M4.0,2024-01-01 to 2025-10-27,79,0.5,2.0,25.0,7,4.0,22,59.1,20546,2.05,1.34,3.45,0.36,0.11,0.05,267.0,20,445,"{""EOD"": 17, ""SL"": 3, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK25_ST5_M4.0,2024-01-01 to 2025-10-27,79,0.5,2.0,25.0,5,4.0,25,52.0,16538.0,1.65,1.2582,3.4591,0.2878,0.0945,0.0562,245.4,23,445,"{""EOD"": 20, ""SL"": 3, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK25_ST7_M3.5,2024-01-01 to 2025-10-27,79,0.5,2.0,25.0,7,3.5,30,53.33,47507.0,4.75,1.6681,4.1773,0.7545,0.2939,0.0674,241.7,28,445,"{""EOD"": 25, ""SL"": 3, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK25_ST7_M3.5,2024-01-01 to 2025-10-27,79,0.5,2.0,25.0,7,3.5,30,53.33,47507.0,4.75,1.6681,4.1773,0.7545,0.2939,0.0674,241.7,28,445,"{""EOD"": 25, ""SL"": 3, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK25_ST5_M3.5,2024-01-01 to 2025-10-27,79,0.5,2.0,25.0,5,3.5,35,54.29,31945.0,3.19,1.3975,4.002,0.5058,0.2075,0.0787,238.4,31,445,"{""EOD"": 30, ""SL"": 3, ""TARGET"": 2}"
CPR0.5_PROX1.5_WICK25_ST7_M4.0,2024-01-01 to 2025-10-27,79,0.5,1.5,25.0,7,4.0,20,55.0,17717.0,1.77,1.2934,3.6357,0.3093,0.0991,0.0449,257.2,18,445,"{""EOD"": 15, ""SL"": 3, ""TARGET"": 2}"
CPR0.5_PROX3.0_WICK25_ST7_M4.0,2024-01-01 to 2025-10-27,79,0.5,3.0,25.0,7,4.0,24,62.5,43049.0,4.3,1.713,2.2417,0.7214,0.2299,0.0539,274.2,21,445,"{""EOD"": 18, ""SL"": 3, ""TARGET"": 3}"
CPR0.5_PROX2.0_WICK40_ST7_M4.0,2024-01-01 to 2025-10-27,79,0.5,2.0,40.0,7,4.0,33,45.45,-17609.0,-1.76,0.8495,8.1634,-0.2588,-0.111,0.0742,243.6,31,445,"{""EOD"": 24, ""SL"": 6, ""CPR_BREACH"": 1, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK50_ST7_M4.0,2024-01-01 to 2025-10-27,79,0.5,2.0,50.0,7,4.0,37,48.65,-14374.0,-1.44,0.8772,7.9846,-0.211,-0.0893,0.0831,228.9,35,445,"{""EOD"": 28, ""SL"": 6, ""CPR_BREACH"": 1, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK60_ST7_M4.0,2024-01-01 to 2025-10-27,79,0.5,2.0,60.0,7,4.0,42,45.24,-36782.0,-3.68,0.7373,8.599,-0.5157,-0.2318,0.0944,233.6,39,445,"{""EOD"": 33, ""SL"": 6, ""CPR_BREACH"": 1, ""TARGET"": 2}"
CPR1.0_PROX2.0_WICK30_ST7_M4.0,2024-01-01 to 2025-10-27,79,1.0,2.0,30.0,7,4.0,45,51.11,-24775.0,-2.48,0.8437,7.208,-0.2951,-0.1129,0.1011,260.8,37,445,"{""EOD"": 35, ""SL"": 8, ""TARGET"": 2}"
CPR1.0_PROX2.0_WICK30_ST7_M3.5,2024-01-01 to 2025-10-27,79,1.0,2.0,30.0,7,3.5,63,41.27,-43318.0,-4.33,0.7987,10.4221,-0.4856,-0.2307,0.1416,263.3,53,445,"{""EOD"": 51, ""SL"": 10, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK30_ST7_M4.0,2024-01-01 to 2025-10-27,79,0.5,2.0,30.0,7,4.0,25,56.0,15171.0,1.52,1.1965,4.8778,0.2437,0.088,0.0562,257.8,23,445,"{""EOD"": 19, ""SL"": 4, ""TARGET"": 2}"
CPR0.5_PROX2.0_WICK30_ST10_M4.0,2024-01-01 to 2025-10-27,79,0.5,2.0,30.0,10,4.0,26,57.69,33979.0,3.4,1.4437,5.4804,0.4981,0.1965,0.0584,252.1,23,445,"{""EOD"": 20, ""SL"": 4, ""TARGET"": 2}"
