venue,day,expiry,dte_cal,arm,start,dur,end,clamped,strike,spot0,credit,exit_hm,exit_comb,reason,gross,net,mae_full_rs,mae_exit_rs,und_exc_pts,und_exc_bp
NIFTY,2026-05-08,2026-05-12,4,SL20,09:20,45,10:05,0,24200,24219.3,327.95,10:05,332.25,TIME,-280,-530,955,955,74.1,30.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:20,60,10:20,0,24200,24219.3,327.95,10:20,329.0,TIME,-68,-318,955,955,74.1,30.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:20,90,10:50,0,24200,24219.3,327.95,10:50,326.25,TIME,110,-140,955,955,74.1,30.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:20,120,11:20,0,24200,24219.3,327.95,11:20,320.95,TIME,455,205,955,955,74.1,30.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:20,HOLD,15:20,0,24200,24219.3,327.95,15:20,292.55,TIME,2301,2051,955,955,87.0,35.9
NIFTY,2026-05-08,2026-05-12,4,SL20,09:35,45,10:20,0,24200,24207.15,333.75,10:20,329.0,TIME,309,59,228,228,62.0,25.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:35,60,10:35,0,24200,24207.15,333.75,10:35,327.65,TIME,397,147,228,228,62.0,25.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:35,90,11:05,0,24200,24207.15,333.75,11:05,324.75,TIME,585,335,228,228,62.0,25.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:35,120,11:35,0,24200,24207.15,333.75,11:35,320.55,TIME,858,608,228,228,62.0,25.6
NIFTY,2026-05-08,2026-05-12,4,SL20,09:35,HOLD,15:20,0,24200,24207.15,333.75,15:20,292.55,TIME,2678,2428,228,228,74.9,30.9
NIFTY,2026-05-08,2026-05-12,4,SL20,09:50,45,10:35,0,24150,24168.55,337.0,10:35,336.25,TIME,49,-201,231,231,72.5,30.0
NIFTY,2026-05-08,2026-05-12,4,SL20,09:50,60,10:50,0,24150,24168.55,337.0,10:50,334.0,TIME,195,-55,244,244,72.5,30.0
NIFTY,2026-05-08,2026-05-12,4,SL20,09:50,90,11:20,0,24150,24168.55,337.0,11:20,327.2,TIME,637,387,244,244,72.5,30.0
NIFTY,2026-05-08,2026-05-12,4,SL20,09:50,120,11:50,0,24150,24168.55,337.0,11:50,322.25,TIME,959,709,244,244,72.5,30.0
NIFTY,2026-05-08,2026-05-12,4,SL20,09:50,HOLD,15:20,0,24150,24168.55,337.0,15:20,298.3,TIME,2516,2266,244,244,72.5,30.0
NIFTY,2026-05-08,2026-05-12,4,SL20,10:05,45,10:50,0,24200,24194.25,332.25,10:50,326.25,TIME,390,140,0,0,46.8,19.4
NIFTY,2026-05-08,2026-05-12,4,SL20,10:05,60,11:05,0,24200,24194.25,332.25,11:05,324.75,TIME,488,238,0,0,46.8,19.4
NIFTY,2026-05-08,2026-05-12,4,SL20,10:05,90,11:35,0,24200,24194.25,332.25,11:35,320.55,TIME,760,510,0,0,46.8,19.4
NIFTY,2026-05-08,2026-05-12,4,SL20,10:05,120,12:05,0,24200,24194.25,332.25,12:05,316.6,TIME,1017,767,0,0,46.8,19.4
NIFTY,2026-05-08,2026-05-12,4,SL20,10:05,HOLD,15:20,0,24200,24194.25,332.25,15:20,292.55,TIME,2581,2331,0,0,62.0,25.6
NIFTY,2026-05-08,2026-05-12,4,SL20,10:20,45,11:05,0,24200,24206.8,329.0,11:05,324.75,TIME,276,26,176,176,34.3,14.2
NIFTY,2026-05-08,2026-05-12,4,SL20,10:20,60,11:20,0,24200,24206.8,329.0,11:20,320.95,TIME,523,273,176,176,34.3,14.2
NIFTY,2026-05-08,2026-05-12,4,SL20,10:20,90,11:50,0,24200,24206.8,329.0,11:50,317.95,TIME,718,468,176,176,34.3,14.2
NIFTY,2026-05-08,2026-05-12,4,SL20,10:20,120,12:20,0,24200,24206.8,329.0,12:20,317.0,TIME,780,530,176,176,34.3,14.2
NIFTY,2026-05-08,2026-05-12,4,SL20,10:20,HOLD,15:20,0,24200,24206.8,329.0,15:20,292.55,TIME,2369,2119,176,176,74.5,30.8
NIFTY,2026-05-08,2026-05-12,4,SL20,10:35,45,11:20,0,24250,24232.3,324.55,11:20,320.6,TIME,257,7,198,198,36.3,15.0
NIFTY,2026-05-08,2026-05-12,4,SL20,10:35,60,11:35,0,24250,24232.3,324.55,11:35,321.0,TIME,231,-19,198,198,45.8,18.9
NIFTY,2026-05-08,2026-05-12,4,SL20,10:35,90,12:05,0,24250,24232.3,324.55,12:05,316.35,TIME,533,283,198,198,45.8,18.9
NIFTY,2026-05-08,2026-05-12,4,SL20,10:35,120,12:35,0,24250,24232.3,324.55,12:35,320.45,TIME,267,17,198,198,61.5,25.4
NIFTY,2026-05-08,2026-05-12,4,SL20,10:35,HOLD,15:20,0,24250,24232.3,324.55,15:20,292.95,TIME,2054,1804,260,260,100.0,41.3
NIFTY,2026-05-08,2026-05-12,4,SL20,10:50,45,11:35,0,24200,24222.4,326.25,11:35,320.55,TIME,370,120,188,188,35.9,14.8
NIFTY,2026-05-08,2026-05-12,4,SL20,10:50,60,11:50,0,24200,24222.4,326.25,11:50,317.95,TIME,539,289,188,188,35.9,14.8
