cell,signal,side,n,skipped,total_all,total_kept,pnl_retained_pct,median_all,median_kept,worst_all,worst_kept,rand_total_mean,rand_total_pctile,rand_worst_mean,rand_worst_pctile
FRI_NIFTY_DTE2,cpr_today,skip_high,14,4,55920,29850,53.4,3575,2990,-3440,-3440,39942,2.4,-2032,71.4
FRI_NIFTY_DTE2,cpr_today,skip_low,14,4,55920,40220,71.9,3575,4080,-3440,-3440,39942,53.5,-2032,71.4
FRI_NIFTY_DTE2,cpr_prev,skip_high,14,4,55920,26640,47.6,3575,2880,-3440,-3440,39942,0.3,-2032,71.4
FRI_NIFTY_DTE2,cpr_prev,skip_low,14,4,55920,50870,91.0,3575,5330,-3440,1300,39942,97.6,-2032,93.4
FRI_NIFTY_DTE2,wcpr_this,skip_high,14,4,55920,41810,74.8,3575,4535,-3440,-3440,39942,64.3,-2032,71.4
FRI_NIFTY_DTE2,wcpr_this,skip_low,14,4,55920,40250,72.0,3575,3950,-3440,-3440,39942,53.9,-2032,71.4
FRI_NIFTY_DTE2,wcpr_prev,skip_high,14,4,55920,38270,68.4,3575,3010,-3440,-3440,39942,40.1,-2032,71.4
FRI_NIFTY_DTE2,wcpr_prev,skip_low,14,4,55920,31870,57.0,3575,3010,-3440,-3440,39942,6.1,-2032,71.4
FRI_NIFTY_DTE2,gap_abs,skip_high,14,4,55920,43600,78.0,3575,4825,-3440,-3440,39942,74.9,-2032,71.4
FRI_NIFTY_DTE2,gap_abs,skip_low,14,4,55920,37030,66.2,3575,2990,-3440,-3440,39942,31.5,-2032,71.4
FRI_NIFTY_DTE2,gap_pct,skip_high,14,4,55920,30210,54.0,3575,2880,-3440,-3440,39942,3.0,-2032,71.4
FRI_NIFTY_DTE2,gap_pct,skip_low,14,4,55920,43180,77.2,3575,4535,-3440,-3440,39942,72.7,-2032,71.4
FRI_NIFTY_DTE2,pdr_pct,skip_high,14,4,55920,34040,60.9,3575,2990,-3440,-3440,39942,14.1,-2032,71.4
FRI_NIFTY_DTE2,pdr_pct,skip_low,14,4,55920,39960,71.5,3575,3970,-3440,-3440,39942,51.9,-2032,71.4
FRI_NIFTY_DTE2,pdr_rel,skip_high,14,4,55920,33130,59.2,3575,2990,-3440,-3440,39942,10.5,-2032,71.4
FRI_NIFTY_DTE2,pdr_rel,skip_low,14,4,55920,42690,76.3,3575,4535,-3440,-3440,39942,70.1,-2032,71.4
FRI_NIFTY_DTE2,atr14_pct,skip_high,14,4,55920,37780,67.6,3575,3575,-3440,-3440,39942,36.7,-2032,71.4
FRI_NIFTY_DTE2,atr14_pct,skip_low,14,4,55920,50840,90.9,3575,5330,-3440,1300,39942,97.5,-2032,93.4
FRI_NIFTY_DTE2,vix_open,skip_high,14,4,55920,32970,59.0,3575,2990,-3440,-3440,39942,9.7,-2032,71.4
FRI_NIFTY_DTE2,vix_open,skip_low,14,4,55920,44280,79.2,3575,5330,-3440,-3440,39942,78.3,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_oc_pct,skip_high,14,4,55920,34950,62.5,3575,2990,-3440,-3440,39942,18.2,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_oc_pct,skip_low,14,4,55920,34950,62.5,3575,2990,-3440,-3440,39942,18.2,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_oc_pts,skip_high,14,4,55920,34950,62.5,3575,2990,-3440,-3440,39942,18.2,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_oc_pts,skip_low,14,4,55920,34950,62.5,3575,2990,-3440,-3440,39942,18.2,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_cc_pct,skip_high,14,4,55920,39890,71.3,3575,3575,-3440,-3440,39942,51.6,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_cc_pct,skip_low,14,4,55920,34330,61.4,3575,3445,-3440,-3440,39942,15.3,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_cc_pts,skip_high,14,4,55920,39890,71.3,3575,3575,-3440,-3440,39942,51.6,-2032,71.4
FRI_NIFTY_DTE2,vix_chg_cc_pts,skip_low,14,4,55920,34330,61.4,3575,3445,-3440,-3440,39942,15.3,-2032,71.4
FRI_NIFTY_DTE2,pre_move_bp,skip_high,14,4,55920,41610,74.4,3575,3575,-3440,1300,39942,63.0,-2032,93.4
FRI_NIFTY_DTE2,pre_move_bp,skip_low,14,4,55920,42460,75.9,3575,4080,-3440,-3440,39942,68.4,-2032,71.4
FRI_NIFTY_DTE2,pre_range_bp,skip_high,14,4,55920,48560,86.8,3575,4825,-3440,1300,39942,93.2,-2032,93.4
FRI_NIFTY_DTE2,pre_range_bp,skip_low,14,4,55920,39800,71.2,3575,4080,-3440,-3440,39942,51.1,-2032,71.4
FRI_NIFTY_DTE2,pcr_oi_all,skip_high,14,4,55920,44110,78.9,3575,4535,-3440,1300,39942,77.4,-2032,93.4
FRI_NIFTY_DTE2,pcr_oi_all,skip_low,14,4,55920,41390,74.0,3575,4080,-3440,-3440,39942,61.7,-2032,71.4
FRI_NIFTY_DTE2,pcr_oi_atm,skip_high,14,4,55920,51130,91.4,3575,5330,-3440,1300,39942,98.1,-2032,93.4
FRI_NIFTY_DTE2,pcr_oi_atm,skip_low,14,4,55920,40640,72.7,3575,3575,-3440,-3440,39942,56.4,-2032,71.4
FRI_NIFTY_DTE2,pcr_vol_all,skip_high,14,4,55920,34400,61.5,3575,2880,-3440,-3440,39942,15.8,-2032,71.4
FRI_NIFTY_DTE2,pcr_vol_all,skip_low,14,4,55920,41610,74.4,3575,3575,-3440,1300,39942,63.0,-2032,93.4
FRI_NIFTY_DTE2,oi_atm_share,skip_high,14,4,55920,50840,90.9,3575,5330,-3440,1300,39942,97.5,-2032,93.4
FRI_NIFTY_DTE2,oi_atm_share,skip_low,14,4,55920,38430,68.7,3575,3575,-3440,-3440,39942,41.1,-2032,71.4
FRI_NIFTY_DTE2,dist_ce_wall_bp,skip_high,14,4,55920,29400,52.6,3575,3010,-3440,-3440,39942,1.8,-2032,71.4
