deployed_name,venue,dte,cell,start,end,arm,n_opt,n_px,n_px_ex2122,credit_p25,credit_med,credit_p75,med_net_10L,mean_net_10L,win_pct,worst_opt_10L,b_slope,b_src,sl_cap_rs_10L,exc_p90_bp,exc_p95_bp,exc_p99_bp,exc_max_bp,adv_p90_10L_c25,adv_p90_10L_cmed,adv_p90_10L_c75,adv_p95_10L_cmed,adv_p99_10L_cmed,adv_max_10L_cmed,adv_p90_capped,adv_p95_capped,p_loss_opt,p_loss_model,p_sl20_hit,p_sl_deployed_hit,rr_p90,rr_p95,exc_p95_ex2122,exc_p99_ex2122,be_term_bp
,NIFTY,0,DEP_0930_1100,09:30,11:00,NOSTOP,17,358,163,89.7,114.3,127.1,12720,11711,94.1,-1970,0.002005,cell(n=9),,68.7,81.1,120.9,306.0,10532,12739,13881,14587,20519,48106,12739,14587,5.9,22.1,2.8,,0.999,0.872,78.3,86.0,36.3
,NIFTY,0,DEP_0930_1100,09:30,11:00,SL20,17,358,163,89.7,114.3,127.1,10470,7662,88.2,-33310,0.002005,cell(n=9),17366,68.7,81.1,120.9,306.0,10532,12739,13881,14587,20519,48106,12739,14587,11.8,15.9,2.8,2.8,0.822,0.718,78.3,86.0,43.6
TUE_NIFTY_DTE0,NIFTY,0,DEP_0930_1100,09:30,11:00,SL25,17,358,163,89.7,114.3,127.1,10470,8765,88.2,-33310,0.002005,cell(n=9),21082,68.7,81.1,120.9,306.0,10532,12739,13881,14587,20519,48106,12739,14587,11.8,15.6,2.8,1.1,0.822,0.718,78.3,86.0,43.6
,NIFTY,0,DEP_1000_1200,10:00,12:00,NOSTOP,18,358,163,81.1,100.6,114.0,8710,-1507,61.1,-63670,0.007789,cell(n=15),,69.6,86.3,140.8,545.6,31077,37939,42687,46442,74193,280309,37939,46442,38.9,48.9,64.5,,0.23,0.188,66.9,108.1,17.9
,NIFTY,0,DEP_1000_1200,10:00,12:00,SL20,18,358,163,81.1,100.6,114.0,4095,-2309,55.6,-29380,0.007789,cell(n=15),15575,69.6,86.3,140.8,545.6,31077,37939,42687,46442,74193,280309,15575,15575,44.4,66.8,64.5,64.5,0.263,0.263,66.9,108.1,19.0
,NIFTY,0,DEP_1000_1200,10:00,12:00,SL25,18,358,163,81.1,100.6,114.0,8710,-1379,61.1,-31800,0.007789,cell(n=15),18843,69.6,86.3,140.8,545.6,31077,37939,42687,46442,74193,280309,18843,18843,38.9,57.3,64.5,49.7,0.462,0.462,66.9,108.1,19.7
,NIFTY,0,DEP_1030_1200,10:30,12:00,NOSTOP,18,358,163,75.5,91.0,106.2,5070,562,72.2,-43490,0.005201,cell(n=12),,58.9,70.6,139.4,496.5,17523,20624,23656,24224,45395,155279,20624,24224,27.8,41.9,27.7,,0.246,0.209,61.3,77.9,18.0
,NIFTY,0,DEP_1030_1200,10:30,12:00,SL20,18,358,163,75.5,91.0,106.2,5070,-1688,66.7,-28060,0.005201,cell(n=12),14333,58.9,70.6,139.4,496.5,17523,20624,23656,24224,45395,155279,14333,14333,33.3,48.3,27.7,27.7,0.354,0.354,61.3,77.9,16.9
,NIFTY,0,DEP_1030_1200,10:30,12:00,SL25,18,358,163,75.5,91.0,106.2,5070,-1688,66.7,-28060,0.005201,cell(n=12),17292,58.9,70.6,139.4,496.5,17523,20624,23656,24224,45395,155279,17292,17292,33.3,46.9,27.7,19.3,0.293,0.293,61.3,77.9,16.9
,NIFTY,0,DEP_1300_1400,13:00,14:00,NOSTOP,18,357,162,57.2,71.0,79.5,5640,3530,77.8,-11960,0.008927,pooled(n=576),,54.9,71.9,122.2,276.7,20721,25126,27825,32132,52861,116534,25126,32132,22.2,44.0,55.2,,0.224,0.176,57.8,74.6,14.8
