scope,weekday,wallclock,n,median,p25,p10,pct_ge_4k,pct_gt_0
AGG_BOOK,Mon,09:36,17,3708,-36,-1037,47,71
AGG_BOOK,Mon,09:41,17,4248,972,-857,53,82
AGG_BOOK,Mon,09:46,17,5340,1284,-2378,59,82
AGG_BOOK,Mon,09:51,17,6048,1854,-2306,71,88
AGG_BOOK,Mon,09:56,17,5028,1680,-1303,65,88
AGG_BOOK,Mon,10:01,17,6396,2928,-3406,65,82
AGG_BOOK,Mon,10:06,17,7740,3276,-749,71,88
AGG_BOOK,Mon,10:11,17,7488,2064,-715,65,88
AGG_BOOK,Mon,10:16,17,6360,3936,-293,71,88
AGG_BOOK,Mon,10:21,17,6156,3084,-468,59,88
AGG_BOOK,Tue,09:36,16,-1334,-10946,-15256,19,44
AGG_BOOK,Tue,09:41,16,986,-6015,-14504,38,56
AGG_BOOK,Tue,09:46,16,1647,-4173,-13470,44,56
AGG_BOOK,Tue,09:51,16,4959,-2359,-13058,56,62
AGG_BOOK,Tue,09:56,16,5234,-216,-11736,69,75
AGG_BOOK,Tue,10:01,16,7452,-45,-10174,62,75
AGG_BOOK,Tue,10:06,16,9750,-2702,-7266,69,69
AGG_BOOK,Tue,10:11,16,6720,-1378,-8186,62,69
AGG_BOOK,Tue,10:16,16,10243,-634,-4482,62,69
AGG_BOOK,Tue,10:21,16,9544,745,-3096,62,75
AGG_BOOK,Wed,09:36,17,-2592,-5964,-11312,12,41
AGG_BOOK,Wed,09:41,17,-1737,-5886,-12520,12,47
AGG_BOOK,Wed,09:46,17,-1488,-5874,-10850,24,41
AGG_BOOK,Wed,09:51,17,-1644,-4188,-10806,24,47
AGG_BOOK,Wed,09:56,17,-2562,-7368,-9877,18,41
AGG_BOOK,Wed,10:01,17,-156,-10716,-11826,18,41
AGG_BOOK,Wed,10:06,17,-969,-9504,-11627,24,47
AGG_BOOK,Wed,10:11,17,-420,-8376,-12451,24,41
AGG_BOOK,Wed,10:16,17,378,-7590,-12043,24,53
AGG_BOOK,Wed,10:21,17,-1875,-8352,-14430,24,47
AGG_BOOK,Thu,09:36,16,1223,-3503,-7748,38,62
AGG_BOOK,Thu,09:41,16,3290,-3650,-7926,50,56
AGG_BOOK,Thu,09:46,16,5150,-4134,-9450,50,56
AGG_BOOK,Thu,09:51,16,4627,-3011,-10634,56,56
AGG_BOOK,Thu,09:56,16,5583,-5456,-14652,50,62
AGG_BOOK,Thu,10:01,16,8260,-4733,-19442,56,62
AGG_BOOK,Thu,10:06,16,8148,-1362,-24856,62,62
AGG_BOOK,Thu,10:11,16,10206,-2412,-27967,62,69
AGG_BOOK,Thu,10:16,16,11019,-2000,-26552,62,69
AGG_BOOK,Thu,10:21,16,9820,-658,-32618,56,69
AGG_BOOK,Fri,09:36,15,-3312,-6333,-9552,0,20
AGG_BOOK,Fri,09:41,15,-2808,-5598,-6587,0,13
AGG_BOOK,Fri,09:46,15,-3294,-7293,-10721,7,20
AGG_BOOK,Fri,09:51,15,-4560,-6735,-10798,7,20
AGG_BOOK,Fri,09:56,15,-4404,-7770,-12030,13,13
AGG_BOOK,Fri,10:01,15,-5800,-7575,-11714,13,13
AGG_BOOK,Fri,10:06,15,-5292,-7543,-10832,20,27
AGG_BOOK,Fri,10:11,15,-5040,-9385,-12435,13,27
AGG_BOOK,Fri,10:16,15,-4900,-9109,-11826,20,33
AGG_BOOK,Fri,10:21,15,-2828,-9064,-12588,33,40
CSL30F_S_WED|lots3,,09:36,17,-183,-1491,-4635,0,47
