venue,entry,T,dte_scope,n_px,exc_p90,exc_p95,exc_p99,b_slope,credit_med,tail_p95_rs_lot,tail_p99_rs_lot,p_csl20_hit,p_csl25_hit
NIFTY,09:16,20,ALL,2753,42.2,54.9,91.4,0.00094,253.3,1101,1667,0.2,0.1
NIFTY,09:16,20,LIVEDTE,1065,41.9,53.7,97.9,0.00094,253.3,1081,1766,0.3,0.2
NIFTY,09:16,25,ALL,2753,47.0,58.6,104.1,0.00094,253.3,1159,1864,0.2,0.1
NIFTY,09:16,25,LIVEDTE,1065,48.9,58.6,114.9,0.00094,253.3,1158,2030,0.4,0.3
NIFTY,09:16,30,ALL,2753,50.2,63.3,108.7,0.00094,253.3,1230,1935,0.2,0.1
NIFTY,09:16,30,LIVEDTE,1065,50.9,65.0,116.4,0.00094,253.3,1257,2053,0.4,0.3
NIFTY,09:16,35,ALL,2753,51.9,66.1,109.6,0.00094,253.3,1274,1949,0.3,0.2
NIFTY,09:16,35,LIVEDTE,1065,52.7,67.6,122.7,0.00094,253.3,1297,2151,0.5,0.3
NIFTY,09:16,40,ALL,2753,54.9,69.2,117.1,0.00094,253.3,1323,2064,0.3,0.2
NIFTY,09:16,40,LIVEDTE,1065,55.6,71.3,125.8,0.00094,253.3,1355,2200,0.5,0.4
NIFTY,09:16,45,ALL,2753,56.9,71.5,123.1,0.00094,253.3,1358,2157,0.3,0.2
NIFTY,09:16,45,LIVEDTE,1065,58.6,73.5,128.1,0.00094,253.3,1388,2235,0.5,0.4
NIFTY,09:16,50,ALL,2753,59.8,72.6,131.4,0.00094,253.3,1375,2285,0.4,0.2
NIFTY,09:16,50,LIVEDTE,1065,60.6,76.0,141.2,0.00094,253.3,1427,2437,0.6,0.4
NIFTY,09:16,55,ALL,2753,61.3,75.8,131.4,0.00094,253.3,1424,2285,0.4,0.2
NIFTY,09:16,55,LIVEDTE,1065,62.4,77.9,141.2,0.00094,253.3,1457,2437,0.6,0.4
NIFTY,09:16,60,ALL,2753,63.0,77.6,131.4,0.00094,253.3,1452,2285,0.4,0.3
NIFTY,09:16,60,LIVEDTE,1065,64.6,81.4,141.4,0.00094,253.3,1512,2440,0.6,0.4
NIFTY,09:16,65,ALL,2753,64.8,79.4,131.4,0.00094,253.3,1480,2285,0.4,0.3
NIFTY,09:16,65,LIVEDTE,1065,66.1,82.9,141.4,0.00094,253.3,1535,2440,0.6,0.4
NIFTY,09:30,20,ALL,2754,38.9,49.0,77.2,0.00067,256.3,801,1117,0.0,0.0
NIFTY,09:30,20,LIVEDTE,358,37.3,44.5,68.4,0.00067,256.3,750,1018,0.0,0.0
NIFTY,09:30,25,ALL,2754,41.8,52.9,87.0,0.00067,256.3,844,1227,0.0,0.0
NIFTY,09:30,25,LIVEDTE,358,41.6,49.3,72.9,0.00067,256.3,803,1069,0.0,0.0
NIFTY,09:30,30,ALL,2754,45.1,56.8,102.7,0.00067,256.3,888,1404,0.0,0.0
NIFTY,09:30,30,LIVEDTE,358,44.5,54.9,80.7,0.00067,256.3,866,1156,0.0,0.0
NIFTY,09:30,35,ALL,2754,47.9,60.1,107.3,0.00067,256.3,925,1454,0.0,0.0
NIFTY,09:30,35,LIVEDTE,358,48.6,58.3,85.1,0.00067,256.3,905,1206,0.0,0.0
NIFTY,09:30,40,ALL,2754,49.8,62.5,109.4,0.00067,256.3,952,1478,0.0,0.0
NIFTY,09:30,40,LIVEDTE,358,50.4,60.2,94.9,0.00067,256.3,926,1316,0.0,0.0
NIFTY,09:30,45,ALL,2754,52.8,66.4,118.6,0.00067,256.3,996,1582,0.0,0.0
NIFTY,09:30,45,LIVEDTE,358,52.1,63.2,94.9,0.00067,256.3,960,1316,0.0,0.0
NIFTY,09:30,50,ALL,2754,55.5,68.6,118.6,0.00067,256.3,1020,1582,0.1,0.1
NIFTY,09:30,50,LIVEDTE,358,54.0,63.5,94.9,0.00067,256.3,963,1316,0.3,0.0
NIFTY,09:30,55,ALL,2754,57.5,71.9,119.7,0.00067,256.3,1058,1595,0.1,0.1
NIFTY,09:30,55,LIVEDTE,358,56.6,67.9,94.9,0.00067,256.3,1012,1316,0.3,0.0
NIFTY,09:30,60,ALL,2754,59.8,74.2,121.7,0.00067,256.3,1083,1617,0.1,0.1
NIFTY,09:30,60,LIVEDTE,358,59.5,71.3,98.7,0.00067,256.3,1051,1358,0.3,0.0
NIFTY,09:30,65,ALL,2754,62.1,76.8,123.7,0.00067,256.3,1113,1639,0.1,0.1
NIFTY,09:30,65,LIVEDTE,358,60.3,71.7,101.8,0.00067,256.3,1055,1394,0.3,0.0
NIFTY,10:00,20,ALL,2754,32.0,40.8,63.3,0.00094,247.1,869,1210,0.1,0.0
NIFTY,10:00,20,LIVEDTE,354,33.1,49.7,61.0,0.00094,247.1,1004,1176,0.0,0.0
NIFTY,10:00,25,ALL,2754,34.4,43.9,70.2,0.00094,247.1,916,1315,0.1,0.0
NIFTY,10:00,25,LIVEDTE,354,36.3,51.4,83.8,0.00094,247.1,1030,1520,0.0,0.0
NIFTY,10:00,30,ALL,2754,38.3,47.4,75.2,0.00094,247.1,969,1390,0.1,0.0
NIFTY,10:00,30,LIVEDTE,354,41.8,52.5,89.4,0.00094,247.1,1046,1606,0.0,0.0
NIFTY,10:00,35,ALL,2754,41.1,52.3,83.6,0.00094,247.1,1044,1518,0.1,0.0
NIFTY,10:00,35,LIVEDTE,354,46.0,56.0,89.6,0.00094,247.1,1099,1609,0.0,0.0
NIFTY,10:00,40,ALL,2754,43.8,55.1,92.0,0.00094,247.1,1085,1645,0.1,0.1
NIFTY,10:00,40,LIVEDTE,354,48.8,56.4,96.4,0.00094,247.1,1106,1711,0.0,0.0
NIFTY,10:00,45,ALL,2754,46.2,61.1,96.0,0.00094,247.1,1177,1707,0.1,0.1
NIFTY,10:00,45,LIVEDTE,354,50.8,64.0,96.4,0.00094,247.1,1221,1711,0.0,0.0
NIFTY,10:00,50,ALL,2754,47.9,62.9,101.7,0.00094,247.1,1203,1792,0.2,0.1
NIFTY,10:00,50,LIVEDTE,354,51.6,67.5,99.4,0.00094,247.1,1274,1757,0.0,0.0
NIFTY,10:00,55,ALL,2754,49.8,65.6,108.3,0.00094,247.1,1244,1892,0.2,0.1
NIFTY,10:00,55,LIVEDTE,354,52.7,70.1,102.3,0.00094,247.1,1313,1801,0.0,0.0
NIFTY,10:00,60,ALL,2754,51.6,68.3,114.4,0.00094,247.1,1286,1986,0.2,0.1
NIFTY,10:00,60,LIVEDTE,354,54.0,72.4,103.9,0.00094,247.1,1348,1825,0.0,0.0
NIFTY,10:00,65,ALL,2754,52.7,70.4,114.7,0.00094,247.1,1317,1990,0.3,0.2
NIFTY,10:00,65,LIVEDTE,354,56.4,73.1,103.9,0.00094,247.1,1358,1825,0.0,0.0
SENSEX,09:16,20,ALL,1353,45.5,56.3,82.8,0.00099,759.4,1047,1445,0.1,0.0
SENSEX,09:16,20,LIVEDTE,246,40.5,46.8,58.1,0.00099,759.4,905,1073,0.0,0.0
SENSEX,09:16,25,ALL,1353,48.3,60.8,91.5,0.00099,759.4,1114,1577,0.1,0.0
SENSEX,09:16,25,LIVEDTE,246,43.7,51.2,70.1,0.00099,759.4,970,1254,0.0,0.0
SENSEX,09:16,30,ALL,1353,52.8,63.7,96.8,0.00099,759.4,1158,1656,0.1,0.0
SENSEX,09:16,30,LIVEDTE,246,46.8,56.2,70.1,0.00099,759.4,1046,1254,0.0,0.0
SENSEX,09:16,35,ALL,1353,55.5,65.9,104.0,0.00099,759.4,1191,1765,0.1,0.0
SENSEX,09:16,35,LIVEDTE,246,48.0,56.7,78.3,0.00099,759.4,1052,1378,0.0,0.0
SENSEX,09:16,40,ALL,1353,56.8,69.2,108.1,0.00099,759.4,1241,1826,0.1,0.0
SENSEX,09:16,40,LIVEDTE,246,51.2,60.8,85.4,0.00099,759.4,1114,1484,0.0,0.0
SENSEX,09:16,45,ALL,1353,58.7,72.7,112.8,0.00099,759.4,1293,1897,0.1,0.0
SENSEX,09:16,45,LIVEDTE,246,56.7,64.8,92.6,0.00099,759.4,1175,1593,0.0,0.0
SENSEX,09:16,50,ALL,1353,62.3,76.1,117.1,0.00099,759.4,1344,1961,0.1,0.0
SENSEX,09:16,50,LIVEDTE,246,57.2,65.0,96.8,0.00099,759.4,1178,1656,0.0,0.0
SENSEX,09:16,55,ALL,1353,63.1,77.9,117.1,0.00099,759.4,1372,1961,0.1,0.0
SENSEX,09:16,55,LIVEDTE,246,60.9,66.3,97.5,0.00099,759.4,1197,1666,0.0,0.0
SENSEX,09:16,60,ALL,1353,65.6,78.9,117.1,0.00099,759.4,1387,1961,0.1,0.0
SENSEX,09:16,60,LIVEDTE,246,62.5,69.3,97.5,0.00099,759.4,1243,1667,0.0,0.0
SENSEX,09:16,65,ALL,1353,67.2,82.0,117.1,0.00099,759.4,1433,1961,0.1,0.0
SENSEX,09:16,65,LIVEDTE,246,64.1,70.0,97.5,0.00099,759.4,1253,1667,0.0,0.0
SENSEX,10:30,20,ALL,1353,27.1,35.7,57.0,0.00107,723.1,752,1080,0.0,0.0
SENSEX,10:30,20,LIVEDTE,124,27.3,37.9,55.3,0.00107,723.1,786,1054,0.0,0.0
SENSEX,10:30,25,ALL,1353,30.4,40.0,65.8,0.00107,723.1,818,1216,0.0,0.0
SENSEX,10:30,25,LIVEDTE,124,32.3,42.1,59.4,0.00107,723.1,850,1118,0.0,0.0
SENSEX,10:30,30,ALL,1353,33.3,45.6,70.4,0.00107,723.1,904,1287,0.0,0.0
SENSEX,10:30,30,LIVEDTE,124,37.9,49.9,68.7,0.00107,723.1,971,1261,0.0,0.0
SENSEX,10:30,35,ALL,1353,35.4,48.2,81.1,0.00107,723.1,945,1453,0.1,0.0
SENSEX,10:30,35,LIVEDTE,124,38.8,49.9,93.3,0.00107,723.1,971,1642,0.0,0.0
SENSEX,10:30,40,ALL,1353,38.5,50.5,84.4,0.00107,723.1,980,1504,0.1,0.1
SENSEX,10:30,40,LIVEDTE,124,41.4,54.5,95.7,0.00107,723.1,1042,1679,0.0,0.0
SENSEX,10:30,45,ALL,1353,41.3,52.0,84.9,0.00107,723.1,1004,1511,0.1,0.1
SENSEX,10:30,45,LIVEDTE,124,43.5,55.6,98.9,0.00107,723.1,1059,1728,0.0,0.0
SENSEX,10:30,50,ALL,1353,43.0,54.8,87.1,0.00107,723.1,1047,1545,0.1,0.1
SENSEX,10:30,50,LIVEDTE,124,48.8,57.9,104.8,0.00107,723.1,1094,1819,0.0,0.0
SENSEX,10:30,55,ALL,1353,44.5,56.9,89.2,0.00107,723.1,1079,1578,0.1,0.1
SENSEX,10:30,55,LIVEDTE,124,48.8,58.2,105.2,0.00107,723.1,1099,1826,0.0,0.0
SENSEX,10:30,60,ALL,1353,45.8,58.6,90.8,0.00107,723.1,1105,1602,0.1,0.1
SENSEX,10:30,60,LIVEDTE,124,48.8,58.2,105.2,0.00107,723.1,1099,1826,0.0,0.0
SENSEX,10:30,65,ALL,1353,48.2,60.1,96.1,0.00107,723.1,1128,1684,0.1,0.1
SENSEX,10:30,65,LIVEDTE,124,50.1,58.2,105.2,0.00107,723.1,1099,1826,0.0,0.0
