venue,cell,arm,n,credit_med,med_net_8L,mean_net_8L,win_pct,worst_8L,tstat,t_obs,stop_freq_pct,b_slope,b_src,e95_gate_bp,e95_src,n_dte,n_mon,n_cur,sl_cap_8L,ov95_perlot,adv95_cap_8L,adv95_cap_ov_8L,rr_p95,rr_p95_ov,p_loss_model,p_stop_long,be_term_bp,nb_pass,nb_tot,G1,G2,G3,G4,G5,G6_venue
NIFTY,W_0916_0946,NOSTOP,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,,,6492,6492,4.16,4.16,24.9,0.0,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,R1000,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,10000,872,6492,6492,4.16,4.16,24.9,0.8,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,R1500,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,14000,1074,6492,6492,4.16,4.16,24.9,0.6,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,R2500,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,22000,1156,6492,6492,4.16,4.16,24.9,0.0,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,R500,17,204.1,1560,950,64.7,-7200,1.09,1.09,5.9,0.000644,cell(n=8),65.7,mon,353,547,39,6000,771,6000,6492,3.85,4.16,19.5,5.9,26.6,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,SLP10,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,12613,998,6492,6492,4.16,4.16,24.9,0.6,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,SLP15,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,17920,1111,6492,6492,4.16,4.16,24.9,0.6,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,SLP20,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,23226,832,6492,6492,4.16,4.16,24.9,0.0,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,SLP25,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,28533,800,6492,6492,4.16,4.16,24.9,0.0,23.8,1,2,1,0,1,0,0,0
NIFTY,W_0916_0946,SLP30,17,204.1,1560,1441,70.6,-2936,2.05,2.05,0.0,0.000644,cell(n=8),65.7,mon,353,547,39,33840,919,6492,6492,4.16,4.16,24.9,0.0,23.8,1,2,1,0,1,0,0,0
