variant,n,total,mean,median,win,worst,p10,d_total,d_mean,d_median,d_worst,d_best,fires,fire_pct,needless,rescue,cost_needless,firing_cost,worst_day_delta
NULL_NAKED,62,626966,10112,9669,75.8,-29950,-11516,0,0,0,0,0,0,0.0,0,0,0,0,0
NULL_SUITETRAIL_2000_350,62,605593,9768,10007,75.8,-29950,-11516,-21373,-345,0,-14511,9322,10,16.1,7,3,-35661,38093,0
TRAIL_A5000_G2500_ONLYLOSERS,62,542539,8751,9280,72.6,-29950,-10363,-84427,-1362,0,-15755,10347,55,88.7,12,4,-102563,50267,0
NULL_FIXEDTP_30000,62,541245,8730,10007,75.8,-29950,-11516,-85721,-1383,0,-28150,16632,12,19.4,8,4,-118924,84983,0
TRAIL_A12000_G4000_ONLYLOSERS,62,526486,8492,7991,74.2,-29294,-11516,-100480,-1621,0,-39607,10596,34,54.8,9,2,-114733,35961,656
TRAILPCT_A20000_P50,62,517567,8348,7165,71.0,-29950,-11516,-109398,-1764,0,-25937,3352,9,14.5,8,1,-112750,68563,0
TRAIL_A8000_G3000_ONLYLOSERS,62,517022,8339,8470,75.8,-29950,-13316,-109944,-1773,0,-23698,1694,47,75.8,12,3,-114420,53655,0
TRAIL_A10000_G3000_ONLYLOSERS,62,508510,8202,8016,75.8,-29294,-13316,-118456,-1911,0,-39607,7433,42,67.7,10,2,-127876,40038,656
TRAILPCT_A20000_P40,62,479217,7729,6700,72.6,-29950,-11516,-147749,-2383,0,-38750,3352,11,17.7,10,1,-151101,83035,0
TRAILPCT_A20000_P30,62,452752,7302,6754,75.8,-29950,-10292,-174214,-2810,0,-38750,26287,15,24.2,12,3,-203244,116927,0
TRAIL_A20000_G2500,62,451873,7288,8771,77.4,-29950,-10292,-175093,-2824,0,-31714,26287,20,32.3,16,4,-209239,151186,0
TRAIL_A20000_G5000,62,451566,7283,8489,75.8,-29950,-10292,-175400,-2829,0,-31702,26287,17,27.4,13,4,-207913,129728,0
TRAIL_A20000_G3000,62,450036,7259,8316,77.4,-29950,-10292,-176929,-2854,0,-31702,26287,20,32.3,16,4,-211076,151189,0
TRAIL_A20000_G1500,62,448808,7239,9812,77.4,-29950,-10292,-178158,-2874,0,-31406,32301,21,33.9,16,5,-218769,162773,0
TRAIL_A20000_G2000,62,444574,7171,9598,77.4,-29950,-10292,-182391,-2942,0,-31714,32264,20,32.3,16,4,-223617,156151,0
TRAILPCT_A20000_P20,62,441911,7128,8771,75.8,-29950,-10292,-185054,-2985,0,-31702,26287,19,30.6,15,4,-217568,138009,0
TRAILPCT_A20000_P25,62,437769,7061,7397,75.8,-29950,-10292,-189197,-3052,0,-31702,26287,17,27.4,14,3,-218227,129734,0
TRAILPCT_A15000_P50,62,432819,6981,5305,66.1,-29294,-10434,-194147,-3131,0,-50124,26864,16,25.8,14,2,-224363,119470,656
TRAILPCT_A20000_P15,62,431121,6954,8316,75.8,-29950,-10292,-195845,-3159,0,-32125,26287,20,32.3,17,3,-227142,151196,0
TRAIL_A20000_G4000,62,431010,6952,8316,75.8,-29950,-10292,-195956,-3161,0,-32125,26287,20,32.3,17,3,-227253,151196,0
TRAIL_A20000_G7500,62,421042,6791,6754,74.2,-29950,-10292,-205924,-3321,0,-31702,26287,17,27.4,13,4,-235229,129739,0
TRAIL_A12000_G4000_ARMAFTER1200,62,418850,6756,6076,75.8,-29294,-7496,-208116,-3357,0,-45394,32116,29,46.8,22,7,-295681,187168,656
TRAIL_A20000_G1000,62,408792,6593,9231,77.4,-29950,-10292,-218174,-3519,0,-31406,33196,25,40.3,21,4,-260786,179344,0
TRAIL_A15000_G5000,62,392469,6330,5486,72.6,-29294,-8260,-234497,-3782,0,-46905,31107,24,38.7,19,5,-297061,178196,656
NULL_FIXEDTP_20000,62,387187,6245,8885,77.4,-29950,-10292,-239779,-3867,0,-35580,33945,26,41.9,21,5,-284624,197566,0
TRAILPCT_A15000_P25,62,380169,6132,5719,71.0,-29294,-8133,-246797,-3981,0,-45394,32116,24,38.7,20,4,-307950,179856,656
TRAIL_A15000_G4000,62,373253,6020,5823,71.0,-29294,-8133,-253712,-4092,0,-45394,32116,27,43.5,23,4,-317345,201319,656
TRAILPCT_A15000_P40,62,368917,5950,4991,69.4,-29294,-10434,-258049,-4162,0,-46905,26864,20,32.3,18,2,-288264,147189,656
TRAILPCT_A15000_P30,62,366952,5919,5305,72.6,-29294,-8260,-260014,-4194,0,-45394,31107,23,37.1,19,4,-319095,178203,656
TRAILPCT_A15000_P20,62,364321,5876,5486,71.0,-29294,-8133,-262645,-4236,0,-45394,33228,26,41.9,22,4,-328081,196805,656
TRAIL_A15000_G7500,62,363194,5858,5305,69.4,-29294,-9459,-263772,-4254,0,-50124,26864,24,38.7,19,5,-319941,171584,656
TRAIL_A15000_G3000,62,356778,5754,5719,72.6,-29294,-8133,-270188,-4358,0,-45394,33228,29,46.8,23,5,-338473,214571,656
TRAILPCT_A12000_P50,62,348841,5626,4708,59.7,-29735,-9799,-278125,-4486,0,-50124,26864,21,33.9,18,3,-315119,158025,216
TRAIL_A15000_G2500,62,348258,5617,5638,74.2,-29294,-8133,-278708,-4495,0,-45394,33228,30,48.4,24,5,-347873,216228,656
TRAIL_A15000_G1500,62,341227,5504,6458,74.2,-29294,-8133,-285739,-4609,0,-45394,33228,30,48.4,24,5,-352455,223237,656
TRAIL_A15000_G2000,62,337921,5450,6041,74.2,-29294,-8133,-289045,-4662,0,-45394,33228,30,48.4,25,4,-358664,221199,656
TRAIL_A10000_G3000_ARMAFTER1200,62,337788,5448,5486,72.6,-29294,-7496,-289178,-4664,0,-45394,35710,36,58.1,28,7,-394478,219028,656
TRAIL_A5000_G2500_ARMAFTER1200,62,332697,5366,4292,69.4,-29294,-7496,-294269,-4746,-3090,-32729,35710,46,74.2,37,8,-408917,256535,656
TRAIL_A12000_G5000,62,330282,5327,5197,67.7,-29735,-8260,-296684,-4785,0,-46905,31107,28,45.2,23,5,-371783,209745,216
TRAILPCT_A15000_P15,62,329932,5321,5404,72.6,-29294,-8133,-297034,-4791,0,-45394,33228,30,48.4,25,4,-363349,216236,656
TRAILPCT_A12000_P40,62,320783,5174,4237,66.1,-29735,-9799,-306183,-4938,0,-46905,26864,24,38.7,21,3,-353669,178732,216
TRAIL_A12000_G7500,62,297641,4801,4708,64.5,-30164,-9494,-329325,-5312,0,-50124,26864,28,45.2,23,5,-400025,205172,-213
TRAIL_A15000_G1000,62,294706,4753,6266,75.8,-29294,-8133,-332260,-5359,0,-45394,35928,34,54.8,28,5,-401221,246430,656
TRAIL_A8000_G3000_ARMAFTER1200,62,294543,4751,4987,67.7,-29294,-7496,-332423,-5362,-1586,-45394,35710,40,64.5,32,7,-433483,236243,656
TRAIL_A10000_G5000,62,278275,4488,2883,56.5,-29735,-8260,-348691,-5624,0,-46905,31107,34,54.8,29,5,-423790,245992,216
TRAILPCT_A10000_P40,62,276569,4461,1939,59.7,-29735,-9799,-350396,-5652,0,-46905,26864,31,50.0,27,4,-399445,224468,216
TRAILPCT_A12000_P30,62,267408,4313,3862,67.7,-29735,-9635,-359557,-5799,0,-45394,31107,29,46.8,25,4,-434382,228734,216
NULL_FIXEDTP_15000,62,264757,4270,6198,77.4,-29294,-8133,-362209,-5842,-375,-40827,33728,34,54.8,31,3,-424639,266307,656
TRAIL_A10000_G7500,62,261193,4213,3134,58.1,-30164,-9799,-365772,-5900,0,-50124,26864,32,51.6,27,5,-436472,230714,-213
TRAILPCT_A10000_P50,62,253538,4089,-653,48.4,-29735,-9799,-373428,-6023,0,-50124,26864,29,46.8,26,3,-410422,209956,216
TRAILPCT_A10000_P30,62,236536,3815,2058,58.1,-29361,-9635,-390430,-6297,0,-45394,31107,35,56.5,30,5,-461377,268668,589
TRAIL_A12000_G4000,62,218924,3531,3740,64.5,-29735,-9635,-408042,-6581,0,-45394,32116,34,54.8,30,4,-484209,270081,216
TRAILPCT_A12000_P25,62,217198,3503,3740,64.5,-29294,-8816,-409767,-6609,0,-45394,35710,33,53.2,29,4,-484223,254797,656
TRAIL_A10000_G4000,62,178081,2872,2298,56.5,-29735,-9635,-448885,-7240,-4358,-45394,32116,40,64.5,35,5,-526615,307983,216
TRAILPCT_A12000_P20,62,177422,2862,3257,61.3,-29294,-8816,-449543,-7251,0,-45394,35710,34,54.8,30,4,-526758,276721,656
TRAIL_A12000_G4000_TIGHT1400,62,176320,2844,3740,61.3,-29735,-9635,-450646,-7268,-1470,-45394,33228,38,61.3,33,4,-527926,284111,216
TRAIL_A12000_G3000,62,173713,2802,3257,61.3,-29294,-8816,-453253,-7311,-813,-45394,35710,36,58.1,31,4,-530468,287868,656
TRAIL_A12000_G2500,62,161167,2599,3257,62.9,-29294,-8133,-465799,-7513,-1675,-45394,35710,37,59.7,32,4,-543014,289526,656
TRAILPCT_A10000_P25,62,152680,2463,1452,54.8,-29294,-8464,-474286,-7650,-4331,-45394,35710,41,66.1,36,5,-549835,306716,656
TRAIL_A10000_G3000,62,150685,2430,1429,53.2,-29294,-8464,-476280,-7682,-5689,-45394,35710,42,67.7,36,5,-554279,325759,656
TRAILPCT_A8000_P40,62,141750,2286,-228,48.4,-31174,-10456,-485216,-7826,-5357,-45451,17271,38,61.3,35,2,-505839,273167,-1224
TRAIL_A8000_G7500,62,140160,2261,284,50.0,-36090,-10508,-486805,-7852,-5107,-50940,26287,37,59.7,33,4,-530641,260812,-6139
TRAILPCT_A10000_P20,62,138292,2231,1413,58.1,-29294,-8464,-488674,-7882,-5498,-45394,35710,42,67.7,37,5,-568704,328629,656
TRAILPCT_A12000_P15,62,133682,2156,2722,59.7,-29294,-8133,-493284,-7956,-4147,-45394,35710,38,61.3,33,4,-571383,299469,656
TRAIL_A8000_G5000,62,125849,2030,-872,45.2,-31174,-9897,-501117,-8083,-5917,-45451,25231,41,66.1,37,3,-543893,294698,-1224
TRAIL_A10000_G2500,62,119491,1927,1282,58.1,-29294,-8464,-507474,-8185,-6373,-45394,35710,44,71.0,38,5,-587045,339777,656
TRAIL_A12000_G2000,62,115819,1868,2996,59.7,-29294,-8133,-511146,-8244,-6467,-45394,35710,38,61.3,34,3,-588971,304823,656
TRAIL_A12000_G1500,62,114054,1840,3366,58.1,-29294,-8133,-512911,-8273,-6206,-45394,35710,38,61.3,34,3,-591343,311064,656
TRAILPCT_A8000_P50,62,105729,1705,-1412,38.7,-31174,-10456,-521237,-8407,-4783,-45451,6779,37,59.7,34,2,-531367,265280,-1224
TRAIL_A6000_G5000,62,99936,1612,-1026,43.5,-31174,-9792,-527030,-8500,-6112,-45451,25231,48,77.4,40,7,-585873,339351,-1224
TRAILPCT_A8000_P20,62,92592,1493,219,51.6,-29294,-9928,-534373,-8619,-6321,-40991,20661,46,74.2,41,4,-576901,351757,656
TRAIL_A12000_G1000,62,91846,1481,2800,59.7,-30673,-9657,-535120,-8631,-5965,-45394,22607,38,61.3,35,2,-579789,315214,-722
TRAILPCT_A8000_P30,62,87272,1408,-390,45.2,-31174,-10456,-539694,-8705,-5849,-45451,18642,42,67.7,39,2,-575607,321958,-1224
TRAIL_A10000_G2000,62,86934,1402,1100,56.5,-29294,-8464,-540032,-8710,-8285,-45394,35710,45,72.6,40,4,-619787,350103,656
TRAIL_A10000_G3000_TIGHT1400,62,85934,1386,730,51.6,-29294,-8464,-541032,-8726,-8143,-45394,35710,45,72.6,41,4,-618756,345521,656
NULL_FIXEDTP_10000,62,85575,1380,1921,59.7,-29294,-7656,-541391,-8732,-6403,-42597,29081,46,74.2,42,4,-616942,391933,656
TRAIL_A8000_G4000,62,80884,1305,-522,45.2,-31174,-9818,-546082,-8808,-7394,-45451,26506,45,72.6,41,3,-590134,334761,-1224
TRAIL_A8000_G3000,62,72259,1165,-267,45.2,-31174,-10456,-554706,-8947,-7394,-45451,20661,47,75.8,42,3,-594284,348007,-1224
TRAILPCT_A8000_P25,62,69633,1123,-295,46.8,-31174,-10355,-557333,-8989,-5979,-45451,18642,45,72.6,42,2,-593246,338519,-1224
TRAILPCT_A10000_P15,62,68664,1107,1054,56.5,-29294,-9688,-558302,-9005,-8511,-45394,20661,45,72.6,40,5,-608811,351386,656
TRAIL_A10000_G1500,62,58456,943,844,56.5,-29294,-8464,-568510,-9170,-8561,-45394,28200,45,72.6,41,4,-640400,367111,656
TRAIL_PERVENUE_A12000_G4000,62,53572,864,848,53.2,-29294,-9508,-573394,-9248,-6524,-49031,40956,46,74.2,39,5,-696552,325346,656
TRAILPCT_A6000_P40,62,52322,844,-1004,41.9,-31174,-10436,-574644,-9268,-6096,-45451,17271,49,79.0,41,7,-621365,353752,-1224
TRAIL_A10000_G1000,62,51477,830,1186,56.5,-29294,-8494,-575489,-9282,-8350,-45394,28796,46,74.2,42,4,-645842,385328,656
TRAILPCT_A6000_P20,62,49929,805,-1315,43.5,-29294,-8662,-577037,-9307,-8535,-40991,20661,54,87.1,44,9,-649813,407883,656
TRAILPCT_A6000_P50,62,46334,747,-1848,35.5,-31174,-10434,-580631,-9365,-6966,-45451,7469,47,75.8,39,7,-614403,332611,-1224
TRAIL_A6000_G3000,62,44710,721,-935,40.3,-31174,-10436,-582256,-9391,-7293,-45451,20661,54,87.1,44,8,-647438,393871,-1224
