sys,day,weekday,tsym,lots,entry,naked_hm,live_exit_hm,live_exit_px,live_net_lot,live_net_book,replay_inc_hm,replay_inc_px,fidelity,be_hm,be_px,be_net_lot,hold_px,hold_net_lot,rec_hm,rec_px,rec_reason,rec_net_lot,rec_minus_live_book,be_minus_live_book,path_end_hm
ATM,2026-08-11,,SENSEX2681378400CE,3,376.8,11:10,11:50,248.45,2418,7255,11:50,249.1,EXACT,15:15,266.55,2184,266.55,2184,13:06,251.75,TRAIL,2352,-198,-704,15:15
ATM,2026-08-12,,SENSEX2681378100CE,3,299.15,10:03,10:40,169.4,2449,7348,10:40,168.1,EXACT,15:15,169.1,2583,169.1,2583,13:19,90.25,TRAIL,4033,4751,400,15:15
ATM,2026-08-14,,SENSEX2682077900PE,3,420.0,14:02,14:40,283.3,2584,7752,14:40,281.95,EXACT,15:15,272.25,2932,272.25,2932,15:15,272.25,EOD,2932,1045,1045,15:15
ATM,2026-08-17,,SENSEX2682077800CE,3,357.1,10:42,11:20,258.6,1822,5466,11:20,257.7,EXACT,12:45,357.6,-159,467.0,-2221,11:51,290.0,TRAIL,1194,-1885,-5943,15:15
ATM,2026-08-18,,SENSEX2682077600CE,3,264.05,10:55,11:35,199.3,1150,3450,11:35,199.35,EXACT,15:15,211.35,1036,211.35,1036,11:51,221.15,TRAIL,713,-1312,-341,15:15
ATM,2026-08-19,,SENSEX2682077100CE,2,247.75,10:31,11:10,154.25,1726,3452,11:50,181.6,DIVERGE,15:15,150.0,1938,150.0,1938,11:50,181.6,TRAIL,1179,-1094,425,15:15
ATM,2026-08-24,,SENSEX26AUG77900CE,2,310.2,10:59,14:30,146.2,3134,6268,14:31,151.4,EXACT,15:14,157.9,3027,157.9,3027,14:31,151.4,TRAIL,3030,-208,-213,15:14
ATM,2026-08-25,,SENSEX26AUG77300PE,2,319.85,09:19,09:55,279.65,657,1313,09:55,282.1,EXACT,15:15,101.8,4343,101.8,4343,13:02,246.65,TRAIL,1317,1321,7372,15:15
ATM,2026-08-26,,SENSEX26AUG78000CE,2,212.5,10:20,11:00,132.6,1455,2910,11:00,134.15,EXACT,12:22,108.2,2071,108.2,2071,12:22,108.2,EOD,2071,1231,1231,12:22
ATM4,2026-08-12,,SENSEX2681378100CE,3,298.9,10:58,11:35,102.85,3776,11328,13:19,90.25,DIVERGE,15:15,169.1,2578,169.1,2578,13:19,90.25,TRAIL,4028,756,-3595,15:15
ATM4,2026-08-24,,SENSEX26AUG77900CE,2,310.2,11:05,11:45,159.55,2867,5734,14:31,151.4,DIVERGE,15:14,157.9,3027,157.9,3027,14:31,151.4,TRAIL,3030,326,321,15:14
ATM4,2026-08-25,,SENSEX26AUG77600CE,2,223.05,10:22,11:00,154.6,1226,2451,11:00,155.85,EXACT,14:32,270.7,-1097,338.25,-2322,11:56,205.65,TRAIL,204,-2043,-4646,15:15
