label,mode,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,total_pnl,final_value,total_return_pct,ema_fast,ema_slow,adx_threshold,rsi_period,rsi_entry,max_pos_trend,max_pos_meanrev,hard_stop_pct,trend_long_trades,trend_long_pf,trend_long_pnl,trend_short_trades,trend_short_pf,trend_short_pnl,mr_long_trades,mr_long_pf,mr_long_pnl,mr_short_trades,mr_short_pf,mr_short_pnl
E20_50_ADX25_R14_30_P20_10_LONG_ONLY,LONG_ONLY,6.65,1.35,1.79,5.48,1.21,1.49,3217,48.4,6574222,16570171,65.7,20,50,25,14,30,20,10,0.1,1961,1.48,4560889,0,0,0,1256,1.52,2013333,0,0,0
E20_50_ADX25_R14_30_P20_10_TREND_LS,TREND_LS,2.82,0.56,0.82,8.68,0.33,1.1,4894,40.9,2460701,12441473,24.41,20,50,25,14,30,20,10,0.1,1787,1.43,3736559,1851,0.7,-3289402,1256,1.52,2013544,0,0,0
E20_50_ADX25_R14_30_P20_10_MR_LS,MR_LS,5.64,1.22,1.63,6.74,0.84,1.29,4103,51.3,5383002,15378951,53.79,20,50,25,14,30,20,10,0.1,1961,1.48,4600409,0,0,0,1255,1.45,1827077,887,0.8,-1044484
E20_50_ADX25_R14_30_P20_10_BOTH_LS,BOTH_LS,1.53,0.31,0.46,9.94,0.15,1.04,5780,44.2,1283094,11263866,12.64,20,50,25,14,30,20,10,0.1,1787,1.44,3783002,1851,0.7,-3282519,1255,1.45,1827096,887,0.8,-1044484
E25_60_ADX20_R21_30_P20_10_LONG_ONLY,LONG_ONLY,8.19,1.4,1.83,7.9,1.04,1.63,2765,37.3,8561305,18550498,85.5,25,60,20,21,30,20,10,0.1,2622,1.6,7929762,0,0,0,143,2.53,631543,0,0,0
E25_60_ADX20_R21_30_P20_10_TREND_LS,TREND_LS,3.21,0.52,0.76,16.08,0.2,1.13,3931,32.9,2815604,12812075,28.12,25,60,20,21,30,20,10,0.1,1916,1.55,5346090,1872,0.73,-3162029,143,2.53,631543,0,0,0
E25_60_ADX20_R21_30_P20_10_MR_LS,MR_LS,7.9,1.37,1.78,7.75,1.02,1.56,2881,38.1,8171365,18160559,81.61,25,60,20,21,30,20,10,0.1,2622,1.59,7886923,0,0,0,143,2.28,586405,116,0.69,-301962
E25_60_ADX20_R21_30_P20_10_BOTH_LS,BOTH_LS,2.78,0.46,0.67,15.53,0.18,1.11,4047,33.6,2406223,12402694,24.03,25,60,20,21,30,20,10,0.1,1917,1.55,5355821,1871,0.72,-3233926,143,2.28,586405,116,0.69,-302076
E20_50_ADX30_R21_30_P20_10_LONG_ONLY,LONG_ONLY,4.32,1.52,2.17,5.34,0.81,1.85,1009,42.4,3945641,13938047,39.38,20,50,30,21,30,20,10,0.1,866,1.78,3314098,0,0,0,143,2.53,631543,0,0,0
E20_50_ADX30_R21_30_P20_10_TREND_LS,TREND_LS,2.65,0.77,1.17,5.21,0.51,1.22,1924,35.2,2262201,12273620,22.74,20,50,30,21,30,20,10,0.1,852,1.76,3190599,929,0.72,-1559941,143,2.53,631543,0,0,0
E20_50_ADX30_R21_30_P20_10_MR_LS,MR_LS,3.99,1.42,2.03,5.12,0.78,1.64,1125,44.1,3604924,13597330,35.97,20,50,30,21,30,20,10,0.1,866,1.79,3320482,0,0,0,143,2.28,586405,116,0.69,-301962
E20_50_ADX30_R21_30_P20_10_BOTH_LS,BOTH_LS,2.29,0.67,1.0,5.43,0.42,1.17,2040,36.6,1930385,11941805,19.42,20,50,30,21,30,20,10,0.1,852,1.76,3196982,929,0.72,-1551039,143,2.28,586405,116,0.69,-301962
E25_60_ADX30_R21_30_P20_10_LONG_ONLY,LONG_ONLY,4.79,1.48,2.01,4.84,0.99,1.76,1163,40.2,4441211,14440078,44.4,25,60,30,21,30,20,10,0.1,1020,1.7,3809668,0,0,0,143,2.53,631543,0,0,0
E25_60_ADX30_R21_30_P20_10_TREND_LS,TREND_LS,3.34,0.85,1.25,5.48,0.61,1.24,2129,35.4,2925386,12938723,29.39,25,60,30,21,30,20,10,0.1,995,1.65,3526808,991,0.8,-1232965,143,2.53,631543,0,0,0
E25_60_ADX30_R21_30_P20_10_MR_LS,MR_LS,4.47,1.4,1.92,4.69,0.95,1.6,1279,41.9,4093530,14092397,40.92,25,60,30,21,30,20,10,0.1,1020,1.7,3809087,0,0,0,143,2.28,586405,116,0.69,-301962
E25_60_ADX30_R21_30_P20_10_BOTH_LS,BOTH_LS,2.99,0.77,1.11,5.77,0.52,1.2,2245,36.6,2587706,12601043,26.01,25,60,30,21,30,20,10,0.1,995,1.65,3526228,991,0.8,-1222964,143,2.28,586405,116,0.69,-301962
E25_60_ADX20_R14_30_P20_10_LONG_ONLY,LONG_ONLY,9.18,1.48,1.94,7.4,1.24,1.58,3878,46.1,9943095,19927282,99.27,25,60,20,14,30,20,10,0.1,2622,1.6,7929762,0,0,0,1256,1.52,2013333,0,0,0
E25_60_ADX20_R14_30_P20_10_TREND_LS,TREND_LS,4.49,0.74,1.09,12.05,0.37,1.16,5052,40.6,4123564,14115028,41.15,25,60,20,14,30,20,10,0.1,1922,1.55,5367046,1876,0.73,-3201111,1254,1.5,1957629,0,0,0
