strategy,variant,direction,total_trades,wins,losses,win_rate,avg_win_pct,avg_loss_pct,profit_factor,avg_pnl_pct,median_pnl_pct,max_win_pct,max_loss_pct,max_consec_losses,expectancy_pct,sharpe_per_trade,best_stocks,worst_stocks,avg_hold_days
WeekHL_Breakout,WeekHL_hold3,long,12643,6298,6345,49.81,2.574,-2.318,1.102,0.119,-0.01,31.31,-22.31,14,0.119,0.035,"HAL,TATAPOWER,ADANIENT","ASIANPAINT,FEDERALBNK,HDFCBANK",3.0
WeekHL_Breakout,WeekHL_hold3,short,10780,4744,6036,44.01,2.718,-2.766,0.772,-0.353,-0.377,42.55,-45.17,12,-0.353,-0.089,"INFY,PAYTM,INDUSINDBK","MUTHOOTFIN,GAIL,BPCL",3.0
WeekHL_Breakout,WeekHL_hold3_ATRtrail,long,12727,6319,6408,49.65,2.566,-2.322,1.09,0.105,-0.022,32.25,-19.4,14,0.105,0.031,"HAL,TATAPOWER,ADANIENT","ASIANPAINT,HDFCBANK,FEDERALBNK",2.9
WeekHL_Breakout,WeekHL_hold3_ATRtrail,short,10836,4745,6091,43.79,2.711,-2.728,0.774,-0.346,-0.395,42.55,-43.76,12,-0.346,-0.089,"TATAMOTORS,PAYTM,INDUSINDBK","MUTHOOTFIN,GAIL,PERSISTENT",2.9
WeekHL_Breakout,WeekHL_hold5,long,9940,5069,4871,51.0,3.4,-3.025,1.17,0.252,0.075,36.95,-31.69,11,0.252,0.057,"TATAMOTORS,COFORGE,ADANIENT","FEDERALBNK,LT,INDUSINDBK",5.0
WeekHL_Breakout,WeekHL_hold5,short,8533,3782,4751,44.32,3.304,-3.701,0.711,-0.596,-0.505,45.89,-29.33,15,-0.596,-0.12,"ITC,PAYTM,PNB","GAIL,BPCL,SBIN",5.0
WeekHL_Breakout,WeekHL_hold5_ATRtrail,long,10109,5077,5032,50.22,3.381,-2.963,1.151,0.223,0.015,36.95,-19.4,12,0.223,0.052,"M&M,HAL,ADANIENT","FEDERALBNK,INDUSINDBK,HDFCBANK",4.6
WeekHL_Breakout,WeekHL_hold5_ATRtrail,short,8666,3771,4895,43.51,3.338,-3.54,0.726,-0.547,-0.591,45.89,-38.39,15,-0.547,-0.115,"ITC,PAYTM,PNB","GAIL,DIVISLAB,AMBUJACEM",4.6
WeekHL_Breakout,WeekHL_hold10,long,7378,3940,3438,53.4,5.077,-4.135,1.407,0.784,0.422,60.88,-44.74,9,0.784,0.123,"HAL,TRENT,ADANIENT","GAIL,POWERGRID,COALINDIA",10.0
WeekHL_Breakout,WeekHL_hold10,short,6634,2863,3771,43.16,4.612,-5.293,0.662,-1.018,-0.854,58.92,-45.39,20,-1.018,-0.144,"PNB,DELHIVERY,HEROMOTOCO","GAIL,CHOLAFIN,VEDL",9.9
WeekHL_Breakout,WeekHL_hold10_ATRtrail,long,7814,3793,4021,48.54,4.996,-3.732,1.263,0.505,-0.199,49.8,-26.6,13,0.505,0.088,"TRENT,HAL,ADANIENT","GAIL,HDFCBANK,BPCL",7.9
WeekHL_Breakout,WeekHL_hold10_ATRtrail,short,6931,2708,4223,39.07,4.711,-4.28,0.706,-0.767,-1.488,58.92,-38.39,21,-0.767,-0.129,"PAYTM,IDFCFIRSTB,PNB","GAIL,DIVISLAB,CHOLAFIN",7.6
NarrowRange,NR4_atr_target,long,8187,3891,4296,47.53,4.706,-2.796,1.524,0.769,-1.066,30.78,-24.26,15,0.769,0.18,"PERSISTENT,TRENT,HINDALCO","HDFCBANK,CIPLA,DELHIVERY",5.0
NarrowRange,NR4_atr_target,short,6995,2860,4135,40.89,4.732,-2.958,1.107,0.187,-1.914,28.78,-19.85,17,0.187,0.043,"IOC,TATAPOWER,TATAMOTORS","CHOLAFIN,BAJFINANCE,BHARTIARTL",4.8
NarrowRange,NR4_hold5,long,8442,4782,3660,56.65,3.831,-2.891,1.732,0.917,0.628,42.92,-36.79,13,0.917,0.196,"HINDALCO,TRENT,ADANIENT","DELHIVERY,HDFCBANK,COLPAL",5.0
NarrowRange,NR4_hold5,short,7419,3798,3621,51.19,3.646,-3.438,1.112,0.189,0.108,39.42,-45.61,13,0.189,0.037,"BANKBARODA,IOC,TATAMOTORS","BAJFINANCE,EICHERMOT,APOLLOHOSP",5.0
NarrowRange,NR4_hold3,long,10720,6047,4673,56.41,3.021,-2.271,1.722,0.714,0.482,33.48,-36.29,11,0.714,0.191,"HINDALCO,TATAPOWER,ADANIENT","VOLTAS,CIPLA,MARICO",3.0
NarrowRange,NR4_hold3,short,9293,4864,4429,52.34,2.99,-2.567,1.279,0.341,0.16,32.3,-31.84,14,0.341,0.084,"TATASTEEL,GODREJPROP,BPCL","BAJFINANCE,HDFCBANK,ASIANPAINT",3.0
NarrowRange,NR7_atr_target,long,5680,2783,2897,49.0,4.738,-2.835,1.606,0.876,-0.385,31.49,-24.23,10,0.876,0.203,"PERSISTENT,PNB,BANKBARODA","M&M,HDFCBANK,COLPAL",5.1
NarrowRange,NR7_atr_target,short,4729,1920,2809,40.6,4.697,-2.942,1.091,0.159,-1.917,25.82,-19.27,14,0.159,0.037,"TATAMOTORS,BANKBARODA,PNB","DIVISLAB,PIDILITIND,SBILIFE",5.0
NarrowRange,NR7_hold5,long,6042,3487,2555,57.71,3.772,-2.883,1.786,0.958,0.653,42.92,-36.0,9,0.958,0.204,"ADANIENT,IOC,VEDL","PAYTM,BPCL,BAJAJ-AUTO",5.0
NarrowRange,NR7_hold5,short,5099,2584,2515,50.68,3.476,-3.26,1.095,0.154,0.058,43.7,-45.61,12,0.154,0.032,"PNB,IOC,TATAMOTORS","COFORGE,APOLLOHOSP,M&M",5.0
NarrowRange,NR7_hold3,long,6817,3956,2861,58.03,3.01,-2.228,1.868,0.812,0.555,32.57,-18.08,10,0.812,0.219,"ADANIENT,PNB,TATAPOWER","TECHM,BPCL,DABUR",3.0
NarrowRange,NR7_hold3,short,5798,3007,2791,51.86,2.854,-2.485,1.237,0.284,0.13,31.33,-26.89,12,0.284,0.075,"JSWSTEEL,TATAMOTORS,PNB","COFORGE,BAJFINANCE,M&M",3.0
InsideDay,InsideDay_atr_1r2r,long,5921,2669,3252,45.08,5.275,-2.93,1.478,0.769,-1.767,32.86,-24.26,16,0.769,0.17,"COFORGE,JINDALSTEL,PERSISTENT","BRITANNIA,M&M,INDUSINDBK",5.6
InsideDay,InsideDay_atr_1r2r,short,5306,2069,3237,38.99,5.341,-3.04,1.123,0.228,-2.08,26.93,-17.59,17,0.228,0.05,"BANKBARODA,TATAMOTORS,IDFCFIRSTB","VEDL,DIVISLAB,MARICO",5.4
InsideDay,InsideDay_atr_1r3r,long,5100,1922,3178,37.69,7.359,-2.96,1.504,0.929,-2.087,45.28,-24.26,17,0.929,0.166,"TRENT,COFORGE,JINDALSTEL","FEDERALBNK,VEDL,ITC",7.9
InsideDay,InsideDay_atr_1r3r,short,4560,1363,3197,29.89,7.156,-3.07,0.994,-0.014,-2.329,40.45,-18.89,19,-0.014,-0.003,"ADANIPORTS,IDFCFIRSTB,TATAMOTORS","VEDL,MARICO,EICHERMOT",7.5
InsideDay,InsideDay_hold5,long,6302,3616,2686,57.38,3.839,-3.061,1.688,0.898,0.664,52.4,-36.79,10,0.898,0.183,"TRENT,ADANIENT,GODREJPROP","HEROMOTOCO,FEDERALBNK,ONGC",5.0
InsideDay,InsideDay_hold5,short,5596,2897,2699,51.77,3.774,-3.386,1.196,0.32,0.149,52.19,-30.83,13,0.32,0.061,"FEDERALBNK,DLF,TATAMOTORS","BHARTIARTL,TRENT,EICHERMOT",5.0
InsideDay,InsideDay_hold10,long,4560,2610,1950,57.24,5.371,-4.196,1.713,1.28,0.999,50.19,-45.53,9,1.28,0.192,"IOC,IRCTC,PERSISTENT","GAIL,DABUR,PAYTM",10.0
InsideDay,InsideDay_hold10,short,3951,1953,1998,49.43,4.971,-4.866,0.999,-0.004,-0.077,54.17,-41.42,12,-0.004,-0.001,"PNB,GODREJPROP,TATAMOTORS","EICHERMOT,JINDALSTEL,SBIN",10.0
Gap,full_gap_up_momentum_hold1,long,7263,3437,3826,47.32,1.477,-1.425,0.931,-0.051,-0.096,17.17,-24.41,11,-0.051,-0.023,"FEDERALBNK,HAL,TATAPOWER","HINDALCO,BANKBARODA,ULTRACEMCO",1.0
Gap,full_gap_up_momentum_hold3,long,6367,3249,3118,51.03,2.62,-2.428,1.124,0.148,0.067,31.29,-23.73,11,0.148,0.041,"HAL,ADANIENT,TATAPOWER","HINDALCO,POWERGRID,TCS",3.0
Gap,full_gap_up_momentum_hold5,long,5832,3071,2761,52.66,3.427,-3.198,1.192,0.291,0.206,35.47,-26.8,9,0.291,0.063,"HAL,ADANIENT,TATAPOWER","AXISBANK,BPCL,POWERGRID",5.0
Gap,full_gap_up_fade_hold1,short,17743,8072,9671,45.49,1.361,-1.446,0.786,-0.169,-0.147,24.17,-20.57,16,-0.169,-0.081,"KOTAKBANK,WIPRO,SHREECEM","TATAPOWER,VEDL,APOLLOHOSP",1.0
Gap,full_gap_up_fade_hold3,short,14231,6376,7855,44.8,2.29,-2.669,0.696,-0.447,-0.346,23.49,-32.49,15,-0.447,-0.128,"BPCL,HINDUNILVR,HDFCLIFE","TATAPOWER,ADANIENT,COFORGE",3.0
Gap,full_gap_up_fade_hold5,short,11831,5246,6585,44.34,3.047,-3.467,0.7,-0.578,-0.484,27.1,-39.47,14,-0.578,-0.127,"KOTAKBANK,HDFCLIFE,HINDUNILVR","TATAPOWER,ADANIENT,HAL",5.0
Gap,full_gap_down_momentum_hold1,short,4700,2074,2626,44.13,1.574,-1.86,0.668,-0.345,-0.227,18.4,-17.86,13,-0.345,-0.138,"ASIANPAINT,DELHIVERY,IRCTC","ICICIBANK,RELIANCE,DLF",1.0
Gap,full_gap_down_momentum_hold3,short,4281,1912,2369,44.66,2.823,-3.154,0.722,-0.485,-0.392,34.88,-39.6,18,-0.485,-0.112,"HCLTECH,VEDL,DELHIVERY","INDUSINDBK,ICICIBANK,HDFCLIFE",3.0
Gap,full_gap_down_momentum_hold5,short,4005,1810,2195,45.19,3.789,-3.911,0.799,-0.431,-0.385,42.53,-31.01,18,-0.431,-0.077,"VEDL,IRCTC,PERSISTENT","DLF,INDUSINDBK,BEL",5.0
Gap,full_gap_down_fade_hold1,long,10405,4921,5484,47.29,1.719,-1.648,0.936,-0.056,-0.113,18.52,-27.28,14,-0.056,-0.023,"TRENT,BANKBARODA,TATASTEEL","INDUSINDBK,INFY,HINDALCO",1.0
Gap,full_gap_down_fade_hold3,long,8793,4402,4391,50.06,2.791,-2.931,0.955,-0.066,0.004,36.27,-35.12,11,-0.066,-0.016,"MCX,BHARTIARTL,TRENT","TECHM,IDFCFIRSTB,GAIL",3.0
