book,venue,day,dte_trd,cfg,entry_hm,win_end,sl_shape,qty,lots,mode,mgmt,k_actual,k_fwd,misstrike,steps_off,fwd,spot_rec,booked_credit,booked_exit,booked_reason,booked_exit_ts,booked_pnl,rep_a_credit,rep_a_exit,rep_a_reason,rep_a_exit_hm,rep_a_gross,rep_a_net,rep_f_credit,rep_f_exit,rep_f_reason,rep_f_exit_hm,rep_f_gross,rep_f_net,delta_net,dwell_mode
CSL_TIMEB_NIFTY,NIFTY,2026-08-14,2,10:00->12:00 SL20,10:00,12:00,20,130,2,PAPER,,24350,24350,0,0,24374.25,24343.55,183.2,174.05,TIME_EXIT,12:00:04,1029,183.75,173.7,TIME,12:00,1307,1197,183.75,173.7,TIME,12:00,1307,1197,0,TOUCH
CSL_TIMEB_SENSEX,SENSEX,2026-08-14,4,10:30->12:00 SL20,10:30,12:00,20,120,6,PAPER,,77800,77900,1,1,77942.5,77787.14,826.4,809.25,TIME_EXIT,12:00:04,1898,826.1,808.3,TIME,12:00,2136,1852,815.3,800.6,TIME,12:00,1764,1482,-370,TOUCH
NAS_COMB20,NIFTY,2026-08-14,2,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24350,1,1,24370.1,24329.0,202.05,197.25,TIME_EXIT,15:20:01,464,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,TOUCH
CSL30F_NIFTY,NIFTY,2026-08-14,2,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24350,1,1,24370.1,24329.0,201.45,198.4,TIME_EXIT,15:20:01,236,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,TOUCH
CSL30F_SENSEX,SENSEX,2026-08-14,4,09:16->15:20 SL30,09:16,15:20,30,60,3,PAPER,,77800,77900,1,1,77937.35,77774.37,884.7,848.35,TIME_EXIT,15:20:01,2021,876.15,851.05,TIME,15:20,1506,1359,869.55,821.6,TIME,15:20,2877,2731,1372,TOUCH
NAS_C20_TRAIL,NIFTY,2026-08-14,2,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,trail,24300,24350,1,1,24370.1,24329.0,201.45,198.45,TIME_EXIT,15:20:01,230,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,TOUCH
NAS_C20_SHIFT,NIFTY,2026-08-14,2,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24300,24350,1,1,24370.1,24329.0,201.45,198.45,TIME_EXIT,15:20:01,230,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,TOUCH
CSL_TIMEB_NIFTY,NIFTY,2026-08-17,1,13:00->14:00 SL20,13:00,14:00,20,390,6,REAL,,24350,24400,1,1,24375.95,24334.0,124.35,120.85,TIME_EXIT,14:00:03,1205,125.05,121.1,TIME,14:00,1540,1254,125.8,119.0,TIME,14:00,2652,2366,1111,TOUCH
CSL_TIMEB_SENSEX,SENSEX,2026-08-17,3,13:00->14:00 SL20,13:00,14:00,20,120,6,PAPER,,77800,78000,1,2,78002.5,77841.43,693.25,686.35,TIME_EXIT,14:00:03,668,693.5,684.95,TIME,14:00,1026,771,670.8,658.45,TIME,14:00,1482,1233,461,TOUCH
NAS_COMB20,NIFTY,2026-08-17,1,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24300,0,0,24323.6,24307.95,133.35,133.05,TIME_EXIT,15:20:10,-121,135.0,133.05,TIME,15:20,253,156,135.0,133.05,TIME,15:20,253,156,0,TOUCH
