arm,day,level_comb,touch_comb,overshoot_pts,overshoot_pct,dwell_slip_pts,realised_lot,intended_cap_lot,excess_lot,excess_6L
FRAC25,2026-04-30,296.9,305.2,8.4,2.8,6.8,-1772,-1188,-584,-3507
FRAC25,2026-06-04,361.2,421.8,60.6,16.8,6.2,-3064,-1445,-1619,-9714
FRAC25,2026-06-11,368.9,378.3,9.4,2.6,-15.3,-1641,-1476,-166,-993
FRAC25,2026-06-25,295.9,296.1,0.1,0.0,-20.5,-1057,-1184,127,760
FRAC25,2026-07-02,257.9,285.0,27.1,10.5,-38.8,-1076,-1032,-44,-267
FRAC25,2026-07-09,318.9,364.5,45.6,14.3,-33.0,-1810,-1276,-534,-3207
FRAC25,2026-07-16,250.8,254.8,4.0,1.6,-2.5,-1312,-1003,-309,-1852
FRAC25,2026-07-30,238.8,239.5,0.7,0.3,-24.2,-763,-955,192,1154
FRAC30,2026-04-30,308.8,312.1,3.3,1.1,10.0,-1972,-1425,-547,-3282
FRAC30,2026-06-04,375.7,421.8,46.1,12.3,6.2,-3064,-1734,-1330,-7980
FRAC30,2026-06-11,383.6,387.4,3.8,1.0,-6.1,-2007,-1771,-236,-1418
FRAC30,2026-06-25,307.8,382.4,74.6,24.2,11.1,-3416,-1420,-1996,-11973
FRAC30,2026-07-02,268.2,285.0,16.8,6.3,-38.8,-1076,-1238,162,971
FRAC30,2026-07-09,331.6,364.5,32.9,9.9,-33.0,-1810,-1531,-279,-1676
FRAC30,2026-07-16,260.9,279.4,18.5,7.1,-4.9,-1757,-1204,-553,-3319
FRAC30,2026-07-30,248.4,254.5,6.1,2.5,-64.1,-267,-1146,879,5276
FRAC35,2026-04-30,320.6,322.1,1.4,0.4,83.9,-3652,-1662,-1990,-11937
FRAC35,2026-06-04,390.1,421.8,31.7,8.1,6.2,-3064,-2023,-1041,-6246
FRAC35,2026-06-11,398.4,418.7,20.3,5.1,-39.6,-1964,-2066,102,610
FRAC35,2026-06-25,319.6,382.4,62.8,19.6,11.1,-3416,-1657,-1759,-10552
FRAC35,2026-07-02,278.5,285.0,6.5,2.3,-38.8,-1076,-1444,368,2209
FRAC35,2026-07-09,344.4,364.5,20.1,5.8,-33.0,-1810,-1786,-24,-146
FRAC35,2026-07-16,270.9,279.4,8.5,3.1,-4.9,-1757,-1405,-352,-2115
FRAC40,2026-04-30,332.5,406.0,73.5,22.1,-19.6,-3260,-1900,-1360,-8160
FRAC40,2026-06-04,404.6,421.8,17.2,4.3,6.2,-3064,-2312,-752,-4512
FRAC40,2026-06-11,413.1,418.7,5.6,1.3,-39.6,-1964,-2361,397,2381
FRAC40,2026-06-25,331.4,382.4,50.9,15.4,11.1,-3416,-1894,-1522,-9132
FRAC40,2026-07-09,357.1,364.5,7.4,2.1,-33.0,-1810,-2041,231,1385
FRAC50,2026-04-30,356.2,406.0,49.8,14.0,-19.6,-3260,-2375,-885,-5310
FRAC50,2026-06-11,442.6,446.8,4.2,0.9,-11.9,-3081,-2951,-130,-780
FRAC50,2026-06-25,355.1,382.4,27.3,7.7,11.1,-3416,-2368,-1048,-6291
FRAC60,2026-04-30,380.0,406.0,26.0,6.8,-19.6,-3260,-2850,-410,-2460
FRAC60,2026-06-11,472.2,481.1,8.9,1.9,40.1,-4804,-3541,-1263,-7577
FRAC60,2026-06-25,378.8,382.4,3.6,1.0,11.1,-3416,-2841,-575,-3450
FRAC75,2026-04-30,415.6,429.4,13.8,3.3,0.2,-4123,-3562,-560,-3363
FRAC75,2026-06-11,516.4,521.1,4.7,0.9,-29.7,-4211,-4426,216,1293
FRAC75,2026-06-25,414.3,446.2,31.9,7.7,-36.4,-3744,-3551,-193,-1156
FRAC100,2026-04-30,475.0,476.8,1.8,0.4,11.9,-5305,-4750,-555,-3330
FRAC100,2026-06-11,590.2,593.2,3.0,0.5,-6.3,-6122,-5902,-220,-1320
