scope,arm,level,n,fires,fire_pct,n_save,n_cost,mean_effect_lot,mean_effect_6L,book_mean_lot,book_mean_6L,book_p01_lot,book_worst_lot,book_worst_6L,hold_worst_lot,hold_worst_6L,saved_on_worst_6L,t
SENSEX DTE0 2024->2026,FRAC25,0.25,131,99,75.6,36,63,-672,-4034,-135,-813,-3375,-3422,-20530,-12612,-75674,55143,-2.31
SENSEX DTE0 2024->2026,FRAC30,0.3,131,86,65.6,35,51,-383,-2295,154,926,-3876,-3930,-23580,-12612,-75674,52093,-1.4
SENSEX DTE0 2024->2026,FRAC35,0.35,131,80,61.1,32,48,-226,-1358,311,1863,-3364,-3712,-22274,-12612,-75674,53400,-0.94
SENSEX DTE0 2024->2026,FRAC40,0.4,131,71,54.2,32,39,-6,-37,531,3184,-3695,-4132,-24792,-12612,-75674,50881,-0.03
SENSEX DTE0 2024->2026,FRAC50,0.5,131,53,40.5,27,26,289,1732,825,4953,-3444,-4972,-29829,-12612,-75674,45844,1.71
SENSEX DTE0 2024->2026,FRAC60,0.6,131,50,38.2,25,25,201,1203,737,4424,-4010,-5811,-34867,-12612,-75674,40807,1.24
SENSEX DTE0 2024->2026,FRAC75,0.75,131,46,35.1,21,25,95,568,632,3789,-4860,-7070,-42422,-12612,-75674,33252,0.63
SENSEX DTE0 2024->2026,FRAC100,1.0,131,36,27.5,16,20,18,105,554,3326,-6277,-9169,-55015,-12612,-75674,20659,0.14
SENSEX DTE0 2024->2026,HYB50_3000,0.5,131,56,42.7,27,29,66,398,603,3619,-3872,-3881,-23288,-12612,-75674,52385,0.3
SENSEX DTE0 2024->2026,HYB50_2500,0.5,131,61,46.6,28,33,-77,-465,459,2757,-3372,-3381,-20287,-12612,-75674,55387,-0.33
SENSEX DTE0 2024->2026,HYB60_3500,0.6,131,50,38.2,25,25,212,1273,749,4495,-4010,-4276,-25653,-12612,-75674,50020,1.28
SENSEX ALL days 2021->2026,FRAC25,0.25,1356,1128,83.2,398,730,-479,-2876,-538,-3227,-2610,-3425,-20549,-20781,-124684,104135,-5.27
SENSEX ALL days 2021->2026,FRAC30,0.3,1356,1006,74.2,385,621,-281,-1687,-340,-2037,-2950,-3930,-23580,-20781,-124684,101103,-3.27
SENSEX ALL days 2021->2026,FRAC35,0.35,1356,900,66.4,369,531,-113,-676,-171,-1027,-3254,-3832,-22990,-20781,-124684,101694,-1.4
SENSEX ALL days 2021->2026,FRAC40,0.4,1356,794,58.6,348,445,16,97,-42,-253,-3379,-4266,-25596,-20781,-124684,99088,0.21
SENSEX ALL days 2021->2026,FRAC50,0.5,1356,634,46.8,314,320,211,1267,153,916,-3639,-5135,-30808,-20781,-124684,93876,3.09
SENSEX ALL days 2021->2026,FRAC60,0.6,1356,555,40.9,288,267,223,1337,164,986,-4105,-6003,-36019,-20781,-124684,88664,3.48
SENSEX ALL days 2021->2026,FRAC75,0.75,1356,477,35.2,243,233,158,948,100,597,-4860,-7306,-43837,-20781,-124684,80847,2.6
SENSEX ALL days 2021->2026,FRAC100,1.0,1356,370,27.3,190,179,127,761,68,411,-6026,-9478,-56867,-20781,-124684,67817,2.44
SENSEX ALL days 2021->2026,HYB50_3000,0.5,1356,642,47.3,315,327,188,1125,129,775,-3680,-3881,-23288,-20781,-124684,101395,2.69
SENSEX ALL days 2021->2026,HYB50_2500,0.5,1356,661,48.7,317,344,142,854,84,503,-3224,-3382,-20291,-20781,-124684,104393,1.98
SENSEX ALL days 2021->2026,HYB60_3500,0.6,1356,557,41.1,290,267,227,1364,169,1014,-4133,-4293,-25758,-20781,-124684,98926,3.54
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC25,0.25,375,312,83.2,88,224,-806,-4835,-1128,-6766,-2455,-2466,-14794,-17720,-106321,91527,-4.62
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC30,0.3,375,284,75.7,84,200,-630,-3781,-952,-5712,-2712,-2725,-16348,-17720,-106321,89973,-3.76
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC35,0.35,375,249,66.4,83,165,-400,-2399,-722,-4330,-2959,-2984,-17902,-17720,-106321,88419,-2.51
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC40,0.4,375,231,61.6,80,151,-346,-2079,-668,-4009,-3215,-3243,-19456,-17720,-106321,86865,-2.23
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC50,0.5,375,186,49.6,72,114,-121,-726,-443,-2656,-3683,-3761,-22564,-17720,-106321,83758,-0.85
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC60,0.6,375,153,40.8,68,85,16,97,-306,-1834,-4187,-4279,-25671,-17720,-106321,80650,0.12
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC75,0.75,375,128,34.1,62,66,83,499,-239,-1431,-4943,-5055,-30333,-17720,-106321,75988,0.71
NIFTY50 DTE0 2019->2026 (incl COVID),FRAC100,1.0,375,106,28.3,46,60,38,226,-284,-1705,-6127,-6286,-37718,-17720,-106321,68603,0.36
NIFTY50 DTE0 2019->2026 (incl COVID),HYB50_3000,0.5,375,186,49.6,72,114,-121,-726,-443,-2656,-3683,-3761,-22564,-17720,-106321,83758,-0.85
NIFTY50 DTE0 2019->2026 (incl COVID),HYB50_2500,0.5,375,186,49.6,72,114,-120,-722,-442,-2653,-3664,-3672,-22031,-17720,-106321,84290,-0.85
NIFTY50 DTE0 2019->2026 (incl COVID),HYB60_3500,0.6,375,153,40.8,68,85,16,97,-306,-1834,-4187,-4279,-25671,-17720,-106321,80650,0.12
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC25,0.25,2754,2339,84.9,668,1671,-774,-4646,-1137,-6820,-2448,-2480,-14882,-21644,-129862,114980,-13.79
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC30,0.3,2754,2103,76.4,646,1457,-567,-3405,-930,-5578,-2695,-2742,-16451,-21644,-129862,113412,-10.67
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC35,0.35,2754,1892,68.7,610,1279,-404,-2424,-766,-4598,-2940,-3003,-18019,-21644,-129862,111843,-7.97
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC40,0.4,2754,1701,61.8,584,1115,-278,-1667,-640,-3841,-3182,-3264,-19587,-21644,-129862,110275,-5.73
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC50,0.5,2754,1401,50.9,541,860,-89,-536,-452,-2710,-3654,-3787,-22723,-21644,-129862,107139,-2.02
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC60,0.6,2754,1206,43.8,490,716,-20,-120,-382,-2293,-4140,-4310,-25859,-21644,-129862,104003,-0.48
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC75,0.75,2754,1029,37.4,422,606,9,52,-354,-2121,-4832,-5055,-30333,-21644,-129862,99529,0.23
NIFTY50 ALL days 2015->2026 (incl COVID),FRAC100,1.0,2754,822,29.8,330,491,-10,-61,-372,-2234,-5953,-6342,-38050,-21644,-129862,91813,-0.29
NIFTY50 ALL days 2015->2026 (incl COVID),HYB50_3000,0.5,2754,1401,50.9,541,860,-89,-536,-452,-2710,-3654,-3787,-22723,-21644,-129862,107139,-2.02
NIFTY50 ALL days 2015->2026 (incl COVID),HYB50_2500,0.5,2754,1401,50.9,541,860,-89,-534,-451,-2707,-3654,-3675,-22049,-21644,-129862,107814,-2.01
NIFTY50 ALL days 2015->2026 (incl COVID),HYB60_3500,0.6,2754,1206,43.8,490,716,-20,-120,-382,-2293,-4140,-4310,-25859,-21644,-129862,104003,-0.48
