arm,level,fires,n_save,n_cost,saved_total_lot,cost_total_lot,net_effect_lot,net_effect_6L,book_mean_lot,book_mean_6L,book_worst_lot,book_worst_6L,book_win_pct,t
FRAC25,0.25,8,2,6,6160,-20302,-832,-4991,899,5396,-3064,-18384,52.9,-1.34
FRAC30,0.3,8,2,6,3435,-20451,-1001,-6006,730,4382,-3416,-20496,52.9,-1.72
FRAC35,0.35,7,2,5,3478,-19111,-920,-5518,812,4870,-3652,-21912,58.8,-1.49
FRAC40,0.4,5,2,3,3478,-15021,-679,-4074,1052,6314,-3416,-20496,70.6,-1.13
FRAC50,0.5,3,2,1,2361,-5785,-201,-1208,1530,9180,-3416,-20496,76.5,-0.54
FRAC60,0.6,3,2,1,638,-5785,-303,-1817,1429,8572,-4804,-28824,76.5,-0.88
FRAC75,0.75,3,1,2,1029,-6775,-338,-2028,1393,8360,-4211,-25266,76.5,-0.85
FRAC100,1.0,2,0,2,0,-8712,-512,-3075,1219,7313,-6122,-36732,76.5,-1.11
RS1000,1000,9,2,7,5854,-27019,-1245,-7470,486,2918,-3064,-18384,47.1,-1.75
RS1500,1500,7,2,5,3801,-19111,-901,-5404,831,4984,-3652,-21912,58.8,-1.44
RS2000,2000,5,2,3,3478,-15021,-679,-4074,1052,6314,-3416,-20496,70.6,-1.13
RS2500,2500,4,2,2,2361,-13489,-655,-3928,1077,6461,-3416,-20496,70.6,-1.14
RS3000,3000,3,2,1,3493,-5785,-135,-809,1597,9579,-3260,-19560,76.5,-0.35
RS4000,4000,3,1,2,1029,-7956,-407,-2445,1324,7943,-5305,-31830,76.5,-0.87
RS5000,5000,2,0,2,0,-8180,-481,-2887,1250,7501,-6248,-37488,76.5,-1.14
