date,daily_pnl
2024-03-18,-5083.44
2024-03-19,-1831.71
2024-03-20,-2512.72
2024-03-21,-1892.74
2024-03-22,-7508.16
2024-03-26,-8005.13
2024-03-27,-2383.77
2024-03-28,-8591.88
2024-04-01,-4276.53
2024-04-02,-5014.46
2024-04-03,-11049.24
2024-04-04,-13901.12
2024-04-05,-11682.00
2024-04-08,-840.21
2024-04-09,-4249.50
2024-04-10,-7130.38
2024-04-12,-4892.83
2024-04-15,-5111.64
2024-04-16,-724.30
2024-04-18,-6194.98
2024-04-19,-14692.16
2024-04-22,-1912.76
2024-04-23,-8351.42
2024-04-24,-157.93
2024-04-25,-3963.23
2024-04-26,-10603.35
2024-04-29,-10224.54
2024-04-30,-2806.03
2024-05-03,-8452.43
2024-05-06,-4585.79
2024-05-07,2740.82
2024-05-08,-9173.76
2024-05-09,-8145.39
2024-05-10,140.04
2024-05-13,-9750.14
2024-05-14,-9185.93
2024-05-15,-4354.56
2024-05-16,-2087.39
2024-05-17,-5959.55
2024-05-21,-8117.47
2024-05-22,-1993.29
2024-05-23,-8674.84
2024-05-24,-6873.63
2024-05-27,-6173.19
2024-05-28,-10030.17
2024-05-29,-9210.77
2024-05-30,-6719.25
2024-05-31,-11725.17
2024-06-03,304.21
2024-06-04,-41195.72
2024-06-05,9691.73
2024-06-06,-5855.34
2024-06-07,-5764.75
2024-06-10,-5531.77
2024-06-12,-7904.45
2024-06-13,-1957.16
2024-06-14,-4551.39
2024-06-18,-6851.28
2024-06-19,-843.64
2024-06-20,-16014.13
2024-06-21,-8868.71
2024-06-24,-7711.47
2024-06-25,-3669.15
2024-06-26,-2050.15
2024-06-27,-1042.73
2024-06-28,-3981.03
2024-07-01,-8281.87
2024-07-02,-2228.74
2024-07-03,-7560.83
2024-07-04,-4536.98
2024-07-05,-965.84
2024-07-08,-9030.89
2024-07-09,-4079.62
2024-07-10,-2443.76
2024-07-11,-4548.13
2024-07-12,-3758.62
2024-07-15,-8232.41
2024-07-16,-6913.56
2024-07-18,-144.65
