date,baseline,stoch,rsi,stoch_and_rsi
2024-03-18,-2414.19,-1022.65,196.48,0.00
2024-03-19,-4707.58,-2983.06,-1245.64,-2060.37
2024-03-20,-4454.86,-6944.77,-2513.83,-3560.83
2024-03-21,-3121.27,-2871.39,-1775.49,-1097.31
2024-03-22,-5830.73,-5364.48,-2883.26,-1991.99
2024-03-26,-7679.19,-5613.65,-6804.60,-3111.95
2024-03-27,-7540.13,-6464.76,-3354.79,-2861.86
2024-03-28,-4763.94,-6897.51,-3920.38,-1486.85
2024-04-01,-5384.93,-4835.42,-3123.78,-1131.93
2024-04-02,-1480.58,-2249.77,-839.26,-1938.31
2024-04-03,-5327.18,-1916.77,186.82,248.08
2024-04-04,-6877.31,-6468.84,-3081.60,-1675.64
2024-04-05,-2606.79,-4854.88,-4243.73,-1506.60
2024-04-08,-749.59,-805.14,0.00,0.00
2024-04-09,-7429.67,-5598.76,-4628.86,-3848.11
2024-04-10,-6688.51,-5776.14,-4314.49,-2090.57
2024-04-12,-5825.05,-7804.14,-7011.05,-4120.01
2024-04-15,-4515.09,-3213.44,-6081.67,-3497.76
2024-04-16,-139.37,-21.08,-6.61,-21.08
2024-04-18,-4000.36,-3018.05,-3834.18,1634.61
2024-04-19,-2781.20,-2137.04,-1534.97,-1759.37
2024-04-22,-3782.61,-1603.92,-1702.77,-691.23
2024-04-23,-6014.77,-5405.74,-3293.59,-1024.06
2024-04-24,-185.46,0.00,0.00,0.00
2024-04-25,-1625.63,-6222.52,-4942.90,-3165.23
2024-04-26,-1679.63,-1986.22,-818.50,557.47
2024-04-29,-4972.64,-3865.32,-3839.70,-2947.11
2024-04-30,-4709.60,-7155.22,-4559.85,-3410.26
2024-05-02,-989.54,178.20,-987.74,0.00
2024-05-03,-6162.98,-5077.70,-1829.74,-653.94
2024-05-06,-2330.98,1240.41,-161.97,282.59
2024-05-07,1996.09,-7797.26,-8708.97,-4751.80
2024-05-08,-1912.41,-3506.52,-1286.72,-2513.96
2024-05-09,-10404.52,-11074.64,-11511.26,-7257.80
2024-05-10,-871.26,0.30,1.33,0.00
2024-05-13,-2531.77,-1791.80,-527.72,-840.72
2024-05-14,-3704.89,-3763.47,-2994.27,-413.70
2024-05-15,-3522.08,-6368.73,-4127.28,-3332.36
2024-05-16,218.05,-2969.78,-3488.19,-4937.87
2024-05-17,-2838.50,-1375.47,-1730.76,-568.69
2024-05-21,-8134.15,-5016.59,-7086.31,-2186.89
2024-05-22,-4947.51,-3019.52,-3039.79,-1222.98
2024-05-23,-6139.39,-1700.39,447.41,332.77
2024-05-24,-3884.85,-640.85,165.36,-177.64
2024-05-27,-4877.69,-1453.40,-2610.19,-2012.43
2024-05-28,-7098.61,-5360.06,-4356.15,-3397.88
2024-05-29,-4429.38,-2620.47,-1809.66,-1987.82
2024-05-30,-2578.24,-4726.97,-3413.74,-4540.09
2024-05-31,-4975.00,-4084.58,-3716.74,-3551.09
2024-06-03,-904.28,-860.67,-817.54,-817.54
2024-06-04,-16788.66,-7172.64,-10031.79,3353.02
2024-06-05,8586.80,12520.30,86.47,4202.01
2024-06-06,-5109.94,-8763.09,-1312.85,-1312.85
2024-06-07,-11165.34,1939.17,-4748.70,-1958.74
2024-06-10,-2418.18,-2588.27,-2394.80,-636.56
2024-06-11,-67.89,-834.23,0.00,0.00
2024-06-12,-5253.92,-5509.42,-3332.46,-1314.44
2024-06-13,-2259.63,-2039.97,-898.55,119.46
2024-06-14,-6109.89,-1669.13,-4252.89,-806.78
2024-06-18,-5615.36,-5943.43,-5435.40,-3745.15
2024-06-19,-897.24,-919.76,0.00,0.00
2024-06-20,-4016.39,-990.29,-886.72,135.73
2024-06-21,-2747.57,-4842.32,-2517.23,-1984.95
2024-06-24,-5034.67,-4464.16,-2428.37,-1030.50
2024-06-25,-5575.16,-2160.95,-1671.15,133.68
2024-06-26,-2591.21,-3169.45,-907.69,-649.80
2024-06-27,-608.72,315.92,0.00,0.00
2024-06-28,-803.49,-3750.69,211.52,0.00
2024-07-01,-5203.44,-3600.04,-1651.39,-939.57
