stock,trades,wins,losses,win_rate_pct,avg_win,avg_loss,profit_factor,net_pnl,gross_pnl,costs,days_traded,cagr_pct,sharpe,max_dd,max_dd_pct,calmar
ADANIENT,394,155,239,39.34,331.0,-1026.0,0.21,-193960.0,-18112.0,175847.0,394,-48.58,-9.91,193960.0,64.65,-0.75
TATASTEEL,392,145,247,36.99,206.0,-883.0,0.14,-188149.0,-11863.0,176286.0,392,-46.97,-11.66,189537.0,63.18,-0.74
BEL,401,155,246,38.65,299.0,-975.0,0.19,-193367.0,-13728.0,179639.0,401,-47.8,-10.24,196798.0,65.6,-0.73
VEDL,405,175,230,43.21,324.0,-1064.0,0.23,-188063.0,-6153.0,181910.0,405,-45.85,-9.38,189063.0,63.02,-0.73
BPCL,393,161,232,40.97,287.0,-1006.0,0.2,-187176.0,-10565.0,176611.0,393,-46.59,-10.3,190436.0,63.48,-0.73
M&M,394,149,245,37.82,215.0,-895.0,0.15,-187295.0,-10884.0,176411.0,394,-46.54,-11.53,187687.0,62.56,-0.74
BAJFINANCE,394,127,267,32.23,191.0,-831.0,0.11,-197693.0,-20657.0,177035.0,394,-49.75,-13.17,198595.0,66.2,-0.75
TRENT,397,168,229,42.32,325.0,-1028.0,0.23,-180816.0,-3932.0,176884.0,397,-44.34,-9.32,181767.0,60.59,-0.73
HAL,400,158,242,39.5,319.0,-943.0,0.22,-177642.0,210.0,177853.0,400,-43.16,-9.33,179706.0,59.9,-0.72
IRCTC,398,133,265,33.42,291.0,-733.0,0.2,-155604.0,23127.0,178732.0,398,-37.06,-9.56,155604.0,51.87,-0.71
GRASIM,373,136,237,36.46,215.0,-842.0,0.15,-170233.0,-3134.0,167099.0,373,-43.23,-11.56,170690.0,56.9,-0.76
GODREJPROP,401,177,224,44.14,434.0,-1222.0,0.28,-196976.0,-17385.0,179590.0,401,-48.91,-8.58,198627.0,66.21,-0.74
RELIANCE,395,79,316,20.0,141.0,-602.0,0.06,-179120.0,-1858.0,177262.0,395,-44.01,-14.73,179142.0,59.71,-0.74
AXISBANK,392,123,269,31.38,212.0,-731.0,0.13,-170460.0,5472.0,175932.0,392,-41.72,-11.88,171969.0,57.32,-0.73
APOLLOHOSP,378,97,281,25.66,161.0,-686.0,0.08,-177083.0,-8945.0,168138.0,378,-44.84,-14.17,177083.0,59.03,-0.76
PORTFOLIO,5907,2138,3769,36.19,276.0,-884.0,0.18,-2743637.0,-98408.0,2645229.0,484,0.0,-22.02,2743637.0,914.55,0.0
