symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,deviation_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
ADANIENT,2024-03-18,SHORT,2024-03-18T11:35:00,2969.00,2979.35,2958.65,101,10.35,3.12,2024-03-18T12:00:00,2979.35,STOP,-1045.35,-1495.94
ADANIENT,2024-03-19,LONG,2024-03-19T11:35:00,2974.40,2964.98,2983.82,100,9.42,-4.69,2024-03-19T11:40:00,2964.98,STOP,-942.14,-1387.60
ADANIENT,2024-03-20,LONG,2024-03-20T12:15:00,2935.00,2927.64,2942.36,102,7.36,-2.25,2024-03-20T12:30:00,2942.36,TARGET,750.43,300.81
ADANIENT,2024-03-21,LONG,2024-03-21T12:10:00,2969.50,2962.86,2976.14,101,6.64,-3.75,2024-03-21T12:20:00,2976.14,TARGET,670.21,219.83
ADANIENT,2024-03-22,SHORT,2024-03-22T11:40:00,2991.70,2997.46,2985.94,100,5.76,1.94,2024-03-22T12:40:00,2990.70,TIME_STOP,100.00,-348.68
ADANIENT,2024-03-26,LONG,2024-03-26T12:00:00,3036.60,3031.64,3041.56,98,4.96,-1.81,2024-03-26T12:05:00,3031.64,STOP,-486.50,-932.52
ADANIENT,2024-03-27,LONG,2024-03-27T12:30:00,3016.50,3011.65,3021.35,99,4.85,-2.18,2024-03-27T13:10:00,3021.35,TARGET,480.15,31.84
ADANIENT,2024-03-28,SHORT,2024-03-28T11:35:00,3057.70,3065.97,3049.43,98,8.27,2.50,2024-03-28T12:20:00,3065.97,STOP,-810.60,-1260.69
ADANIENT,2024-04-01,SHORT,2024-04-01T12:35:00,3156.90,3163.09,3150.71,95,6.19,1.98,2024-04-01T13:05:00,3150.71,TARGET,587.64,138.23
ADANIENT,2024-04-02,LONG,2024-04-02T11:35:00,3146.90,3141.04,3152.76,95,5.86,-2.59,2024-04-02T11:40:00,3152.76,TARGET,557.11,108.26
ADANIENT,2024-04-03,SHORT,2024-04-03T12:10:00,3148.90,3152.89,3144.91,95,3.99,2.45,2024-04-03T12:40:00,3152.89,STOP,-379.32,-828.32
ADANIENT,2024-04-04,LONG,2024-04-04T11:35:00,3124.40,3115.40,3133.40,96,9.00,-2.42,2024-04-04T12:10:00,3115.40,STOP,-864.00,-1313.27
ADANIENT,2024-04-05,SHORT,2024-04-05T11:35:00,3119.30,3125.75,3112.85,96,6.45,1.81,2024-04-05T11:50:00,3125.75,STOP,-619.20,-1068.84
ADANIENT,2024-04-09,LONG,2024-04-09T12:00:00,3118.60,3115.05,3122.15,96,3.55,-1.80,2024-04-09T12:05:00,3115.05,STOP,-340.80,-789.62
ADANIENT,2024-04-10,SHORT,2024-04-10T12:30:00,3121.80,3127.04,3116.56,96,5.24,1.83,2024-04-10T13:10:00,3127.04,STOP,-503.31,-953.23
ADANIENT,2024-04-12,LONG,2024-04-12T12:40:00,3115.90,3109.30,3122.50,96,6.60,-1.98,2024-04-12T13:20:00,3122.50,TARGET,633.60,184.44
ADANIENT,2024-04-15,SHORT,2024-04-15T12:10:00,3061.60,3067.93,3055.27,97,6.33,2.60,2024-04-15T12:40:00,3055.27,TARGET,613.87,168.87
