label,series,cons,action,freq,n,exit,offset,tax,cash_y,rt,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,cost_pct,tax_pct,avg_inv,secs
C_NIFTYBEES_sma100_n5_donch10_tax0,NIFTYBEES,sma100,cash,weekly,5,donch10,0,0,0.065,0.003,23.63,-25.35,1.33,0.93,25.6,-25.35,1.42,1.01,17.72,-23.46,1.01,0.75,35.46,-25.35,1.73,1.4,159,579,42,728.6,0.0,0.35,0.8
C_NIFTYBEES_sma100_n5_donch10_tax1,NIFTYBEES,sma100,cash,weekly,5,donch10,0,1,0.065,0.003,19.56,-31.52,1.12,0.62,21.1,-31.52,1.19,0.67,13.43,-28.87,0.78,0.47,29.48,-31.52,1.46,0.94,159,579,42,430.0,1007.9,0.35,0.1
C_NIFTYBEES_sma100_n5_donch15_tax0,NIFTYBEES,sma100,cash,weekly,5,donch15,0,0,0.065,0.003,26.57,-23.15,1.34,1.15,30.67,-23.15,1.52,1.32,23.75,-19.17,1.22,1.24,37.99,-23.15,1.7,1.64,159,446,42,751.8,0.0,0.43,0.6
C_NIFTYBEES_sma100_n5_donch15_tax1,NIFTYBEES,sma100,cash,weekly,5,donch15,0,1,0.065,0.003,22.13,-25.52,1.14,0.87,25.44,-25.52,1.28,1.0,19.12,-25.52,1.0,0.75,31.58,-25.3,1.44,1.25,159,446,42,435.1,1316.9,0.43,0.1
C_NIFTYBEES_sma100_n5_donch20_tax0,NIFTYBEES,sma100,cash,weekly,5,donch20,0,0,0.065,0.003,29.07,-24.5,1.37,1.19,31.3,-24.5,1.49,1.28,26.8,-21.56,1.3,1.24,37.53,-24.5,1.63,1.53,159,338,42,971.5,0.0,0.48,0.6
C_NIFTYBEES_sma100_n5_donch20_tax1,NIFTYBEES,sma100,cash,weekly,5,donch20,0,1,0.065,0.003,24.2,-27.75,1.16,0.87,26.05,-27.75,1.26,0.94,21.9,-27.75,1.08,0.79,31.21,-27.63,1.38,1.13,159,338,42,527.2,1865.2,0.48,0.1
C_NIFTYBEES_sma100_n5_donch25_tax0,NIFTYBEES,sma100,cash,weekly,5,donch25,0,0,0.065,0.003,29.13,-27.87,1.33,1.05,30.57,-27.87,1.41,1.1,22.11,-27.87,1.07,0.79,36.82,-27.08,1.55,1.36,159,260,42,968.7,0.0,0.51,0.8
C_NIFTYBEES_sma100_n5_donch25_tax1,NIFTYBEES,sma100,cash,weekly,5,donch25,0,1,0.065,0.003,24.25,-33.23,1.13,0.73,25.48,-33.23,1.19,0.77,17.65,-33.23,0.88,0.53,30.8,-29.49,1.32,1.04,159,260,42,515.2,1915.2,0.51,0.1
C_NIFTYBEES_sma100_n5_none_tax0,NIFTYBEES,sma100,cash,weekly,5,none,0,0,0.065,0.003,30.39,-36.99,1.22,0.82,32.68,-36.99,1.34,0.88,28.65,-26.11,1.16,1.1,29.07,-36.99,1.2,0.79,159,0,42,837.1,0.0,0.6,0.0
C_NIFTYBEES_sma100_n5_none_tax1,NIFTYBEES,sma100,cash,weekly,5,none,0,1,0.065,0.003,25.5,-37.18,1.05,0.69,27.5,-37.18,1.14,0.74,23.56,-26.11,0.98,0.9,24.31,-37.18,1.02,0.65,159,0,42,437.8,2687.2,0.61,0.1
C_NIFTYBEES_sma100_n5_atr20_tax0,NIFTYBEES,sma100,cash,weekly,5,atr20,0,0,0.065,0.003,18.61,-37.35,1.12,0.5,17.85,-37.35,1.1,0.48,10.71,-33.8,0.7,0.32,22.99,-37.35,1.27,0.62,159,658,42,505.6,0.0,0.33,0.6
C_NIFTYBEES_sma100_n5_atr20_tax1,NIFTYBEES,sma100,cash,weekly,5,atr20,0,1,0.065,0.003,15.06,-41.3,0.93,0.36,14.24,-41.3,0.9,0.34,7.13,-37.07,0.49,0.19,18.34,-41.3,1.05,0.44,159,658,42,322.7,543.8,0.33,0.1
C_NIFTYBEES_sma100_n5_smatr50_tax0,NIFTYBEES,sma100,cash,weekly,5,smatr50,0,0,0.065,0.003,23.57,-28.08,1.2,0.84,27.0,-28.08,1.35,0.96,24.42,-28.08,1.26,0.87,30.86,-27.79,1.43,1.11,159,353,42,487.9,0.0,0.45,0.6
C_NIFTYBEES_sma100_n5_smatr50_tax1,NIFTYBEES,sma100,cash,weekly,5,smatr50,0,1,0.065,0.003,19.51,-34.04,1.01,0.57,22.32,-34.04,1.14,0.66,20.09,-34.04,1.05,0.59,25.59,-30.1,1.21,0.85,159,353,42,291.9,901.1,0.45,0.1
C_NIFTYBEES_sma100_n5_smatr100_tax0,NIFTYBEES,sma100,cash,weekly,5,smatr100,0,0,0.065,0.003,29.45,-39.75,1.29,0.74,32.89,-39.75,1.43,0.83,28.55,-29.44,1.27,0.97,32.48,-39.75,1.37,0.82,159,168,42,873.8,0.0,0.54,0.7
C_NIFTYBEES_sma100_n5_smatr100_tax1,NIFTYBEES,sma100,cash,weekly,5,smatr100,0,1,0.065,0.003,24.6,-40.94,1.1,0.6,27.49,-40.94,1.22,0.67,23.61,-35.25,1.07,0.67,26.81,-40.94,1.16,0.65,159,168,42,465.8,2320.7,0.54,0.1
C_NIFTYBEES_sma100_n8_donch10_tax0,NIFTYBEES,sma100,cash,weekly,8,donch10,0,0,0.065,0.003,20.59,-21.66,1.34,0.95,21.55,-21.66,1.41,0.99,13.67,-20.48,0.97,0.67,28.81,-17.35,1.64,1.66,159,936,42,479.7,0.0,0.35,0.0
C_NIFTYBEES_sma100_n8_donch10_tax1,NIFTYBEES,sma100,cash,weekly,8,donch10,0,1,0.065,0.003,17.08,-26.73,1.13,0.64,17.72,-26.73,1.17,0.66,10.21,-25.63,0.74,0.4,24.12,-22.92,1.41,1.05,159,936,42,305.2,577.4,0.35,0.1
