label,family,params,tax,rt,n_trades,win_rate,avg_win,avg_loss,expectancy,max_lose_streak,tax_paid,corr_tn_d,secs,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar
kc_base_tax0,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': 0.15, 'hold': 15}",0,0.005,1336,59.1,4.51,-6.56,-0.016,28,0.0,0.108,0.6,3.85,-34.97,0.46,0.11,5.09,-20.98,0.62,0.24,5.5,-3.18,1.42,1.73,4.63,-20.98,0.44,0.22
kc_base_tax1,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': 0.15, 'hold': 15}",1,0.005,1336,59.1,4.51,-6.56,-0.016,28,17.5,0.118,0.6,3.24,-34.97,0.4,0.09,4.48,-20.98,0.55,0.21,5.3,-3.18,1.37,1.67,3.51,-20.98,0.35,0.17
kc_sl7_tax0,kc6,"{'mult': 1.3, 'sl': 0.07, 'tp': 0.15, 'hold': 15}",0,0.005,1274,60.6,4.47,-6.93,-0.024,19,0.0,0.111,0.6,3.76,-33.92,0.45,0.11,5.01,-23.36,0.6,0.21,6.35,-2.92,1.61,2.17,4.54,-23.36,0.43,0.19
kc_sl7_tax1,kc6,"{'mult': 1.3, 'sl': 0.07, 'tp': 0.15, 'hold': 15}",1,0.005,1274,60.6,4.47,-6.93,-0.024,19,17.4,0.12,0.7,3.15,-33.92,0.38,0.09,4.38,-23.36,0.53,0.19,6.05,-2.92,1.53,2.07,3.36,-23.36,0.33,0.14
kc_noTP_tax0,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': None, 'hold': 15}",0,0.005,1333,59.0,4.52,-6.56,-0.021,28,0.0,0.109,0.6,3.82,-33.57,0.46,0.11,4.9,-20.98,0.6,0.23,5.5,-3.18,1.42,1.73,4.22,-20.98,0.4,0.2
kc_noTP_tax1,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': None, 'hold': 15}",1,0.005,1333,59.0,4.52,-6.56,-0.021,28,17.8,0.119,0.7,3.21,-33.57,0.39,0.1,4.29,-20.98,0.53,0.2,5.3,-3.18,1.37,1.67,3.11,-20.98,0.31,0.15
kc_m15_tax0,kc6,"{'mult': 1.5, 'sl': 0.05, 'tp': 0.15, 'hold': 15}",0,0.005,413,55.2,5.47,-7.24,-0.218,12,0.0,0.054,0.6,4.17,-27.06,0.82,0.15,5.84,-7.19,1.36,0.81,4.61,-2.75,2.72,1.67,6.58,-7.19,1.07,0.92
kc_m15_tax1,kc6,"{'mult': 1.5, 'sl': 0.05, 'tp': 0.15, 'hold': 15}",1,0.005,413,55.2,5.47,-7.24,-0.218,12,9.3,0.061,0.7,3.86,-27.06,0.76,0.14,5.5,-7.19,1.27,0.77,4.47,-2.75,2.61,1.62,6.02,-7.19,0.98,0.84
kc_crash_tax0,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': 0.15, 'hold': 15, 'crash': True}",0,0.005,1229,60.5,4.3,-6.31,0.104,20,0.0,0.103,1.8,4.74,-22.29,0.61,0.21,5.15,-16.03,0.64,0.32,5.32,-3.18,1.38,1.67,4.86,-16.03,0.46,0.3
kc_crash_tax1,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': 0.15, 'hold': 15, 'crash': True}",1,0.005,1229,60.5,4.3,-6.31,0.104,20,18.9,0.112,0.7,4.19,-22.29,0.55,0.19,4.6,-16.03,0.57,0.29,5.11,-3.18,1.32,1.61,3.88,-16.03,0.38,0.24
kc_hold10_tax0,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': 0.15, 'hold': 10}",0,0.005,1336,59.1,4.51,-6.55,-0.009,28,0.0,0.109,0.6,3.9,-34.97,0.47,0.11,5.16,-20.98,0.63,0.25,5.59,-3.18,1.44,1.76,4.67,-20.98,0.44,0.22
kc_hold10_tax1,kc6,"{'mult': 1.3, 'sl': 0.05, 'tp': 0.15, 'hold': 10}",1,0.005,1336,59.1,4.51,-6.55,-0.009,28,17.9,0.118,0.7,3.28,-34.97,0.4,0.09,4.53,-20.98,0.55,0.22,5.37,-3.18,1.39,1.69,3.54,-20.98,0.35,0.17
p_sma_2R_t10_tax0,pull,"{'rr': 2.0, 'time': 10}",0,0.005,4745,35.6,6.11,-4.66,-0.823,49,0.0,0.295,1.0,-16.36,-97.76,-1.11,-0.17,-13.87,-90.69,-1.02,-0.15,-11.74,-39.34,-1.23,-0.3,-21.81,-81.78,-1.26,-0.27
p_sma_2R_t10_tax1,pull,"{'rr': 2.0, 'time': 10}",1,0.005,4744,35.6,6.11,-4.66,-0.821,49,2.3,0.3,1.1,-16.65,-97.92,-1.14,-0.17,-13.99,-90.87,-1.03,-0.15,-11.74,-39.34,-1.23,-0.3,-22.04,-82.14,-1.28,-0.27
p_ema_2R_t10_tax0,pull,"{'rr': 2.0, 'time': 10, 'ema': True}",0,0.005,4789,35.1,6.21,-4.66,-0.838,40,0.0,0.287,1.0,-16.86,-97.92,-1.14,-0.17,-14.06,-91.26,-1.02,-0.15,-12.02,-42.97,-1.27,-0.28,-21.74,-82.33,-1.24,-0.26
