cand,offset,w3,cagr_med,cagr_min,dd_med,dd_worst,calmar_med
GOLD,0,0.0,29.63,29.16,-14.88,-16.69,2.02
GOLD,0,0.1,28.36,27.94,-12.05,-13.64,2.37
GOLD,0,0.15,27.7,27.31,-10.66,-12.08,2.6
GOLD,0,0.2,27.03,26.67,-9.3,-10.73,2.92
GOLD,0,0.25,26.35,26.01,-8.34,-9.82,3.25
GOLD,0,0.33,25.23,24.93,-7.36,-8.7,3.44
GOLD,4,0.0,30.87,30.44,-17.49,-18.87,1.77
GOLD,4,0.1,29.48,29.09,-14.63,-15.67,2.01
GOLD,4,0.15,28.76,28.4,-13.23,-14.22,2.17
GOLD,4,0.2,28.02,27.69,-11.82,-12.76,2.37
GOLD,4,0.25,27.27,26.96,-10.39,-11.5,2.62
GOLD,4,0.33,26.05,25.78,-8.84,-10.37,2.96
GOLD,8,0.0,27.15,26.7,-15.99,-16.54,1.72
GOLD,8,0.1,26.15,25.76,-13.29,-13.72,2.0
GOLD,8,0.15,25.63,25.26,-11.84,-12.29,2.19
GOLD,8,0.2,25.09,24.75,-10.37,-10.84,2.44
GOLD,8,0.25,24.55,24.22,-8.97,-9.43,2.76
GOLD,8,0.33,23.63,23.35,-7.29,-7.75,3.26
NAS,0,0.0,29.63,29.16,-14.88,-16.69,2.02
NAS,0,0.1,29.46,29.04,-13.14,-13.87,2.27
NAS,0,0.15,29.34,28.95,-13.29,-13.62,2.21
NAS,0,0.2,29.2,28.83,-14.04,-14.36,2.09
NAS,0,0.25,29.05,28.7,-14.86,-15.28,1.95
NAS,0,0.33,28.75,28.44,-16.37,-16.77,1.75
NAS,4,0.0,30.87,30.44,-17.49,-18.87,1.77
NAS,4,0.1,30.59,30.2,-15.38,-16.06,2.02
NAS,4,0.15,30.41,30.05,-15.09,-15.42,2.04
NAS,4,0.2,30.22,29.87,-15.37,-15.72,1.98
NAS,4,0.25,30.0,29.68,-15.92,-16.39,1.88
NAS,4,0.33,29.61,29.32,-17.33,-17.72,1.7
NAS,8,0.0,27.15,26.7,-15.99,-16.54,1.72
NAS,8,0.1,27.23,26.83,-14.86,-16.63,1.86
NAS,8,0.15,27.23,26.86,-14.64,-16.68,1.86
NAS,8,0.2,27.23,26.87,-14.77,-16.74,1.83
