cand,window,sleeve_ret,base_dd,w25_dd
GOLD,2015-16,16.5,-6.76,-2.59
GOLD,2018,7.2,-10.97,-7.97
GOLD,2020crash,17.6,-1.52,-0.57
GOLD,2022H1,4.9,-8.82,-6.86
NAS,2015-16,3.8,-6.76,-6.21
NAS,2018,21.5,-10.97,-8.58
NAS,2020crash,4.5,-1.52,-1.59
NAS,2022H1,-25.2,-8.82,-12.4
GILT,2015-16,,,
GILT,2018,2.7,-10.99,-7.38
GILT,2020crash,6.4,-1.52,-0.93
GILT,2022H1,-5.1,-8.82,-7.12
GOLD_TF,2015-16,11.8,-6.76,-3.61
GOLD_TF,2018,0.5,-10.97,-8.65
GOLD_TF,2020crash,17.6,-1.52,-0.57
GOLD_TF,2022H1,4.9,-8.82,-6.86
NAS_TF,2015-16,-2.5,-6.76,-6.21
NAS_TF,2018,21.5,-10.97,-8.58
NAS_TF,2020crash,4.5,-1.52,-1.59
NAS_TF,2022H1,-15.6,-8.82,-8.11
GN5050,2015-16,10.7,-6.76,-3.7
GN5050,2018,14.8,-10.97,-7.56
GN5050,2020crash,11.7,-1.52,-0.99
GN5050,2022H1,-10.9,-8.82,-9.68
GNG3,2015-16,,,
GNG3,2018,11.1,-10.99,-7.41
GNG3,2020crash,11.2,-1.52,-0.71
GNG3,2022H1,-8.9,-8.82,-8.83
GTAA_EW,2015-16,0.4,-6.76,-5.15
GTAA_EW,2018,10.2,-10.97,-8.36
GTAA_EW,2020crash,1.8,-1.52,-3.05
GTAA_EW,2022H1,-10.5,-8.82,-9.4
GTAA_TF,2015-16,1.8,-6.76,-4.57
GTAA_TF,2018,7.8,-10.97,-8.77
GTAA_TF,2020crash,6.6,-1.52,-0.97
GTAA_TF,2022H1,-5.4,-8.82,-7.56
TLS,2015-16,7.6,-6.76,-2.32
TLS,2018,0.6,-10.97,-10.2
TLS,2020crash,-35.6,-1.52,-9.65
TLS,2022H1,-4.7,-8.82,-7.54
TSHORT,2015-16,15.9,-6.76,-2.32
TSHORT,2018,4.0,-10.97,-7.57
TSHORT,2020crash,-11.8,-1.52,-3.97
TSHORT,2022H1,5.0,-8.82,-5.76
SECROT,2015-16,-17.6,-6.76,-8.63
SECROT,2018,5.5,-10.97,-9.51
SECROT,2020crash,-31.6,-1.52,-9.79
SECROT,2022H1,-18.3,-8.82,-9.19
CASHNULL,2015-16,2.8,-6.76,-4.89
CASHNULL,2018,4.0,-10.97,-7.57
CASHNULL,2020crash,1.1,-1.52,-1.03
CASHNULL,2022H1,2.4,-8.82,-6.37
