symbol,signal,n_live,exp_mean_pct,live_mean_pct,exp_sharpe,exp_wr,live_wr
COCHINSHIP,volbo,6,0.695,0.992,0.69,78.57,0.667
LT,volbo,4,0.676,0.246,0.57,81.82,0.5
RBLBANK,volbo,4,1.079,1.147,0.92,92.31,0.75
ADANIGREEN,volbo,3,2.953,0.074,0.56,81.82,0.333
LAURUSLABS,volbo,3,1.422,1.707,0.77,84.62,1.0
HDFCAMC,volbo,3,1.461,0.036,1.0,90.91,0.333
GODFRYPHLP,volbo,3,1.884,-0.436,0.61,80.0,0.333
HAL,volbo,3,1.409,0.758,1.35,90.0,0.667
EICHERMOT,volbo,2,0.504,-0.92,0.65,80.0,0.5
ACC,volbo,2,0.85,0.884,0.57,86.67,1.0
AARTIIND,volbo,1,1.942,-0.842,0.6,80.0,0.0
IDFCFIRSTB,ccrb,1,0.709,-0.481,1.0,88.89,0.0
