variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,vol_spike,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
spike_2x,INDUSINDBK,2024-04-19,LONG,2024-04-19T12:50:00,1480.95,1476.65,1489.65,202,4.76,5.73,2024-04-19T13:35:00,1476.65,STOP,-868.60,-1316.68
spike_2x,INDUSINDBK,2024-05-13,LONG,2024-05-13T13:55:00,1399.00,1384.40,1420.90,171,4.45,2.05,2024-05-13T14:50:00,1402.20,TIME_STOP,547.20,187.95
spike_2x,INDUSINDBK,2024-05-16,LONG,2024-05-16T12:15:00,1407.75,1400.60,1418.85,213,4.55,7.10,2024-05-16T12:25:00,1400.60,STOP,-1522.95,-1971.58
spike_2x,INDUSINDBK,2024-06-04,LONG,2024-06-04T14:00:00,1434.25,1431.75,1438.00,209,10.71,2.53,2024-06-04T14:00:00,1431.75,STOP,-522.50,-971.75
spike_2x,INDUSINDBK,2024-06-05,LONG,2024-06-05T13:00:00,1466.40,1456.60,1480.48,204,6.92,2.50,2024-06-05T13:30:00,1480.48,TARGET,2871.30,2420.43
spike_2x,INDUSINDBK,2024-06-26,LONG,2024-06-26T11:35:00,1520.75,1514.05,1530.68,197,4.62,2.60,2024-06-26T11:45:00,1514.05,STOP,-1319.90,-1768.29
spike_2x,INDUSINDBK,2024-08-07,SHORT,2024-08-07T12:05:00,1347.50,1350.00,1344.50,222,4.30,3.54,2024-08-07T12:15:00,1350.00,STOP,-555.00,-1004.13
spike_2x,INDUSINDBK,2024-10-07,LONG,2024-10-07T11:25:00,1387.35,1373.05,1408.80,174,5.91,3.37,2024-10-07T11:35:00,1373.05,STOP,-2488.20,-2848.43
spike_2x,INDUSINDBK,2024-11-14,SHORT,2024-11-14T11:10:00,1025.00,1027.45,1021.32,292,3.39,2.11,2024-11-14T12:05:00,1026.10,TIME_STOP,-321.20,-770.39
spike_2x,INDUSINDBK,2024-12-13,LONG,2024-12-13T12:20:00,982.00,977.30,988.30,305,3.10,5.06,2024-12-13T13:15:00,984.00,TIME_STOP,610.00,160.28
spike_2x,INDUSINDBK,2024-12-30,SHORT,2024-12-30T12:30:00,963.35,968.90,955.65,311,3.04,2.26,2024-12-30T13:25:00,958.05,TIME_STOP,1648.30,1200.13
spike_2x,INDUSINDBK,2025-01-03,SHORT,2025-01-03T13:20:00,1003.85,1008.05,996.30,298,4.23,2.21,2025-01-03T13:30:00,1008.05,STOP,-1251.60,-1701.26
spike_2x,INDUSINDBK,2025-01-06,SHORT,2025-01-06T11:50:00,973.25,978.35,965.60,308,3.22,2.05,2025-01-06T12:40:00,978.35,STOP,-1570.80,-2021.62
spike_2x,INDUSINDBK,2025-01-08,SHORT,2025-01-08T11:20:00,968.65,974.60,959.72,309,3.35,2.51,2025-01-08T11:30:00,974.60,STOP,-1838.55,-2288.90
spike_2x,INDUSINDBK,2025-01-10,SHORT,2025-01-10T11:40:00,954.35,959.95,945.45,314,3.19,2.19,2025-01-10T12:05:00,945.45,TARGET,2794.60,2347.20
spike_2x,INDUSINDBK,2025-01-31,LONG,2025-01-31T11:00:00,983.55,976.80,993.67,305,4.25,2.38,2025-01-31T11:55:00,989.00,TIME_STOP,1662.25,1211.03
spike_2x,INDUSINDBK,2025-02-07,SHORT,2025-02-07T12:20:00,1069.60,1071.90,1066.15,280,3.59,2.26,2025-02-07T12:20:00,1071.90,STOP,-644.00,-1093.72
spike_2x,INDUSINDBK,2025-02-12,LONG,2025-02-12T11:55:00,1037.65,1034.80,1042.68,289,4.04,2.10,2025-02-12T12:00:00,1042.68,TARGET,1452.23,1001.31
spike_2x,INDUSINDBK,2025-03-11,SHORT,2025-03-11T12:10:00,676.70,693.30,652.55,150,4.28,2.32,2025-03-11T13:05:00,666.25,TIME_STOP,1567.50,1416.42
spike_2x,INDUSINDBK,2025-03-12,LONG,2025-03-12T13:35:00,695.15,690.30,702.42,431,3.34,3.94,2025-03-12T13:50:00,690.30,STOP,-2090.35,-2538.20
spike_2x,INDUSINDBK,2025-03-13,SHORT,2025-03-13T13:05:00,677.75,680.30,673.80,442,2.06,3.76,2025-03-13T13:10:00,680.30,STOP,-1127.10,-1577.29
spike_2x,INDUSINDBK,2025-03-17,SHORT,2025-03-17T12:00:00,687.00,692.55,680.18,436,2.41,2.80,2025-03-17T12:55:00,683.50,TIME_STOP,1526.00,1077.85
spike_2x,INDUSINDBK,2025-03-28,SHORT,2025-03-28T12:20:00,656.90,661.25,651.13,456,2.11,2.30,2025-03-28T12:30:00,651.13,TARGET,2633.40,2186.06
spike_2x,INDUSINDBK,2025-04-02,LONG,2025-04-02T12:15:00,702.55,696.30,712.93,400,2.96,16.01,2025-04-02T13:10:00,703.70,TIME_STOP,460.00,38.13
spike_2x,INDUSINDBK,2025-04-07,LONG,2025-04-07T13:35:00,672.50,667.15,679.78,446,2.65,4.72,2025-04-07T14:00:00,667.15,STOP,-2386.10,-2834.21
spike_2x,INDUSINDBK,2025-04-08,SHORT,2025-04-08T13:50:00,676.90,680.10,671.85,443,2.36,2.78,2025-04-08T14:45:00,677.50,TIME_STOP,-265.80,-715.80
spike_2x,INDUSINDBK,2025-04-16,LONG,2025-04-16T13:45:00,781.90,778.10,787.35,383,2.42,2.43,2025-04-16T14:00:00,787.35,TARGET,2087.35,1636.58
spike_2x,INDUSINDBK,2025-04-17,LONG,2025-04-17T11:45:00,800.05,795.05,807.43,374,3.06,4.60,2025-04-17T11:55:00,795.05,STOP,-1870.00,-2317.43
spike_2x,INDUSINDBK,2025-04-24,SHORT,2025-04-24T12:50:00,818.60,832.95,799.45,174,2.71,7.60,2025-04-24T13:45:00,828.55,TIME_STOP,-1731.30,-1946.25
spike_2x,INDUSINDBK,2025-04-29,LONG,2025-04-29T12:40:00,836.20,834.10,839.35,358,2.68,2.25,2025-04-29T13:35:00,838.45,TIME_STOP,805.50,355.86
spike_2x,INDUSINDBK,2025-04-30,LONG,2025-04-30T13:05:00,836.95,829.15,849.28,320,2.82,2.80,2025-04-30T14:00:00,835.85,TIME_STOP,-352.00,-753.47
spike_2x,INDUSINDBK,2025-05-02,LONG,2025-05-02T12:50:00,853.55,850.35,860.22,351,2.64,2.84,2025-05-02T13:45:00,855.50,TIME_STOP,684.45,234.54
spike_2x,INDUSINDBK,2025-05-12,SHORT,2025-05-12T11:30:00,801.35,815.00,780.88,183,3.06,21.28,2025-05-12T12:25:00,794.95,TIME_STOP,1171.20,952.11
spike_2x,INDUSINDBK,2025-05-14,LONG,2025-05-14T12:05:00,784.40,780.50,789.75,382,2.39,3.18,2025-05-14T12:20:00,780.50,STOP,-1489.80,-1938.14
spike_2x,INDUSINDBK,2025-05-22,LONG,2025-05-22T13:50:00,775.45,772.20,780.33,386,2.88,3.17,2025-05-22T14:15:00,772.20,STOP,-1254.50,-1702.54
spike_2x,INDUSINDBK,2025-06-23,LONG,2025-06-23T12:10:00,838.95,833.55,847.05,357,2.64,6.09,2025-06-23T13:05:00,840.05,TIME_STOP,392.70,-56.85
spike_2x,INDUSINDBK,2025-06-27,LONG,2025-06-27T11:50:00,864.30,851.20,883.32,190,4.04,15.33,2025-06-27T12:45:00,859.00,TIME_STOP,-1007.00,-1252.57
spike_2x,INDUSINDBK,2025-07-18,LONG,2025-07-18T11:40:00,873.55,871.50,876.50,343,2.65,3.55,2025-07-18T12:05:00,871.50,STOP,-703.15,-1152.06
spike_2x,INDUSINDBK,2025-07-29,LONG,2025-07-29T13:20:00,800.45,794.75,809.00,374,2.70,2.36,2025-07-29T14:00:00,809.00,TARGET,3197.70,2746.25
spike_2x,INDUSINDBK,2025-08-06,SHORT,2025-08-06T11:05:00,800.30,802.35,797.22,374,3.04,4.23,2025-08-06T11:05:00,797.22,TARGET,1150.05,701.94
spike_2x,INDUSINDBK,2025-10-17,LONG,2025-10-17T11:15:00,751.80,745.75,760.87,399,2.26,7.95,2025-10-17T11:45:00,760.87,TARGET,3620.92,3168.26
spike_2x,INDUSINDBK,2025-11-12,LONG,2025-11-12T12:10:00,855.35,854.00,858.38,350,2.67,2.46,2025-11-12T12:25:00,858.38,TARGET,1058.75,608.90
spike_2x,INDUSINDBK,2025-11-14,SHORT,2025-11-14T11:45:00,859.50,860.95,857.32,349,2.69,2.16,2025-11-14T11:50:00,860.95,STOP,-506.05,-956.38
spike_2x,INDUSINDBK,2025-12-04,LONG,2025-12-04T11:05:00,871.70,863.65,882.90,310,3.73,4.95,2025-12-04T12:00:00,866.10,TIME_STOP,-1736.00,-2140.04
