variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,vol_spike,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
rr_1.5_spike_3x,ASIANPAINT,2024-05-09,SHORT,2024-05-09T13:55:00,2749.00,2772.00,2714.50,108,18.01,5.30,2024-05-09T14:40:00,2714.50,TARGET,3726.00,3283.46
rr_1.5_spike_3x,ASIANPAINT,2024-05-13,LONG,2024-05-13T11:05:00,2834.00,2811.00,2868.50,105,11.99,3.89,2024-05-13T11:30:00,2868.50,TARGET,3622.50,3173.43
rr_1.5_spike_3x,ASIANPAINT,2024-10-04,SHORT,2024-10-04T12:45:00,3104.90,3124.20,3075.95,96,12.32,3.07,2024-10-04T13:00:00,3075.95,TARGET,2779.20,2334.18
rr_1.5_spike_3x,ASIANPAINT,2025-02-01,LONG,2025-02-01T12:35:00,2324.65,2307.20,2350.83,129,10.34,10.24,2025-02-01T12:45:00,2350.83,TARGET,3376.58,2924.22
rr_1.5_spike_3x,ASIANPAINT,2025-02-04,LONG,2025-02-04T12:20:00,2365.65,2292.95,2474.70,34,12.52,11.69,2025-02-04T13:45:00,2339.20,TIME_STOP,-899.30,-1019.27
rr_1.5_spike_3x,ASIANPAINT,2026-01-27,SHORT,2026-01-27T14:00:00,2640.40,2670.80,2594.80,82,8.84,8.94,2026-01-27T14:00:00,2594.80,TARGET,3739.20,3417.24
rr_1.5_spike_3x,LT,2024-05-08,LONG,2024-05-08T11:50:00,3469.30,3445.00,3505.75,86,13.21,3.03,2024-05-08T12:30:00,3445.00,STOP,-2089.80,-2535.77
rr_1.5_spike_3x,LT,2024-07-23,SHORT,2024-07-23T11:55:00,3591.40,3652.85,3499.23,40,20.73,4.83,2024-07-23T12:15:00,3499.23,TARGET,3687.00,3474.28
rr_1.5_spike_3x,LT,2025-01-30,SHORT,2025-01-30T12:00:00,3455.00,3480.35,3416.98,86,11.63,6.25,2025-01-30T12:05:00,3416.98,TARGET,3270.15,2826.91
rr_1.5_spike_3x,LT,2025-02-01,SHORT,2025-02-01T11:55:00,3500.00,3599.95,3350.08,25,20.09,13.26,2025-02-01T13:20:00,3419.00,TIME_STOP,2025.00,1895.27
rr_1.5_spike_3x,LT,2025-04-08,LONG,2025-04-08T12:40:00,3182.10,3173.30,3195.30,94,12.34,4.96,2025-04-08T13:05:00,3173.30,STOP,-827.20,-1275.26
rr_1.5_spike_3x,LT,2025-06-24,SHORT,2025-06-24T13:40:00,3612.30,3632.20,3582.45,83,11.49,3.04,2025-06-24T15:05:00,3605.50,TIME_STOP,564.40,115.09
rr_1.5_spike_3x,JSWSTEEL,2024-05-07,SHORT,2024-05-07T11:05:00,859.00,864.50,850.75,349,2.88,4.98,2024-05-07T11:15:00,850.75,TARGET,2879.25,2431.72
rr_1.5_spike_3x,JSWSTEEL,2024-05-17,LONG,2024-05-17T11:45:00,908.40,899.35,921.97,276,3.17,3.46,2024-05-17T12:25:00,911.35,EOD_FORCED,814.20,437.51
rr_1.5_spike_3x,JSWSTEEL,2024-06-05,LONG,2024-06-05T13:40:00,861.65,857.15,868.40,348,3.69,3.31,2024-06-05T13:50:00,868.40,TARGET,2349.00,1897.46
rr_1.5_spike_3x,JSWSTEEL,2024-07-23,SHORT,2024-07-23T12:20:00,876.15,883.50,865.12,340,2.74,3.75,2024-07-23T12:35:00,883.50,STOP,-2499.00,-2947.71
rr_1.5_spike_3x,JSWSTEEL,2024-08-05,SHORT,2024-08-05T11:55:00,856.55,862.30,847.92,350,3.70,5.44,2024-08-05T12:15:00,862.30,STOP,-2012.50,-2463.70
rr_1.5_spike_3x,JSWSTEEL,2024-12-13,LONG,2024-12-13T12:05:00,988.50,986.75,991.12,303,2.97,7.90,2024-12-13T12:05:00,986.75,STOP,-530.25,-979.13
rr_1.5_spike_3x,JSWSTEEL,2025-05-02,SHORT,2025-05-02T11:20:00,995.60,1005.00,981.50,265,4.78,3.85,2025-05-02T11:20:00,981.50,TARGET,3736.50,3343.55
rr_1.5_spike_3x,JSWSTEEL,2025-05-12,LONG,2025-05-12T13:35:00,1006.00,1001.30,1013.05,298,3.64,6.42,2025-05-12T14:45:00,1001.30,STOP,-1400.60,-1849.23
rr_1.5_spike_3x,JSWSTEEL,2025-05-26,LONG,2025-05-26T13:15:00,1034.40,998.20,1088.70,69,7.22,13.69,2025-05-26T14:40:00,1030.60,TIME_STOP,-262.20,-369.06
rr_1.5_spike_3x,JSWSTEEL,2025-06-04,SHORT,2025-06-04T11:15:00,967.75,970.20,964.07,309,3.04,4.43,2025-06-04T11:30:00,964.07,TARGET,1135.58,687.87
rr_1.5_spike_3x,JSWSTEEL,2025-07-02,LONG,2025-07-02T11:30:00,1047.10,1041.30,1055.80,286,3.24,7.20,2025-07-02T11:45:00,1055.80,TARGET,2488.20,2037.13
rr_1.5_spike_3x,JSWSTEEL,2025-12-09,LONG,2025-12-09T11:30:00,1117.50,1105.80,1135.05,213,4.29,9.75,2025-12-09T12:55:00,1109.10,TIME_STOP,-1789.20,-2144.90
rr_1.5_spike_3x,HEROMOTOCO,2024-06-18,SHORT,2024-06-18T12:15:00,5632.05,5656.05,5596.05,53,17.15,4.82,2024-06-18T12:30:00,5656.05,STOP,-1272.00,-1720.70
rr_1.5_spike_3x,HEROMOTOCO,2024-06-28,LONG,2024-06-28T11:05:00,5429.65,5418.60,5446.22,55,16.88,3.29,2024-06-28T11:10:00,5418.60,STOP,-607.75,-1055.24
rr_1.5_spike_3x,HEROMOTOCO,2024-07-23,LONG,2024-07-23T11:15:00,5374.60,5337.20,5430.70,55,16.75,5.11,2024-07-23T11:25:00,5430.70,TARGET,3085.50,2639.78
rr_1.5_spike_3x,HEROMOTOCO,2024-08-13,SHORT,2024-08-13T12:00:00,5177.80,5215.85,5120.73,57,15.76,3.08,2024-08-13T13:25:00,5134.50,TIME_STOP,2468.10,2027.25
rr_1.5_spike_3x,HEROMOTOCO,2024-09-17,LONG,2024-09-17T11:00:00,5751.95,5741.90,5767.02,52,22.37,3.12,2024-09-17T11:00:00,5741.90,STOP,-522.60,-970.86
rr_1.5_spike_3x,HEROMOTOCO,2024-10-24,SHORT,2024-10-24T12:20:00,4991.80,5029.10,4935.85,60,15.69,3.28,2024-10-24T13:45:00,4990.00,TIME_STOP,108.00,-341.18
rr_1.5_spike_3x,HEROMOTOCO,2024-11-13,SHORT,2024-11-13T11:30:00,4461.10,4477.65,4436.28,67,14.18,3.26,2024-11-13T12:15:00,4477.65,STOP,-1108.85,-1558.02
rr_1.5_spike_3x,HEROMOTOCO,2024-12-23,SHORT,2024-12-23T13:55:00,4160.45,4172.55,4142.30,72,12.75,4.87,2024-12-23T14:15:00,4172.55,STOP,-871.20,-1321.18
rr_1.5_spike_3x,HEROMOTOCO,2025-02-01,LONG,2025-02-01T12:20:00,4265.65,4177.80,4397.42,28,24.04,8.88,2025-02-01T12:25:00,4397.42,TARGET,3689.70,3507.78
rr_1.5_spike_3x,HEROMOTOCO,2025-05-02,SHORT,2025-05-02T12:50:00,3743.00,3762.50,3713.75,80,13.48,4.93,2025-05-02T13:30:00,3762.50,STOP,-1560.00,-2010.33
rr_1.5_spike_3x,HEROMOTOCO,2025-08-07,LONG,2025-08-07T13:00:00,4607.60,4581.30,4647.05,65,13.91,3.35,2025-08-07T14:25:00,4634.50,TIME_STOP,1748.50,1297.95
rr_1.5_spike_3x,HEROMOTOCO,2026-01-28,LONG,2026-01-28T14:05:00,5432.50,5377.50,5515.00,45,22.96,7.39,2026-01-28T15:00:00,5515.00,TARGET,3712.50,3343.02
rr_1.5_spike_3x,EICHERMOT,2024-03-20,LONG,2024-03-20T12:55:00,3896.00,3866.00,3941.00,77,12.44,3.31,2024-03-20T13:10:00,3866.00,STOP,-2310.00,-2758.26
rr_1.5_spike_3x,EICHERMOT,2024-06-04,SHORT,2024-06-04T12:30:00,4310.95,4341.85,4264.60,69,52.34,4.54,2024-06-04T12:30:00,4341.85,STOP,-2132.10,-2579.88
rr_1.5_spike_3x,EICHERMOT,2024-09-20,LONG,2024-09-20T11:30:00,5002.00,4991.50,5017.75,59,15.65,3.38,2024-09-20T11:30:00,4991.50,STOP,-619.50,-1061.71
rr_1.5_spike_3x,EICHERMOT,2024-10-29,LONG,2024-10-29T12:20:00,4840.00,4821.65,4867.53,61,15.79,3.53,2024-10-29T12:55:00,4821.65,STOP,-1119.35,-1561.37
rr_1.5_spike_3x,EICHERMOT,2025-01-02,LONG,2025-01-02T11:30:00,5011.95,4959.10,5091.22,47,15.90,18.29,2025-01-02T11:30:00,5091.22,TARGET,3725.92,3369.79
rr_1.5_spike_3x,EICHERMOT,2025-02-01,LONG,2025-02-01T12:20:00,5205.05,5150.00,5287.62,45,22.49,9.41,2025-02-01T12:20:00,5287.62,TARGET,3715.87,3361.75
rr_1.5_spike_3x,EICHERMOT,2025-02-10,SHORT,2025-02-10T14:05:00,5333.85,5344.90,5317.28,56,16.56,4.39,2025-02-10T14:15:00,5317.28,TARGET,928.20,480.85
rr_1.5_spike_3x,EICHERMOT,2026-02-03,LONG,2026-02-03T11:05:00,7162.00,7125.00,7217.50,41,22.11,3.13,2026-02-03T11:55:00,7217.50,TARGET,2275.50,1833.33
rr_1.5_spike_3x,MARUTI,2024-03-22,LONG,2024-03-22T13:20:00,12420.10,12348.80,12527.05,24,41.74,3.03,2024-03-22T13:30:00,12348.80,STOP,-1711.20,-2157.04
