symbol,entry_date,exit_date,held_days,buy,sell,return_pct,exit_reason,status
MCX,2025-12-22,,9,2084.90,,6.83,marked_to_year_end,open
MUFIN,2025-12-19,,12,114.86,,0.73,marked_to_year_end,open
SMLMAH,2025-12-02,,29,3259.30,,21.98,marked_to_year_end,open
LUMAXTECH,2025-11-10,,51,1322.70,,16.77,marked_to_year_end,open
SRM,2025-10-30,2025-12-01,21,570.45,567.40,-0.53,trail_50d,closed
CARTRADE,2025-10-24,2025-12-08,30,2540.60,2760.50,8.66,trail_50d,closed
ASHAPURMIN,2025-09-01,2025-11-06,45,521.95,621.15,19.01,trail_50d,closed
CUPID,2025-08-28,,125,34.39,,201.31,marked_to_year_end,open
INDIASHLTR,2025-08-28,2025-09-01,2,933.00,904.85,-3.02,trail_50d,closed
ZOTA,2025-08-12,2025-12-18,87,1291.90,1566.60,21.26,trail_50d,closed
MAHSCOOTER,2025-07-29,2025-10-23,58,15314.00,16717.00,9.16,trail_50d,closed
SUVEN,2025-07-07,2025-08-06,22,260.57,255.05,-2.12,trail_50d,closed
TFCILTD,2025-06-27,2025-10-30,85,46.88,67.81,44.64,trail_50d,closed
KFINTECH,2025-06-23,2025-07-25,24,1286.60,1164.60,-9.48,stop_8pct,closed
V2RETAIL,2025-05-26,2025-06-26,23,191.11,180.94,-5.32,trail_50d,closed
HEG,2025-05-19,2025-07-07,35,500.65,489.25,-2.28,trail_50d,closed
NAZARA,2025-05-09,2025-08-20,72,271.84,304.85,12.14,trail_50d,closed
NAZARA,2025-05-07,2025-08-20,74,266.06,304.85,14.58,trail_50d,closed
LAURUSLABS,2025-04-22,2025-05-08,11,641.35,586.75,-8.51,stop_8pct,closed
HCG,2025-04-15,2025-05-27,28,544.40,533.80,-1.95,trail_50d,closed
ORIENTCEM,2025-04-08,2025-05-26,30,352.45,349.85,-0.74,trail_50d,closed
V2RETAIL,2025-04-02,2025-04-07,3,174.60,171.38,-1.84,trail_50d,closed
CARTRADE,2025-03-17,2025-04-07,14,1582.40,1464.20,-7.47,trail_50d,closed
GLOBUSSPR,2025-03-07,2025-05-07,37,956.90,974.70,1.86,trail_50d,closed
PGIL,2025-03-06,2025-03-13,5,1456.90,1365.80,-6.25,trail_50d,closed
GULFOILLUB,2025-03-06,2025-04-01,16,1187.50,1106.55,-6.82,trail_50d,closed
CHOLAFIN,2025-02-27,2025-04-07,25,1395.25,1386.10,-0.66,trail_50d,closed
CHAMBLFERT,2025-02-25,2025-05-16,51,561.35,632.10,12.60,trail_50d,closed
APARINDS,2025-01-06,2025-01-16,8,10956.15,10042.50,-8.34,stop_8pct,closed
FSL,2025-01-01,2025-01-13,8,383.70,361.95,-5.67,trail_50d,closed
AMBER,2024-12-23,2025-01-21,20,6542.60,6515.05,-0.42,trail_50d,closed
BONDADA,2024-12-09,2025-01-06,19,628.10,594.85,-5.29,trail_50d,closed
AMBER,2024-11-21,2024-12-09,12,6280.55,5793.45,-7.76,trail_50d,closed
FORTIS,2024-10-31,2025-01-13,49,619.70,662.75,6.95,trail_50d,closed
COHANCE,2024-10-29,2024-11-12,10,1276.80,1204.55,-5.66,trail_50d,closed
CHOICEIN,2024-09-24,2024-10-25,22,464.30,455.70,-1.85,trail_50d,closed
BHAGCHEM,2024-08-19,2024-09-24,26,374.11,363.60,-2.81,trail_50d,closed
E2E,2024-08-14,2024-12-18,86,192.73,407.89,111.64,trail_50d,closed
E2E,2024-08-13,2024-12-18,87,181.77,407.89,124.40,trail_50d,closed
GRWRHITECH,2024-08-08,2025-01-10,106,2569.95,4286.15,66.78,trail_50d,closed
